ward,precinct,total,JERRY (ICEMAN) BUTLER,JERRY (ICEMAN) BUTLER Percent,precinct_id
2,7,273,273,100.0,02007
2,14,368,368,100.0,02014
2,18,391,391,100.0,02018
2,20,221,221,100.0,02020
2,21,275,275,100.0,02021
2,26,224,224,100.0,02026
2,31,274,274,100.0,02031
2,44,143,143,100.0,02044
2,46,345,345,100.0,02046
3,1,172,172,100.0,03001
3,2,354,354,100.0,03002
3,5,108,108,100.0,03005
3,6,170,170,100.0,03006
3,7,201,201,100.0,03007
3,8,73,73,100.0,03008
3,9,102,102,100.0,03009
3,11,125,125,100.0,03011
3,15,220,220,100.0,03015
3,16,388,388,100.0,03016
3,19,69,69,100.0,03019
3,20,46,46,100.0,03020
3,23,59,59,100.0,03023
3,24,160,160,100.0,03024
3,25,56,56,100.0,03025
3,26,141,141,100.0,03026
3,27,26,26,100.0,03027
3,28,134,134,100.0,03028
3,30,139,139,100.0,03030
3,31,298,298,100.0,03031
3,32,169,169,100.0,03032
3,33,235,235,100.0,03033
3,34,136,136,100.0,03034
3,35,199,199,100.0,03035
3,37,114,114,100.0,03037
3,38,52,52,100.0,03038
3,39,238,238,100.0,03039
3,40,206,206,100.0,03040
3,41,216,216,100.0,03041
3,45,133,133,100.0,03045
3,46,192,192,100.0,03046
3,49,63,63,100.0,03049
3,53,171,171,100.0,03053
3,56,167,167,100.0,03056
3,58,77,77,100.0,03058
3,59,116,116,100.0,03059
3,62,172,172,100.0,03062
4,1,239,239,100.0,04001
4,2,299,299,100.0,04002
4,3,399,399,100.0,04003
4,4,356,356,100.0,04004
4,5,298,298,100.0,04005
4,6,117,117,100.0,04006
4,7,200,200,100.0,04007
4,8,265,265,100.0,04008
4,9,513,513,100.0,04009
4,10,360,360,100.0,04010
4,11,298,298,100.0,04011
4,12,148,148,100.0,04012
4,13,220,220,100.0,04013
4,14,168,168,100.0,04014
4,15,147,147,100.0,04015
4,16,307,307,100.0,04016
4,17,292,292,100.0,04017
4,18,264,264,100.0,04018
4,19,297,297,100.0,04019
4,20,124,124,100.0,04020
4,21,347,347,100.0,04021
4,22,351,351,100.0,04022
4,23,218,218,100.0,04023
4,24,327,327,100.0,04024
4,25,306,306,100.0,04025
4,26,295,295,100.0,04026
4,27,296,296,100.0,04027
4,28,208,208,100.0,04028
4,29,204,204,100.0,04029
4,30,148,148,100.0,04030
4,31,88,88,100.0,04031
4,32,323,323,100.0,04032
4,33,107,107,100.0,04033
4,34,194,194,100.0,04034
4,35,178,178,100.0,04035
4,36,123,123,100.0,04036
4,37,156,156,100.0,04037
4,38,372,372,100.0,04038
4,39,132,132,100.0,04039
4,40,253,253,100.0,04040
4,41,120,120,100.0,04041
4,42,323,323,100.0,04042
4,43,202,202,100.0,04043
4,44,201,201,100.0,04044
4,45,438,438,100.0,04045
4,46,256,256,100.0,04046
4,47,393,393,100.0,04047
4,48,407,407,100.0,04048
4,49,89,89,100.0,04049
4,50,216,216,100.0,04050
4,51,331,331,100.0,04051
4,52,77,77,100.0,04052
4,53,11,11,100.0,04053
4,54,150,150,100.0,04054
4,55,192,192,100.0,04055
4,56,312,312,100.0,04056
4,57,146,146,100.0,04057
4,58,291,291,100.0,04058
5,1,319,319,100.0,05001
5,2,207,207,100.0,05002
5,3,136,136,100.0,05003
5,4,209,209,100.0,05004
5,5,209,209,100.0,05005
5,6,343,343,100.0,05006
5,7,314,314,100.0,05007
5,8,307,307,100.0,05008
5,9,262,262,100.0,05009
5,10,274,274,100.0,05010
5,11,270,270,100.0,05011
5,12,198,198,100.0,05012
5,13,240,240,100.0,05013
5,14,347,347,100.0,05014
5,15,258,258,100.0,05015
5,16,217,217,100.0,05016
5,17,284,284,100.0,05017
5,18,268,268,100.0,05018
5,19,142,142,100.0,05019
5,20,147,147,100.0,05020
5,21,310,310,100.0,05021
5,22,276,276,100.0,05022
5,23,198,198,100.0,05023
5,24,226,226,100.0,05024
5,25,275,275,100.0,05025
5,26,285,285,100.0,05026
5,27,263,263,100.0,05027
5,28,246,246,100.0,05028
5,29,283,283,100.0,05029
5,30,226,226,100.0,05030
5,31,250,250,100.0,05031
5,32,385,385,100.0,05032
5,33,249,249,100.0,05033
5,34,262,262,100.0,05034
5,35,172,172,100.0,05035
5,36,162,162,100.0,05036
5,37,197,197,100.0,05037
5,38,286,286,100.0,05038
5,39,242,242,100.0,05039
5,40,355,355,100.0,05040
5,41,221,221,100.0,05041
5,42,291,291,100.0,05042
5,43,283,283,100.0,05043
5,44,286,286,100.0,05044
5,45,163,163,100.0,05045
5,46,269,269,100.0,05046
5,47,239,239,100.0,05047
5,48,197,197,100.0,05048
5,49,62,62,100.0,05049
5,50,223,223,100.0,05050
5,51,224,224,100.0,05051
5,52,80,80,100.0,05052
5,53,352,352,100.0,05053
5,54,373,373,100.0,05054
6,4,224,224,100.0,06004
6,5,166,166,100.0,06005
6,6,241,241,100.0,06006
6,7,316,316,100.0,06007
6,11,271,271,100.0,06011
6,12,267,267,100.0,06012
6,15,263,263,100.0,06015
6,20,278,278,100.0,06020
6,23,237,237,100.0,06023
6,30,250,250,100.0,06030
6,32,328,328,100.0,06032
6,33,344,344,100.0,06033
6,36,163,163,100.0,06036
6,39,252,252,100.0,06039
6,40,165,165,100.0,06040
6,42,169,169,100.0,06042
6,48,318,318,100.0,06048
6,49,286,286,100.0,06049
6,55,247,247,100.0,06055
6,56,214,214,100.0,06056
6,61,193,193,100.0,06061
7,9,241,241,100.0,07009
7,35,133,133,100.0,07035
7,40,215,215,100.0,07040
7,48,111,111,100.0,07048
7,50,165,165,100.0,07050
7,64,210,210,100.0,07064
8,57,232,232,100.0,08057
8,67,133,133,100.0,08067
8,68,177,177,100.0,08068
8,69,161,161,100.0,08069
8,70,329,329,100.0,08070
17,2,214,214,100.0,17002
17,3,196,196,100.0,17003
17,4,327,327,100.0,17004
17,5,218,218,100.0,17005
17,7,258,258,100.0,17007
17,9,167,167,100.0,17009
17,10,271,271,100.0,17010
17,11,241,241,100.0,17011
17,12,250,250,100.0,17012
17,15,189,189,100.0,17015
17,18,244,244,100.0,17018
17,20,199,199,100.0,17020
17,21,306,306,100.0,17021
17,22,245,245,100.0,17022
17,23,164,164,100.0,17023
17,24,239,239,100.0,17024
17,25,149,149,100.0,17025
17,26,266,266,100.0,17026
17,27,273,273,100.0,17027
17,28,214,214,100.0,17028
17,29,273,273,100.0,17029
17,30,280,280,100.0,17030
17,31,244,244,100.0,17031
17,32,263,263,100.0,17032
17,33,187,187,100.0,17033
17,35,146,146,100.0,17035
17,37,222,222,100.0,17037
17,38,222,222,100.0,17038
17,40,167,167,100.0,17040
17,44,210,210,100.0,17044
17,47,120,120,100.0,17047
17,48,219,219,100.0,17048
17,50,187,187,100.0,17050
17,51,249,249,100.0,17051
17,52,324,324,100.0,17052
17,53,236,236,100.0,17053
17,54,271,271,100.0,17054
17,55,188,188,100.0,17055
17,56,232,232,100.0,17056
17,57,256,256,100.0,17057
17,61,196,196,100.0,17061
18,4,299,299,100.0,18004
18,7,186,186,100.0,18007
18,8,109,109,100.0,18008
18,9,291,291,100.0,18009
18,10,381,381,100.0,18010
18,12,340,340,100.0,18012
18,13,282,282,100.0,18013
18,14,325,325,100.0,18014
18,16,271,271,100.0,18016
18,18,282,282,100.0,18018
18,19,210,210,100.0,18019
18,20,264,264,100.0,18020
18,21,351,351,100.0,18021
18,22,304,304,100.0,18022
18,24,315,315,100.0,18024
18,25,296,296,100.0,18025
18,26,230,230,100.0,18026
18,30,253,253,100.0,18030
18,31,252,252,100.0,18031
18,32,326,326,100.0,18032
18,33,0,0,0.0,18033
18,34,345,345,100.0,18034
18,35,323,323,100.0,18035
18,36,64,64,100.0,18036
18,37,187,187,100.0,18037
18,38,328,328,100.0,18038
18,40,331,331,100.0,18040
18,44,173,173,100.0,18044
18,45,280,280,100.0,18045
18,51,154,154,100.0,18051
18,52,245,245,100.0,18052
18,54,278,278,100.0,18054
18,58,16,16,100.0,18058
18,59,32,32,100.0,18059
18,60,312,312,100.0,18060
18,61,259,259,100.0,18061
18,62,198,198,100.0,18062
20,1,232,232,100.0,20001
20,2,183,183,100.0,20002
20,3,255,255,100.0,20003
20,5,165,165,100.0,20005
20,6,228,228,100.0,20006
20,9,204,204,100.0,20009
20,10,210,210,100.0,20010
20,14,306,306,100.0,20014
20,18,274,274,100.0,20018
20,22,220,220,100.0,20022
20,24,303,303,100.0,20024
20,26,213,213,100.0,20026
20,29,213,213,100.0,20029
20,32,352,352,100.0,20032
