ward,precinct,total,NATHAN PEOPLES,NATHAN PEOPLES Percent,"JOHN H. STROGER, JR.","JOHN H. STROGER, JR. Percent",precinct_id
6,1,349,11,3.15,338,96.85,06001
6,2,344,9,2.62,335,97.38,06002
6,3,333,6,1.8,327,98.2,06003
6,8,296,5,1.69,291,98.31,06008
6,9,233,6,2.58,227,97.42,06009
6,10,394,11,2.79,383,97.21,06010
6,13,282,7,2.48,275,97.52,06013
6,14,315,4,1.27,311,98.73,06014
6,16,315,8,2.54,307,97.46,06016
6,17,364,11,3.02,353,96.98,06017
6,19,370,8,2.16,362,97.84,06019
6,21,285,12,4.21,273,95.79,06021
6,22,297,3,1.01,294,98.99,06022
6,24,294,4,1.36,290,98.64,06024
6,25,186,2,1.08,184,98.92,06025
6,26,321,5,1.56,316,98.44,06026
6,27,386,5,1.3,381,98.7,06027
6,28,465,14,3.01,451,96.99,06028
6,29,361,3,0.83,358,99.17,06029
6,31,347,10,2.88,337,97.12,06031
6,34,258,5,1.94,253,98.06,06034
6,35,367,14,3.81,353,96.19,06035
6,37,340,8,2.35,332,97.65,06037
6,38,325,8,2.46,317,97.54,06038
6,41,309,8,2.59,301,97.41,06041
6,43,355,10,2.82,345,97.18,06043
6,44,316,6,1.9,310,98.1,06044
6,45,191,7,3.66,184,96.34,06045
6,46,285,9,3.16,276,96.84,06046
6,47,312,7,2.24,305,97.76,06047
6,50,285,5,1.75,280,98.25,06050
6,51,252,6,2.38,246,97.62,06051
6,52,247,7,2.83,240,97.17,06052
6,53,265,11,4.15,254,95.85,06053
6,54,273,6,2.2,267,97.8,06054
6,57,168,1,0.6,167,99.4,06057
6,58,319,9,2.82,310,97.18,06058
6,59,261,8,3.07,253,96.93,06059
6,60,210,3,1.43,207,98.57,06060
6,62,115,3,2.61,112,97.39,06062
6,63,253,1,0.4,252,99.6,06063
6,64,354,11,3.11,343,96.89,06064
7,1,301,11,3.65,290,96.35,07001
7,2,331,13,3.93,318,96.07,07002
7,3,189,5,2.65,184,97.35,07003
7,4,238,17,7.14,221,92.86,07004
7,5,224,15,6.7,209,93.3,07005
7,6,228,10,4.39,218,95.61,07006
7,7,183,5,2.73,178,97.27,07007
7,8,96,7,7.29,89,92.71,07008
7,10,199,11,5.53,188,94.47,07010
7,11,268,10,3.73,258,96.27,07011
7,12,210,10,4.76,200,95.24,07012
7,13,215,8,3.72,207,96.28,07013
7,14,317,16,5.05,301,94.95,07014
7,15,177,3,1.69,174,98.31,07015
7,16,204,8,3.92,196,96.08,07016
7,17,175,3,1.71,172,98.29,07017
7,18,180,15,8.33,165,91.67,07018
7,19,383,8,2.09,375,97.91,07019
7,20,120,2,1.67,118,98.33,07020
7,21,252,7,2.78,245,97.22,07021
7,22,193,13,6.74,180,93.26,07022
7,23,178,7,3.93,171,96.07,07023
7,24,193,6,3.11,187,96.89,07024
7,25,296,13,4.39,283,95.61,07025
7,26,325,15,4.62,310,95.38,07026
7,27,338,9,2.66,329,97.34,07027
7,28,286,11,3.85,275,96.15,07028
7,29,142,7,4.93,135,95.07,07029
7,30,283,6,2.12,277,97.88,07030
7,31,237,5,2.11,232,97.89,07031
7,32,211,14,6.64,197,93.36,07032
7,33,203,10,4.93,193,95.07,07033
7,34,234,6,2.56,228,97.44,07034
7,36,284,9,3.17,275,96.83,07036
7,37,110,5,4.55,105,95.45,07037
7,38,190,3,1.58,187,98.42,07038
7,39,265,1,0.38,264,99.62,07039
7,41,201,10,4.98,191,95.02,07041
7,42,405,12,2.96,393,97.04,07042
7,43,266,7,2.63,259,97.37,07043
7,44,387,21,5.43,366,94.57,07044
7,45,353,23,6.52,330,93.48,07045
7,46,101,2,1.98,99,98.02,07046
7,47,217,8,3.69,209,96.31,07047
7,49,156,2,1.28,154,98.72,07049
7,51,212,9,4.25,203,95.75,07051
7,52,215,7,3.26,208,96.74,07052
7,53,211,5,2.37,206,97.63,07053
7,54,130,6,4.62,124,95.38,07054
7,55,215,13,6.05,202,93.95,07055
7,56,220,6,2.73,214,97.27,07056
7,57,236,10,4.24,226,95.76,07057
7,58,297,15,5.05,282,94.95,07058
7,59,139,7,5.04,132,94.96,07059
7,60,178,1,0.56,177,99.44,07060
7,61,228,9,3.95,219,96.05,07061
7,62,261,8,3.07,253,96.93,07062
7,63,204,7,3.43,197,96.57,07063
7,65,203,7,3.45,196,96.55,07065
8,1,337,14,4.15,323,95.85,08001
8,2,169,4,2.37,165,97.63,08002
8,3,407,7,1.72,400,98.28,08003
8,4,299,12,4.01,287,95.99,08004
8,5,350,8,2.29,342,97.71,08005
8,6,333,8,2.4,325,97.6,08006
8,7,226,7,3.1,219,96.9,08007
8,8,360,6,1.67,354,98.33,08008
8,9,348,8,2.3,340,97.7,08009
8,10,376,11,2.93,365,97.07,08010
8,11,289,6,2.08,283,97.92,08011
8,12,281,12,4.27,269,95.73,08012
8,13,252,3,1.19,249,98.81,08013
8,14,274,5,1.82,269,98.18,08014
8,15,280,5,1.79,275,98.21,08015
8,16,313,5,1.6,308,98.4,08016
8,17,259,11,4.25,248,95.75,08017
8,18,210,1,0.48,209,99.52,08018
8,19,348,10,2.87,338,97.13,08019
8,20,227,3,1.32,224,98.68,08020
8,21,244,8,3.28,236,96.72,08021
8,22,263,7,2.66,256,97.34,08022
8,23,295,9,3.05,286,96.95,08023
8,24,313,7,2.24,306,97.76,08024
8,25,311,9,2.89,302,97.11,08025
8,26,221,5,2.26,216,97.74,08026
8,27,319,4,1.25,315,98.75,08027
8,28,231,5,2.16,226,97.84,08028
8,29,305,8,2.62,297,97.38,08029
8,30,231,8,3.46,223,96.54,08030
8,31,217,6,2.76,211,97.24,08031
8,32,489,12,2.45,477,97.55,08032
8,33,264,7,2.65,257,97.35,08033
8,34,354,13,3.67,341,96.33,08034
8,35,365,11,3.01,354,96.99,08035
8,36,290,2,0.69,288,99.31,08036
8,37,338,5,1.48,333,98.52,08037
8,38,270,2,0.74,268,99.26,08038
8,39,340,6,1.76,334,98.24,08039
8,40,301,5,1.66,296,98.34,08040
8,41,274,6,2.19,268,97.81,08041
8,42,291,15,5.15,276,94.85,08042
8,43,308,8,2.6,300,97.4,08043
8,44,217,4,1.84,213,98.16,08044
8,45,228,6,2.63,222,97.37,08045
8,46,235,4,1.7,231,98.3,08046
8,47,318,4,1.26,314,98.74,08047
8,48,232,3,1.29,229,98.71,08048
8,49,329,11,3.34,318,96.66,08049
