ward,precinct,total,NICHOLAS M. DURIC,NICHOLAS M. DURIC Percent,JANICE D SCHAKOWSKY,JANICE D SCHAKOWSKY Percent,"STEPHANIE """"VS. THE MACHINE"""" SAILOR","STEPHANIE """"VS. THE MACHINE"""" SAILOR Percent",precinct_id
40,3,217,28,12.9,184,84.79,5,2.3,40003
40,4,235,25,10.64,203,86.38,7,2.98,40004
40,7,224,37,16.52,182,81.25,5,2.23,40007
40,8,84,21,25.0,59,70.24,4,4.76,40008
40,9,148,20,13.51,123,83.11,5,3.38,40009
40,11,204,20,9.8,181,88.73,3,1.47,40011
40,12,197,25,12.69,169,85.79,3,1.52,40012
40,13,264,36,13.64,217,82.2,11,4.17,40013
40,16,316,30,9.49,281,88.92,5,1.58,40016
40,18,243,38,15.64,199,81.89,6,2.47,40018
40,22,89,14,15.73,70,78.65,5,5.62,40022
40,26,252,22,8.73,220,87.3,10,3.97,40026
40,27,222,34,15.32,178,80.18,10,4.5,40027
40,28,251,30,11.95,212,84.46,9,3.59,40028
40,33,256,47,18.36,199,77.73,10,3.91,40033
40,35,246,40,16.26,189,76.83,17,6.91,40035
40,37,204,20,9.8,168,82.35,16,7.84,40037
40,39,213,42,19.72,159,74.65,12,5.63,40039
40,41,256,34,13.28,213,83.2,9,3.52,40041
40,42,310,40,12.9,261,84.19,9,2.9,40042
40,43,270,33,12.22,227,84.07,10,3.7,40043
40,46,299,34,11.37,251,83.95,14,4.68,40046
40,47,247,29,11.74,209,84.62,9,3.64,40047
41,1,269,102,37.92,157,58.36,10,3.72,41001
41,2,416,167,40.14,231,55.53,18,4.33,41002
41,4,316,113,35.76,193,61.08,10,3.16,41004
41,5,450,160,35.56,271,60.22,19,4.22,41005
41,6,303,118,38.94,181,59.74,4,1.32,41006
41,7,470,148,31.49,309,65.74,13,2.77,41007
41,8,306,111,36.27,189,61.76,6,1.96,41008
41,11,266,109,40.98,150,56.39,7,2.63,41011
41,13,278,80,28.78,191,68.71,7,2.52,41013
41,15,242,76,31.4,160,66.12,6,2.48,41015
41,17,341,113,33.14,218,63.93,10,2.93,41017
41,18,256,77,30.08,168,65.63,11,4.3,41018
41,20,377,120,31.83,246,65.25,11,2.92,41020
41,25,182,56,30.77,115,63.19,11,6.04,41025
41,26,209,88,42.11,113,54.07,8,3.83,41026
41,27,156,47,30.13,101,64.74,8,5.13,41027
41,28,189,53,28.04,131,69.31,5,2.65,41028
41,29,143,48,33.57,88,61.54,7,4.9,41029
41,31,355,127,35.77,223,62.82,5,1.41,41031
41,32,280,121,43.21,153,54.64,6,2.14,41032
41,33,307,117,38.11,179,58.31,11,3.58,41033
41,34,312,130,41.67,178,57.05,4,1.28,41034
41,36,336,106,31.55,217,64.58,13,3.87,41036
41,37,381,161,42.26,215,56.43,5,1.31,41037
41,38,273,74,27.11,184,67.4,15,5.49,41038
41,39,263,101,38.4,155,58.94,7,2.66,41039
41,40,272,98,36.03,169,62.13,5,1.84,41040
41,41,316,115,36.39,190,60.13,11,3.48,41041
41,42,306,124,40.52,175,57.19,7,2.29,41042
41,44,282,84,29.79,194,68.79,4,1.42,41044
41,45,265,76,28.68,177,66.79,12,4.53,41045
41,48,228,78,34.21,138,60.53,12,5.26,41048
41,49,252,106,42.06,142,56.35,4,1.59,41049
41,52,331,128,38.67,184,55.59,19,5.74,41052
41,53,381,156,40.94,211,55.38,14,3.67,41053
