ward,precinct,total,JAMES O'HARA,JAMES O'HARA Percent,JULIE HAMOS,JULIE HAMOS Percent,precinct_id
49,1,242,9,3.72,233,96.28,49001
49,5,194,17,8.76,177,91.24,49005
49,6,266,39,14.66,227,85.34,49006
49,14,301,54,17.94,247,82.06,49014
49,16,215,32,14.88,183,85.12,49016
49,20,287,40,13.94,247,86.06,49020
49,30,234,28,11.97,206,88.03,49030
49,34,230,32,13.91,198,86.09,49034
49,35,351,54,15.38,297,84.62,49035
