ward,precinct,total,"PHILLIP R. ARNOLD, JR.","PHILLIP R. ARNOLD, JR. Percent","WILLIAM """"BILL"""" SHAW","WILLIAM """"BILL"""" SHAW Percent",JAMES T. MEEKS,JAMES T. MEEKS Percent,precinct_id
9,3,253,2,0.79,159,62.85,92,36.36,09003
9,4,397,1,0.25,182,45.84,214,53.9,09004
9,6,317,5,1.58,110,34.7,202,63.72,09006
9,7,347,2,0.58,146,42.07,199,57.35,09007
9,11,226,3,1.33,134,59.29,89,39.38,09011
9,15,163,0,0.0,86,52.76,77,47.24,09015
9,16,354,2,0.56,154,43.5,198,55.93,09016
9,18,313,7,2.24,139,44.41,167,53.35,09018
9,19,367,7,1.91,128,34.88,232,63.22,09019
9,24,182,4,2.2,106,58.24,72,39.56,09024
9,26,221,0,0.0,111,50.23,110,49.77,09026
9,28,255,12,4.71,135,52.94,108,42.35,09028
9,30,251,0,0.0,106,42.23,145,57.77,09030
9,33,211,4,1.9,89,42.18,118,55.92,09033
9,39,327,1,0.31,130,39.76,196,59.94,09039
9,41,410,2,0.49,200,48.78,208,50.73,09041
9,42,287,2,0.7,189,65.85,96,33.45,09042
9,44,267,2,0.75,85,31.84,180,67.42,09044
9,45,338,5,1.48,165,48.82,168,49.7,09045
9,47,218,5,2.29,107,49.08,106,48.62,09047
9,50,128,4,3.13,43,33.59,81,63.28,09050
9,53,228,6,2.63,99,43.42,123,53.95,09053
34,3,0,0,0.0,0,0.0,0,0.0,34003
34,6,214,2,0.93,80,37.38,132,61.68,34006
34,35,370,9,2.43,153,41.35,208,56.22,34035
34,65,124,0,0.0,54,43.55,70,56.45,34065
