ward,precinct,total,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,precinct_id
3,51,56,56,100.0,03051
11,1,267,267,100.0,11001
11,2,212,212,100.0,11002
11,4,314,314,100.0,11004
11,5,174,174,100.0,11005
11,6,345,345,100.0,11006
11,7,266,266,100.0,11007
11,8,271,271,100.0,11008
11,9,253,253,100.0,11009
11,11,264,264,100.0,11011
11,12,291,291,100.0,11012
11,13,284,284,100.0,11013
11,15,221,221,100.0,11015
11,16,277,277,100.0,11016
11,17,335,335,100.0,11017
11,18,165,165,100.0,11018
11,19,227,227,100.0,11019
11,20,215,215,100.0,11020
11,21,354,354,100.0,11021
11,22,229,229,100.0,11022
11,23,218,218,100.0,11023
11,24,380,380,100.0,11024
11,25,188,188,100.0,11025
11,26,364,364,100.0,11026
11,29,313,313,100.0,11029
11,30,257,257,100.0,11030
11,31,247,247,100.0,11031
11,32,219,219,100.0,11032
11,33,200,200,100.0,11033
11,34,72,72,100.0,11034
11,35,328,328,100.0,11035
11,37,256,256,100.0,11037
11,38,381,381,100.0,11038
11,39,364,364,100.0,11039
11,40,160,160,100.0,11040
11,41,153,153,100.0,11041
11,42,217,217,100.0,11042
11,43,363,363,100.0,11043
11,44,252,252,100.0,11044
11,45,167,167,100.0,11045
11,47,232,232,100.0,11047
11,48,140,140,100.0,11048
11,49,220,220,100.0,11049
11,50,194,194,100.0,11050
13,1,267,267,100.0,13001
13,2,208,208,100.0,13002
13,4,390,390,100.0,13004
13,5,218,218,100.0,13005
13,6,257,257,100.0,13006
13,7,230,230,100.0,13007
13,8,287,287,100.0,13008
13,9,258,258,100.0,13009
13,10,240,240,100.0,13010
13,11,234,234,100.0,13011
13,12,256,256,100.0,13012
13,13,253,253,100.0,13013
13,14,192,192,100.0,13014
13,15,243,243,100.0,13015
13,16,209,209,100.0,13016
13,17,277,277,100.0,13017
13,18,203,203,100.0,13018
13,19,191,191,100.0,13019
13,20,236,236,100.0,13020
13,21,168,168,100.0,13021
13,22,221,221,100.0,13022
13,23,175,175,100.0,13023
13,24,265,265,100.0,13024
13,25,226,226,100.0,13025
13,26,174,174,100.0,13026
13,27,294,294,100.0,13027
13,28,190,190,100.0,13028
13,29,260,260,100.0,13029
13,30,212,212,100.0,13030
13,31,231,231,100.0,13031
13,32,245,245,100.0,13032
13,33,225,225,100.0,13033
13,34,224,224,100.0,13034
13,35,252,252,100.0,13035
13,36,159,159,100.0,13036
13,37,185,185,100.0,13037
13,38,277,277,100.0,13038
13,39,258,258,100.0,13039
13,40,221,221,100.0,13040
13,41,200,200,100.0,13041
13,42,253,253,100.0,13042
13,43,193,193,100.0,13043
13,44,184,184,100.0,13044
13,45,336,336,100.0,13045
13,46,226,226,100.0,13046
13,47,236,236,100.0,13047
13,48,244,244,100.0,13048
13,49,264,264,100.0,13049
13,50,214,214,100.0,13050
13,51,212,212,100.0,13051
13,52,290,290,100.0,13052
13,53,312,312,100.0,13053
13,54,225,225,100.0,13054
14,2,166,166,100.0,14002
14,25,162,162,100.0,14025
14,28,208,208,100.0,14028
15,1,123,123,100.0,15001
15,10,173,173,100.0,15010
15,13,132,132,100.0,15013
15,14,194,194,100.0,15014
15,15,199,199,100.0,15015
15,16,148,148,100.0,15016
15,25,196,196,100.0,15025
15,28,223,223,100.0,15028
