ward,precinct,total,"CHRISTOPHER """"CHRIS"""" WONG","CHRISTOPHER """"CHRIS"""" WONG Percent","KENNETH """"KEN"""" DUNKIN","KENNETH """"KEN"""" DUNKIN Percent",precinct_id
2,1,350,97,27.71,253,72.29,02001
2,11,162,52,32.1,110,67.9,02011
2,14,366,28,7.65,338,92.35,02014
2,20,0,0,0.0,0,0.0,02020
2,22,445,120,26.97,325,73.03,02022
2,31,70,6,8.57,64,91.43,02031
2,35,93,32,34.41,61,65.59,02035
2,43,426,102,23.94,324,76.06,02043
2,49,177,36,20.34,141,79.66,02049
2,54,369,102,27.64,267,72.36,02054
2,55,74,17,22.97,57,77.03,02055
2,58,102,16,15.69,86,84.31,02058
2,59,308,82,26.62,226,73.38,02059
3,1,177,6,3.39,171,96.61,03001
3,3,220,43,19.55,177,80.45,03003
3,4,126,6,4.76,120,95.24,03004
3,6,182,6,3.3,176,96.7,03006
3,8,80,1,1.25,79,98.75,03008
3,9,117,8,6.84,109,93.16,03009
3,11,124,5,4.03,119,95.97,03011
3,14,104,3,2.88,101,97.12,03014
3,15,233,5,2.15,228,97.85,03015
3,17,139,2,1.44,137,98.56,03017
3,18,141,6,4.26,135,95.74,03018
3,19,76,1,1.32,75,98.68,03019
3,20,52,1,1.92,51,98.08,03020
3,22,133,1,0.75,132,99.25,03022
3,23,61,1,1.64,60,98.36,03023
3,24,164,4,2.44,160,97.56,03024
3,25,60,0,0.0,60,100.0,03025
3,26,142,7,4.93,135,95.07,03026
3,27,26,1,3.85,25,96.15,03027
3,28,151,6,3.97,145,96.03,03028
3,29,279,4,1.43,275,98.57,03029
3,32,169,4,2.37,165,97.63,03032
3,33,237,3,1.27,234,98.73,03033
3,35,205,6,2.93,199,97.07,03035
3,36,124,5,4.03,119,95.97,03036
3,37,120,1,0.83,119,99.17,03037
3,38,47,2,4.26,45,95.74,03038
3,40,210,8,3.81,202,96.19,03040
3,41,212,8,3.77,204,96.23,03041
3,42,174,1,0.57,173,99.43,03042
3,43,86,4,4.65,82,95.35,03043
3,45,132,4,3.03,128,96.97,03045
3,47,143,3,2.1,140,97.9,03047
3,49,56,2,3.57,54,96.43,03049
3,53,182,22,12.09,160,87.91,03053
3,54,219,64,29.22,155,70.78,03054
3,57,249,7,2.81,242,97.19,03057
3,59,128,4,3.13,124,96.88,03059
3,60,205,3,1.46,202,98.54,03060
3,61,1,0,0.0,1,100.0,03061
3,62,177,4,2.26,173,97.74,03062
3,63,159,47,29.56,112,70.44,03063
4,6,118,5,4.24,113,95.76,04006
11,14,239,49,20.5,190,79.5,11014
11,36,75,21,28.0,54,72.0,11036
11,48,20,0,0.0,20,100.0,11048
20,1,243,4,1.65,239,98.35,20001
20,3,267,6,2.25,261,97.75,20003
20,6,233,6,2.58,227,97.42,20006
20,7,164,6,3.66,158,96.34,20007
20,11,168,1,0.6,167,99.4,20011
20,14,326,12,3.68,314,96.32,20014
20,17,192,8,4.17,184,95.83,20017
20,23,273,10,3.66,263,96.34,20023
20,27,164,2,1.22,162,98.78,20027
20,31,221,4,1.81,217,98.19,20031
20,33,302,9,2.98,293,97.02,20033
20,37,151,4,2.65,147,97.35,20037
20,42,170,4,2.35,166,97.65,20042
20,46,165,5,3.03,160,96.97,20046
20,50,201,7,3.48,194,96.52,20050
25,14,199,118,59.3,81,40.7,25014
25,16,139,58,41.73,81,58.27,25016
25,18,156,85,54.49,71,45.51,25018
27,5,51,12,23.53,39,76.47,27005
27,6,161,2,1.24,159,98.76,27006
27,9,337,24,7.12,313,92.88,27009
27,12,156,6,3.85,150,96.15,27012
27,13,73,7,9.59,66,90.41,27013
27,14,114,1,0.88,113,99.12,27014
27,16,114,52,45.61,62,54.39,27016
27,20,312,3,0.96,309,99.04,27020
27,21,118,4,3.39,114,96.61,27021
27,28,229,63,27.51,166,72.49,27028
27,37,122,14,11.48,108,88.52,27037
27,39,134,7,5.22,127,94.78,27039
27,42,125,38,30.4,87,69.6,27042
27,43,180,5,2.78,175,97.22,27043
27,50,0,0,0.0,0,0.0,27050
27,51,134,5,3.73,129,96.27,27051
27,52,67,2,2.99,65,97.01,27052
42,3,226,79,34.96,147,65.04,42003
42,4,294,120,40.82,174,59.18,42004
42,9,102,36,35.29,66,64.71,42009
42,17,252,91,36.11,161,63.89,42017
42,19,144,56,38.89,88,61.11,42019
42,20,175,67,38.29,108,61.71,42020
42,22,204,67,32.84,137,67.16,42022
42,27,334,120,35.93,214,64.07,42027
42,32,324,97,29.94,227,70.06,42032
42,39,209,35,16.75,174,83.25,42039
42,45,250,81,32.4,169,67.6,42045
42,46,151,31,20.53,120,79.47,42046
42,49,129,42,32.56,87,67.44,42049
42,55,302,120,39.74,182,60.26,42055
42,56,218,98,44.95,120,55.05,42056
42,57,217,69,31.8,148,68.2,42057
42,58,95,22,23.16,73,76.84,42058
42,59,92,41,44.57,51,55.43,42059
42,60,165,51,30.91,114,69.09,42060
43,30,149,63,42.28,86,57.72,43030
43,51,323,91,28.17,232,71.83,43051
43,54,213,80,37.56,133,62.44,43054
43,55,198,23,11.62,175,88.38,43055
43,60,199,80,40.2,119,59.8,43060
43,61,163,47,28.83,116,71.17,43061
43,63,165,57,34.55,108,65.45,43063
