ward,precinct,total,LINDA ROCKETT,LINDA ROCKETT Percent,precinct_id
9,3,230,4,1.74,09003
9,7,324,9,2.78,09007
9,11,205,9,4.39,09011
9,15,145,7,4.83,09015
9,16,333,11,3.3,09016
9,24,158,10,6.33,09024
9,26,199,9,4.52,09026
9,28,237,14,5.91,09028
9,33,195,4,2.05,09033
9,41,369,21,5.69,09041
9,42,251,12,4.78,09042
9,44,258,7,2.71,09044
9,47,188,12,6.38,09047
9,50,123,2,1.63,09050
