ward,precinct,total,SUSANA MENDOZA,SUSANA MENDOZA Percent,precinct_id
11,3,186,186,100.0,11003
12,2,137,137,100.0,12002
12,3,138,138,100.0,12003
12,4,123,123,100.0,12004
12,5,145,145,100.0,12005
12,6,88,88,100.0,12006
12,8,56,56,100.0,12008
12,9,32,32,100.0,12009
12,10,80,80,100.0,12010
12,11,116,116,100.0,12011
12,12,102,102,100.0,12012
12,13,117,117,100.0,12013
12,17,88,88,100.0,12017
12,19,143,143,100.0,12019
12,20,147,147,100.0,12020
12,21,164,164,100.0,12021
12,23,97,97,100.0,12023
12,24,177,177,100.0,12024
12,25,128,128,100.0,12025
12,26,123,123,100.0,12026
12,27,80,80,100.0,12027
12,28,153,153,100.0,12028
12,29,158,158,100.0,12029
14,7,153,153,100.0,14007
14,8,103,103,100.0,14008
14,10,154,154,100.0,14010
14,12,103,103,100.0,14012
14,14,133,133,100.0,14014
14,16,182,182,100.0,14016
14,17,132,132,100.0,14017
14,18,147,147,100.0,14018
14,19,192,192,100.0,14019
14,20,135,135,100.0,14020
14,21,134,134,100.0,14021
14,22,161,161,100.0,14022
14,23,119,119,100.0,14023
14,26,117,117,100.0,14026
14,29,164,164,100.0,14029
14,30,131,131,100.0,14030
14,31,141,141,100.0,14031
14,33,103,103,100.0,14033
14,34,19,19,100.0,14034
14,36,199,199,100.0,14036
14,37,131,131,100.0,14037
16,11,227,227,100.0,16011
16,13,147,147,100.0,16013
16,21,175,175,100.0,16021
16,23,177,177,100.0,16023
16,32,73,73,100.0,16032
16,42,121,121,100.0,16042
16,47,2,2,100.0,16047
20,4,136,136,100.0,20004
20,21,76,76,100.0,20021
22,8,131,131,100.0,22008
22,9,146,146,100.0,22009
22,11,161,161,100.0,22011
22,15,125,125,100.0,22015
22,22,111,111,100.0,22022
22,28,15,15,100.0,22028
