ward,precinct,total,C. A. LOFTON,C. A. LOFTON Percent,MARY E. FLOWERS,MARY E. FLOWERS Percent,precinct_id
6,11,23,2,8.7,21,91.3,06011
6,12,89,0,0.0,89,100.0,06012
6,19,368,6,1.63,362,98.37,06019
6,32,11,0,0.0,11,100.0,06032
6,42,175,4,2.29,171,97.71,06042
6,49,299,2,0.67,297,99.33,06049
17,2,230,10,4.35,220,95.65,17002
17,3,208,3,1.44,205,98.56,17003
17,4,365,7,1.92,358,98.08,17004
17,5,243,7,2.88,236,97.12,17005
17,7,287,7,2.44,280,97.56,17007
17,9,174,3,1.72,171,98.28,17009
17,10,282,3,1.06,279,98.94,17010
17,11,191,1,0.52,190,99.48,17011
17,12,269,5,1.86,264,98.14,17012
17,15,204,5,2.45,199,97.55,17015
17,18,269,4,1.49,265,98.51,17018
17,20,221,3,1.36,218,98.64,17020
17,21,328,14,4.27,314,95.73,17021
17,22,276,3,1.09,273,98.91,17022
17,23,184,1,0.54,183,99.46,17023
17,24,261,4,1.53,257,98.47,17024
17,25,158,2,1.27,156,98.73,17025
17,26,302,8,2.65,294,97.35,17026
17,27,309,2,0.65,307,99.35,17027
17,28,229,4,1.75,225,98.25,17028
17,29,281,0,0.0,281,100.0,17029
17,30,300,6,2.0,294,98.0,17030
17,31,264,2,0.76,262,99.24,17031
17,32,284,8,2.82,276,97.18,17032
17,33,200,5,2.5,195,97.5,17033
17,35,157,4,2.55,153,97.45,17035
17,37,228,6,2.63,222,97.37,17037
17,38,233,5,2.15,228,97.85,17038
17,40,148,3,2.03,145,97.97,17040
17,44,213,4,1.88,209,98.12,17044
17,47,135,3,2.22,132,97.78,17047
17,48,225,2,0.89,223,99.11,17048
17,50,201,14,6.97,187,93.03,17050
17,51,277,5,1.81,272,98.19,17051
17,52,346,9,2.6,337,97.4,17052
17,53,249,1,0.4,248,99.6,17053
17,54,277,3,1.08,274,98.92,17054
17,55,213,5,2.35,208,97.65,17055
17,56,52,0,0.0,52,100.0,17056
17,57,127,2,1.57,125,98.43,17057
17,61,222,1,0.45,221,99.55,17061
18,3,277,95,34.3,182,65.7,18003
18,4,315,15,4.76,300,95.24,18004
18,6,277,104,37.55,173,62.45,18006
18,7,245,31,12.65,214,87.35,18007
18,8,123,11,8.94,112,91.06,18008
18,9,318,31,9.75,287,90.25,18009
18,10,406,37,9.11,369,90.89,18010
18,12,374,30,8.02,344,91.98,18012
18,13,311,26,8.36,285,91.64,18013
18,14,353,17,4.82,336,95.18,18014
18,16,299,17,5.69,282,94.31,18016
18,18,312,8,2.56,304,97.44,18018
18,20,289,5,1.73,284,98.27,18020
18,22,336,18,5.36,318,94.64,18022
18,28,327,102,31.19,225,68.81,18028
18,35,360,12,3.33,348,96.67,18035
18,36,210,24,11.43,186,88.57,18036
18,37,218,18,8.26,200,91.74,18037
18,38,357,4,1.12,353,98.88,18038
18,40,357,19,5.32,338,94.68,18040
18,41,331,101,30.51,230,69.49,18041
18,48,214,53,24.77,161,75.23,18048
18,54,303,8,2.64,295,97.36,18054
18,55,344,123,35.76,221,64.24,18055
18,60,344,5,1.45,339,98.55,18060
18,61,300,9,3.0,291,97.0,18061
21,2,113,1,0.88,112,99.12,21002
21,16,264,6,2.27,258,97.73,21016
21,17,141,3,2.13,138,97.87,21017
21,30,217,4,1.84,213,98.16,21030
21,32,197,1,0.51,196,99.49,21032
21,34,343,2,0.58,341,99.42,21034
21,37,196,6,3.06,190,96.94,21037
21,39,225,3,1.33,222,98.67,21039
21,41,251,4,1.59,247,98.41,21041
21,52,320,6,1.88,314,98.13,21052
21,62,290,8,2.76,282,97.24,21062
21,64,156,2,1.28,154,98.72,21064
21,65,255,6,2.35,249,97.65,21065
21,67,239,2,0.84,237,99.16,21067
21,69,230,2,0.87,228,99.13,21069
21,70,196,6,3.06,190,96.94,21070
21,71,215,3,1.4,212,98.6,21071
21,72,247,4,1.62,243,98.38,21072
21,74,112,4,3.57,108,96.43,21074
