ward,precinct,total,MARGARET SMITH,MARGARET SMITH Percent,precinct_id
2,1,307,307,100.0,02001
2,11,142,142,100.0,02011
2,14,357,357,100.0,02014
2,20,0,0,0.0,02020
2,22,390,390,100.0,02022
2,31,86,86,100.0,02031
2,35,78,78,100.0,02035
2,43,362,362,100.0,02043
2,49,173,173,100.0,02049
2,54,310,310,100.0,02054
2,55,67,67,100.0,02055
2,58,111,111,100.0,02058
2,59,257,257,100.0,02059
3,1,178,178,100.0,03001
3,3,199,199,100.0,03003
3,4,118,118,100.0,03004
3,6,175,175,100.0,03006
3,8,74,74,100.0,03008
3,9,109,109,100.0,03009
3,10,106,106,100.0,03010
3,11,125,125,100.0,03011
3,12,216,216,100.0,03012
3,13,141,141,100.0,03013
3,14,97,97,100.0,03014
3,15,236,236,100.0,03015
3,17,134,134,100.0,03017
3,18,136,136,100.0,03018
3,19,77,77,100.0,03019
3,20,50,50,100.0,03020
3,21,136,136,100.0,03021
3,22,133,133,100.0,03022
3,23,63,63,100.0,03023
3,24,170,170,100.0,03024
3,25,57,57,100.0,03025
3,26,141,141,100.0,03026
3,27,22,22,100.0,03027
3,28,136,136,100.0,03028
3,29,257,257,100.0,03029
3,32,169,169,100.0,03032
3,33,240,240,100.0,03033
3,35,198,198,100.0,03035
3,36,120,120,100.0,03036
3,37,118,118,100.0,03037
3,38,47,47,100.0,03038
3,40,207,207,100.0,03040
3,41,215,215,100.0,03041
3,42,174,174,100.0,03042
3,43,84,84,100.0,03043
3,44,98,98,100.0,03044
3,45,132,132,100.0,03045
3,47,136,136,100.0,03047
3,48,185,185,100.0,03048
3,49,59,59,100.0,03049
3,50,95,95,100.0,03050
3,51,60,60,100.0,03051
3,52,96,96,100.0,03052
3,53,178,178,100.0,03053
3,54,189,189,100.0,03054
3,55,160,160,100.0,03055
3,57,247,247,100.0,03057
3,59,119,119,100.0,03059
3,60,206,206,100.0,03060
3,61,35,35,100.0,03061
3,62,175,175,100.0,03062
3,63,143,143,100.0,03063
4,6,114,114,100.0,04006
11,12,284,284,100.0,11012
11,13,280,280,100.0,11013
11,14,208,208,100.0,11014
11,15,198,198,100.0,11015
11,23,214,214,100.0,11023
11,25,1,1,100.0,11025
11,27,248,248,100.0,11027
11,28,196,196,100.0,11028
11,31,223,223,100.0,11031
11,32,205,205,100.0,11032
11,33,187,187,100.0,11033
11,34,133,133,100.0,11034
11,35,313,313,100.0,11035
11,36,78,78,100.0,11036
11,37,252,252,100.0,11037
11,39,342,342,100.0,11039
11,42,217,217,100.0,11042
11,43,335,335,100.0,11043
11,46,172,172,100.0,11046
11,48,132,132,100.0,11048
11,49,210,210,100.0,11049
12,9,23,23,100.0,12009
12,16,77,77,100.0,12016
15,2,167,167,100.0,15002
15,3,199,199,100.0,15003
15,4,182,182,100.0,15004
15,5,189,189,100.0,15005
15,17,192,192,100.0,15017
15,18,156,156,100.0,15018
15,19,182,182,100.0,15019
15,20,170,170,100.0,15020
15,22,199,199,100.0,15022
15,23,158,158,100.0,15023
15,24,172,172,100.0,15024
15,26,147,147,100.0,15026
15,29,94,94,100.0,15029
15,30,149,149,100.0,15030
15,31,147,147,100.0,15031
15,33,150,150,100.0,15033
15,35,182,182,100.0,15035
15,36,157,157,100.0,15036
15,37,161,161,100.0,15037
15,38,143,143,100.0,15038
15,39,192,192,100.0,15039
15,40,179,179,100.0,15040
15,43,161,161,100.0,15043
15,48,149,149,100.0,15048
15,49,53,53,100.0,15049
15,50,172,172,100.0,15050
15,52,116,116,100.0,15052
16,1,108,108,100.0,16001
16,2,141,141,100.0,16002
16,3,199,199,100.0,16003
16,4,145,145,100.0,16004
16,5,198,198,100.0,16005
