ward,precinct,total,ROBERT DALLAS,ROBERT DALLAS Percent,KIMBERLY A. LIGHTFORD,KIMBERLY A. LIGHTFORD Percent,precinct_id
24,7,209,3,1.44,206,98.56,24007
24,16,182,4,2.2,178,97.8,24016
24,41,198,1,0.51,197,99.49,24041
24,46,234,2,0.85,232,99.15,24046
28,1,199,6,3.02,193,96.98,28001
28,4,154,4,2.6,150,97.4,28004
28,8,131,4,3.05,127,96.95,28008
28,12,96,3,3.13,93,96.88,28012
28,14,148,1,0.68,147,99.32,28014
28,17,180,9,5.0,171,95.0,28017
28,19,228,5,2.19,223,97.81,28019
28,21,223,4,1.79,219,98.21,28021
28,27,127,2,1.57,125,98.43,28027
28,40,215,3,1.4,212,98.6,28040
28,42,130,2,1.54,128,98.46,28042
28,45,142,2,1.41,140,98.59,28045
28,47,148,3,2.03,145,97.97,28047
28,48,97,4,4.12,93,95.88,28048
28,49,109,1,0.92,108,99.08,28049
28,51,201,6,2.99,195,97.01,28051
28,55,161,3,1.86,158,98.14,28055
28,56,178,9,5.06,169,94.94,28056
28,57,146,11,7.53,135,92.47,28057
28,58,140,4,2.86,136,97.14,28058
28,60,160,5,3.13,155,96.88,28060
28,61,103,0,0.0,103,100.0,28061
28,62,181,1,0.55,180,99.45,28062
28,63,203,8,3.94,195,96.06,28063
28,65,200,10,5.0,190,95.0,28065
28,66,169,2,1.18,167,98.82,28066
28,68,188,2,1.06,186,98.94,28068
28,70,118,4,3.39,114,96.61,28070
28,72,115,4,3.48,111,96.52,28072
28,75,120,2,1.67,118,98.33,28075
29,1,261,6,2.3,255,97.7,29001
29,3,317,4,1.26,313,98.74,29003
29,10,263,6,2.28,257,97.72,29010
29,12,309,17,5.5,292,94.5,29012
29,14,310,4,1.29,306,98.71,29014
29,15,283,6,2.12,277,97.88,29015
29,16,316,2,0.63,314,99.37,29016
29,17,241,10,4.15,231,95.85,29017
29,19,216,8,3.7,208,96.3,29019
29,20,233,7,3.0,226,97.0,29020
29,21,237,13,5.49,224,94.51,29021
29,22,212,41,19.34,171,80.66,29022
29,25,294,4,1.36,290,98.64,29025
29,26,243,6,2.47,237,97.53,29026
29,27,188,6,3.19,182,96.81,29027
29,28,325,9,2.77,316,97.23,29028
29,31,249,3,1.2,246,98.8,29031
29,34,194,32,16.49,162,83.51,29034
29,36,270,4,1.48,266,98.52,29036
29,38,228,4,1.75,224,98.25,29038
29,42,310,5,1.61,305,98.39,29042
29,48,237,5,2.11,232,97.89,29048
29,49,322,3,0.93,319,99.07,29049
37,2,5,0,0.0,5,100.0,37002
37,3,0,0,0.0,0,0.0,37003
37,10,264,8,3.03,256,96.97,37010
37,14,229,8,3.49,221,96.51,37014
37,15,211,7,3.32,204,96.68,37015
37,16,277,9,3.25,268,96.75,37016
37,20,158,2,1.27,156,98.73,37020
37,21,217,6,2.76,211,97.24,37021
37,22,271,11,4.06,260,95.94,37022
37,24,217,5,2.3,212,97.7,37024
37,25,254,12,4.72,242,95.28,37025
37,26,123,9,7.32,114,92.68,37026
37,27,161,2,1.24,159,98.76,37027
37,28,177,3,1.69,174,98.31,37028
37,30,209,12,5.74,197,94.26,37030
37,31,242,4,1.65,238,98.35,37031
37,33,182,8,4.4,174,95.6,37033
37,34,219,6,2.74,213,97.26,37034
37,40,274,2,0.73,272,99.27,37040
37,41,225,4,1.78,221,98.22,37041
37,43,153,0,0.0,153,100.0,37043
37,44,227,11,4.85,216,95.15,37044
37,48,0,0,0.0,0,0.0,37048
37,49,213,5,2.35,208,97.65,37049
37,54,237,7,2.95,230,97.05,37054
37,55,227,6,2.64,221,97.36,37055
37,57,134,2,1.49,132,98.51,37057
37,58,195,2,1.03,193,98.97,37058
