ward,precinct,total,JIM DURKIN,JIM DURKIN Percent,RICHARD J. DURBIN,RICHARD J. DURBIN Percent,STEVEN BURGAUER,STEVEN BURGAUER Percent,precinct_id
1,1,282,41,14.54,235,83.33,6,2.13,01001
1,2,329,53,16.11,269,81.76,7,2.13,01002
1,3,264,35,13.26,224,84.85,5,1.89,01003
1,4,249,42,16.87,201,80.72,6,2.41,01004
1,5,271,45,16.61,219,80.81,7,2.58,01005
1,6,262,64,24.43,191,72.9,7,2.67,01006
1,7,338,81,23.96,250,73.96,7,2.07,01007
1,8,246,42,17.07,203,82.52,1,0.41,01008
1,9,257,30,11.67,221,85.99,6,2.33,01009
1,10,213,50,23.47,153,71.83,10,4.69,01010
1,11,314,48,15.29,254,80.89,12,3.82,01011
1,12,237,53,22.36,176,74.26,8,3.38,01012
1,13,232,31,13.36,195,84.05,6,2.59,01013
1,14,334,49,14.67,279,83.53,6,1.8,01014
1,15,153,11,7.19,140,91.5,2,1.31,01015
1,16,167,10,5.99,153,91.62,4,2.4,01016
1,17,287,52,18.12,220,76.66,15,5.23,01017
1,18,203,10,4.93,189,93.1,4,1.97,01018
1,19,320,50,15.63,260,81.25,10,3.13,01019
1,20,242,37,15.29,194,80.17,11,4.55,01020
1,21,388,91,23.45,284,73.2,13,3.35,01021
1,22,266,38,14.29,224,84.21,4,1.5,01022
1,23,285,47,16.49,228,80.0,10,3.51,01023
1,24,337,42,12.46,284,84.27,11,3.26,01024
1,25,212,33,15.57,175,82.55,4,1.89,01025
1,26,287,44,15.33,236,82.23,7,2.44,01026
1,27,250,57,22.8,187,74.8,6,2.4,01027
1,28,274,48,17.52,221,80.66,5,1.82,01028
1,29,208,33,15.87,172,82.69,3,1.44,01029
1,30,309,51,16.5,253,81.88,5,1.62,01030
1,31,247,78,31.58,166,67.21,3,1.21,01031
1,32,193,27,13.99,166,86.01,0,0.0,01032
1,33,307,45,14.66,252,82.08,10,3.26,01033
1,34,164,24,14.63,138,84.15,2,1.22,01034
1,35,189,56,29.63,129,68.25,4,2.12,01035
1,36,387,82,21.19,291,75.19,14,3.62,01036
1,37,276,39,14.13,232,84.06,5,1.81,01037
1,38,129,15,11.63,113,87.6,1,0.78,01038
1,39,330,47,14.24,276,83.64,7,2.12,01039
2,1,374,92,24.6,260,69.52,22,5.88,02001
2,2,12,0,0.0,12,100.0,0,0.0,02002
2,3,175,34,19.43,137,78.29,4,2.29,02003
2,4,179,9,5.03,169,94.41,1,0.56,02004
2,5,129,3,2.33,124,96.12,2,1.55,02005
2,6,188,45,23.94,142,75.53,1,0.53,02006
2,7,292,10,3.42,281,96.23,1,0.34,02007
2,8,318,60,18.87,253,79.56,5,1.57,02008
2,9,159,4,2.52,155,97.48,0,0.0,02009
2,10,116,6,5.17,108,93.1,2,1.72,02010
2,11,175,48,27.43,127,72.57,0,0.0,02011
2,12,273,96,35.16,171,62.64,6,2.2,02012
2,13,213,30,14.08,179,84.04,4,1.88,02013
2,14,380,28,7.37,350,92.11,2,0.53,02014
2,15,94,4,4.26,88,93.62,2,2.13,02015
2,16,227,58,25.55,165,72.69,4,1.76,02016
2,17,198,6,3.03,190,95.96,2,1.01,02017
2,18,521,130,24.95,383,73.51,8,1.54,02018
2,19,175,10,5.71,164,93.71,1,0.57,02019
2,20,242,18,7.44,221,91.32,3,1.24,02020
2,21,318,45,14.15,270,84.91,3,0.94,02021
2,22,467,99,21.2,367,78.59,1,0.21,02022
2,23,148,9,6.08,136,91.89,3,2.03,02023
2,24,137,10,7.3,127,92.7,0,0.0,02024
2,25,202,27,13.37,173,85.64,2,0.99,02025
2,26,259,42,16.22,213,82.24,4,1.54,02026
2,27,162,9,5.56,153,94.44,0,0.0,02027
2,28,150,40,26.67,108,72.0,2,1.33,02028
2,29,107,14,13.08,92,85.98,1,0.93,02029
2,30,153,5,3.27,147,96.08,1,0.65,02030
2,31,279,14,5.02,264,94.62,1,0.36,02031
2,32,114,5,4.39,109,95.61,0,0.0,02032
2,33,178,5,2.81,171,96.07,2,1.12,02033
2,34,250,14,5.6,235,94.0,1,0.4,02034
2,35,97,30,30.93,65,67.01,2,2.06,02035
2,36,125,5,4.0,117,93.6,3,2.4,02036
2,37,286,70,24.48,213,74.48,3,1.05,02037
2,38,260,26,10.0,229,88.08,5,1.92,02038
2,39,216,18,8.33,190,87.96,8,3.7,02039
2,40,311,45,14.47,262,84.24,4,1.29,02040
2,41,159,10,6.29,149,93.71,0,0.0,02041
2,42,99,4,4.04,94,94.95,1,1.01,02042
2,43,447,95,21.25,347,77.63,5,1.12,02043
2,44,152,11,7.24,140,92.11,1,0.66,02044
2,45,192,10,5.21,181,94.27,1,0.52,02045
2,46,357,18,5.04,336,94.12,3,0.84,02046
2,47,205,15,7.32,187,91.22,3,1.46,02047
2,48,182,7,3.85,174,95.6,1,0.55,02048
2,49,256,47,18.36,202,78.91,7,2.73,02049
2,50,190,27,14.21,161,84.74,2,1.05,02050
2,51,195,10,5.13,184,94.36,1,0.51,02051
2,52,234,18,7.69,214,91.45,2,0.85,02052
2,53,112,3,2.68,109,97.32,0,0.0,02053
2,54,389,79,20.31,299,76.86,11,2.83,02054
2,55,76,10,13.16,66,86.84,0,0.0,02055
2,56,205,8,3.9,196,95.61,1,0.49,02056
2,57,121,11,9.09,105,86.78,5,4.13,02057
2,58,136,20,14.71,115,84.56,1,0.74,02058
2,59,321,51,15.89,262,81.62,8,2.49,02059
3,1,194,9,4.64,184,94.85,1,0.52,03001
3,2,378,20,5.29,355,93.92,3,0.79,03002
3,3,226,33,14.6,192,84.96,1,0.44,03003
3,4,126,3,2.38,121,96.03,2,1.59,03004
3,5,119,11,9.24,105,88.24,3,2.52,03005
3,6,181,10,5.52,169,93.37,2,1.1,03006
3,7,221,16,7.24,201,90.95,4,1.81,03007
3,8,76,3,3.95,72,94.74,1,1.32,03008
3,9,114,14,12.28,100,87.72,0,0.0,03009
3,10,112,1,0.89,110,98.21,1,0.89,03010
3,11,127,6,4.72,120,94.49,1,0.79,03011
3,12,230,19,8.26,210,91.3,1,0.43,03012
3,13,162,29,17.9,129,79.63,4,2.47,03013
3,14,109,14,12.84,90,82.57,5,4.59,03014
3,15,241,14,5.81,227,94.19,0,0.0,03015
3,16,407,21,5.16,384,94.35,2,0.49,03016
3,17,142,6,4.23,134,94.37,2,1.41,03017
3,18,146,10,6.85,134,91.78,2,1.37,03018
3,19,86,3,3.49,82,95.35,1,1.16,03019
3,20,49,2,4.08,46,93.88,1,2.04,03020
3,21,146,5,3.42,139,95.21,2,1.37,03021
3,22,134,4,2.99,129,96.27,1,0.75,03022
3,23,65,1,1.54,63,96.92,1,1.54,03023
3,24,167,9,5.39,156,93.41,2,1.2,03024
3,25,62,4,6.45,57,91.94,1,1.61,03025
3,26,139,2,1.44,135,97.12,2,1.44,03026
3,27,28,1,3.57,26,92.86,1,3.57,03027
3,28,151,12,7.95,138,91.39,1,0.66,03028
3,29,269,20,7.43,246,91.45,3,1.12,03029
3,30,151,5,3.31,145,96.03,1,0.66,03030
3,31,308,19,6.17,288,93.51,1,0.32,03031
3,32,174,3,1.72,170,97.7,1,0.57,03032
3,33,241,9,3.73,225,93.36,7,2.9,03033
3,34,144,2,1.39,142,98.61,0,0.0,03034
3,35,201,4,1.99,196,97.51,1,0.5,03035
3,36,128,9,7.03,118,92.19,1,0.78,03036
3,37,120,6,5.0,112,93.33,2,1.67,03037
