ward,precinct,total,ROBERT J. PETTIS,ROBERT J. PETTIS Percent,JACQUELINE Y. COLLINS,JACQUELINE Y. COLLINS Percent,precinct_id
6,4,241,17,7.05,224,92.95,06004
6,5,178,1,0.56,177,99.44,06005
6,6,253,4,1.58,249,98.42,06006
6,7,331,10,3.02,321,96.98,06007
6,11,281,5,1.78,276,98.22,06011
6,12,273,4,1.47,269,98.53,06012
6,15,275,6,2.18,269,97.82,06015
6,18,74,3,4.05,71,95.95,06018
6,19,368,9,2.45,359,97.55,06019
6,20,295,5,1.69,290,98.31,06020
6,30,272,10,3.68,262,96.32,06030
6,32,342,6,1.75,336,98.25,06032
6,33,364,12,3.3,352,96.7,06033
6,36,170,2,1.18,168,98.82,06036
6,40,182,5,2.75,177,97.25,06040
6,42,181,6,3.31,175,96.69,06042
6,48,290,9,3.1,281,96.9,06048
6,49,299,4,1.34,295,98.66,06049
6,61,205,8,3.9,197,96.1,06061
6,65,102,1,0.98,101,99.02,06065
6,66,297,11,3.7,286,96.3,06066
13,19,235,42,17.87,193,82.13,13019
13,26,210,40,19.05,170,80.95,13026
13,30,270,52,19.26,218,80.74,13030
13,47,321,60,18.69,261,81.31,13047
15,1,59,8,13.56,51,86.44,15001
15,6,191,25,13.09,166,86.91,15006
15,7,174,2,1.15,172,98.85,15007
15,8,264,7,2.65,257,97.35,15008
15,9,218,14,6.42,204,93.58,15009
15,11,196,9,4.59,187,95.41,15011
15,12,128,2,1.56,126,98.44,15012
15,13,142,9,6.34,133,93.66,15013
15,14,224,52,23.21,172,76.79,15014
15,15,209,18,8.61,191,91.39,15015
15,21,209,2,0.96,207,99.04,15021
15,25,207,20,9.66,187,90.34,15025
15,27,149,6,4.03,143,95.97,15027
15,28,242,48,19.83,194,80.17,15028
15,30,1,1,100.0,0,0.0,15030
15,32,218,20,9.17,198,90.83,15032
15,34,161,6,3.73,155,96.27,15034
15,41,261,31,11.88,230,88.12,15041
15,42,130,0,0.0,130,100.0,15042
15,44,190,17,8.95,173,91.05,15044
15,45,88,6,6.82,82,93.18,15045
15,46,190,4,2.11,186,97.89,15046
15,47,217,4,1.84,213,98.16,15047
15,49,87,10,11.49,77,88.51,15049
15,51,151,5,3.31,146,96.69,15051
16,35,152,22,14.47,130,85.53,16035
16,41,95,2,2.11,93,97.89,16041
17,1,160,3,1.88,157,98.13,17001
17,2,225,9,4.0,216,96.0,17002
17,3,215,5,2.33,210,97.67,17003
17,4,358,15,4.19,343,95.81,17004
17,5,238,7,2.94,231,97.06,17005
17,6,180,7,3.89,173,96.11,17006
