ward,precinct,total,ROSEMARY MULLIGAN,ROSEMARY MULLIGAN Percent,BARBARA JONES,BARBARA JONES Percent,precinct_id
41,13,186,90,48.39,96,51.61,41013
41,25,176,78,44.32,98,55.68,41025
41,26,206,106,51.46,100,48.54,41026
41,28,190,87,45.79,103,54.21,41028
41,29,146,68,46.58,78,53.42,41029
41,32,276,136,49.28,140,50.72,41032
41,38,265,109,41.13,156,58.87,41038
41,48,228,97,42.54,131,57.46,41048
41,55,32,19,59.38,13,40.63,41055
