ward,precinct,total,RAYMOND G. WARDINGLEY,RAYMOND G. WARDINGLEY Percent,BOBBY L. RUSH,BOBBY L. RUSH Percent,DOROTHY G. TSATSOS,DOROTHY G. TSATSOS Percent,precinct_id
2,14,339,17,5.01,309,91.15,13,3.83,02014
2,20,243,7,2.88,234,96.3,2,0.82,02020
2,31,291,7,2.41,284,97.59,0,0.0,02031
2,44,159,2,1.26,156,98.11,1,0.63,02044
2,46,362,9,2.49,346,95.58,7,1.93,02046
3,5,116,8,6.9,105,90.52,3,2.59,03005
3,7,232,4,1.72,224,96.55,4,1.72,03007
3,30,149,0,0.0,147,98.66,2,1.34,03030
3,34,147,3,2.04,142,96.6,2,1.36,03034
3,36,21,2,9.52,18,85.71,1,4.76,03036
3,38,52,0,0.0,52,100.0,0,0.0,03038
3,41,83,3,3.61,80,96.39,0,0.0,03041
3,44,113,1,0.88,110,97.35,2,1.77,03044
3,46,216,1,0.46,213,98.61,2,0.93,03046
3,49,4,0,0.0,4,100.0,0,0.0,03049
3,53,194,18,9.28,169,87.11,7,3.61,03053
3,56,18,1,5.56,16,88.89,1,5.56,03056
3,58,82,3,3.66,79,96.34,0,0.0,03058
4,1,279,18,6.45,251,89.96,10,3.58,04001
4,2,325,6,1.85,313,96.31,6,1.85,04002
4,3,448,8,1.79,434,96.88,6,1.34,04003
4,8,272,4,1.47,266,97.79,2,0.74,04008
4,9,546,10,1.83,534,97.8,2,0.37,04009
4,12,156,1,0.64,153,98.08,2,1.28,04012
4,13,243,13,5.35,224,92.18,6,2.47,04013
4,16,369,6,1.63,362,98.1,1,0.27,04016
4,17,338,30,8.88,301,89.05,7,2.07,04017
4,18,286,2,0.7,283,98.95,1,0.35,04018
4,19,322,5,1.55,309,95.96,8,2.48,04019
4,20,132,3,2.27,129,97.73,0,0.0,04020
4,21,379,22,5.8,345,91.03,12,3.17,04021
4,22,385,14,3.64,364,94.55,7,1.82,04022
4,23,252,18,7.14,230,91.27,4,1.59,04023
4,24,367,13,3.54,344,93.73,10,2.72,04024
4,26,308,7,2.27,296,96.1,5,1.62,04026
4,28,248,21,8.47,219,88.31,8,3.23,04028
4,29,244,24,9.84,212,86.89,8,3.28,04029
4,30,171,2,1.17,165,96.49,4,2.34,04030
4,31,100,0,0.0,99,99.0,1,1.0,04031
4,32,387,36,9.3,342,88.37,9,2.33,04032
4,33,116,4,3.45,110,94.83,2,1.72,04033
4,34,236,19,8.05,205,86.86,12,5.08,04034
4,37,179,1,0.56,176,98.32,2,1.12,04037
4,38,427,25,5.85,393,92.04,9,2.11,04038
4,39,140,0,0.0,140,100.0,0,0.0,04039
4,40,283,15,5.3,261,92.23,7,2.47,04040
4,41,154,12,7.79,135,87.66,7,4.55,04041
4,43,232,20,8.62,206,88.79,6,2.59,04043
4,44,222,15,6.76,200,90.09,7,3.15,04044
4,45,481,26,5.41,446,92.72,9,1.87,04045
4,46,270,10,3.7,259,95.93,1,0.37,04046
4,47,440,21,4.77,407,92.5,12,2.73,04047
4,48,457,42,9.19,404,88.4,11,2.41,04048
4,49,109,1,0.92,105,96.33,3,2.75,04049
4,50,242,5,2.07,235,97.11,2,0.83,04050
4,51,355,4,1.13,351,98.87,0,0.0,04051
4,52,86,0,0.0,84,97.67,2,2.33,04052
4,53,17,1,5.88,16,94.12,0,0.0,04053
4,54,178,12,6.74,163,91.57,3,1.69,04054
4,55,231,11,4.76,211,91.34,9,3.9,04055
4,56,343,3,0.87,333,97.08,7,2.04,04056
4,57,161,5,3.11,153,95.03,3,1.86,04057
5,2,234,4,1.71,230,98.29,0,0.0,05002
5,3,163,10,6.13,144,88.34,9,5.52,05003
5,5,242,3,1.24,237,97.93,2,0.83,05005
5,8,421,43,10.21,358,85.04,20,4.75,05008
5,9,286,2,0.7,282,98.6,2,0.7,05009
5,10,301,1,0.33,297,98.67,3,1.0,05010
5,12,211,3,1.42,205,97.16,3,1.42,05012
5,13,268,4,1.49,261,97.39,3,1.12,05013
5,15,289,14,4.84,266,92.04,9,3.11,05015
5,16,250,2,0.8,246,98.4,2,0.8,05016
5,17,320,2,0.63,314,98.13,4,1.25,05017
5,18,298,1,0.34,296,99.33,1,0.34,05018
5,19,154,1,0.65,153,99.35,0,0.0,05019
5,20,165,3,1.82,162,98.18,0,0.0,05020
5,22,301,3,1.0,294,97.67,4,1.33,05022
5,23,223,3,1.35,218,97.76,2,0.9,05023
5,25,326,6,1.84,320,98.16,0,0.0,05025
5,27,383,48,12.53,320,83.55,15,3.92,05027
5,30,312,44,14.1,256,82.05,12,3.85,05030
5,33,274,5,1.82,266,97.08,3,1.09,05033
5,35,210,23,10.95,175,83.33,12,5.71,05035
5,39,325,30,9.23,280,86.15,15,4.62,05039
5,41,297,36,12.12,246,82.83,15,5.05,05041
5,45,181,2,1.1,177,97.79,2,1.1,05045
5,48,227,7,3.08,213,93.83,7,3.08,05048
5,50,259,1,0.39,254,98.07,4,1.54,05050
5,51,246,3,1.22,240,97.56,3,1.22,05051
5,52,100,10,10.0,86,86.0,4,4.0,05052
5,53,388,23,5.93,358,92.27,7,1.8,05053
6,1,361,5,1.39,348,96.4,8,2.22,06001
6,2,354,4,1.13,348,98.31,2,0.56,06002
6,3,339,4,1.18,333,98.23,2,0.59,06003
6,4,250,9,3.6,238,95.2,3,1.2,06004
6,5,182,0,0.0,179,98.35,3,1.65,06005
6,6,263,3,1.14,259,98.48,1,0.38,06006
6,7,349,4,1.15,341,97.71,4,1.15,06007
6,8,297,1,0.34,296,99.66,0,0.0,06008
6,9,239,4,1.67,235,98.33,0,0.0,06009
6,10,399,9,2.26,390,97.74,0,0.0,06010
6,11,292,3,1.03,289,98.97,0,0.0,06011
6,12,287,3,1.05,283,98.61,1,0.35,06012
6,13,279,1,0.36,277,99.28,1,0.36,06013
6,14,317,3,0.95,314,99.05,0,0.0,06014
6,15,287,2,0.7,285,99.3,0,0.0,06015
6,16,328,3,0.91,324,98.78,1,0.3,06016
6,17,366,3,0.82,359,98.09,4,1.09,06017
6,18,81,1,1.23,80,98.77,0,0.0,06018
6,19,380,3,0.79,375,98.68,2,0.53,06019
6,20,315,6,1.9,306,97.14,3,0.95,06020
6,23,261,3,1.15,258,98.85,0,0.0,06023
6,24,305,2,0.66,303,99.34,0,0.0,06024
6,25,198,2,1.01,195,98.48,1,0.51,06025
6,26,328,5,1.52,320,97.56,3,0.91,06026
6,27,390,3,0.77,384,98.46,3,0.77,06027
6,28,482,3,0.62,476,98.76,3,0.62,06028
6,29,373,5,1.34,364,97.59,4,1.07,06029
6,30,281,1,0.36,278,98.93,2,0.71,06030
6,31,355,4,1.13,347,97.75,4,1.13,06031
6,32,361,1,0.28,357,98.89,3,0.83,06032
6,33,368,4,1.09,361,98.1,3,0.82,06033
6,34,288,5,1.74,280,97.22,3,1.04,06034
6,35,378,5,1.32,369,97.62,4,1.06,06035
6,36,179,0,0.0,178,99.44,1,0.56,06036
6,37,349,3,0.86,339,97.13,7,2.01,06037
6,38,334,7,2.1,323,96.71,4,1.2,06038
6,39,281,3,1.07,276,98.22,2,0.71,06039
6,40,190,4,2.11,186,97.89,0,0.0,06040
6,41,315,5,1.59,306,97.14,4,1.27,06041
6,42,195,0,0.0,194,99.49,1,0.51,06042
6,43,369,2,0.54,362,98.1,5,1.36,06043
6,44,320,1,0.31,318,99.38,1,0.31,06044
6,45,196,3,1.53,192,97.96,1,0.51,06045
6,46,290,5,1.72,283,97.59,2,0.69,06046
6,47,322,4,1.24,314,97.52,4,1.24,06047
6,48,344,5,1.45,332,96.51,7,2.03,06048
6,49,327,2,0.61,325,99.39,0,0.0,06049
6,50,290,6,2.07,284,97.93,0,0.0,06050
6,51,257,1,0.39,253,98.44,3,1.17,06051
6,52,254,4,1.57,247,97.24,3,1.18,06052
6,53,273,5,1.83,266,97.44,2,0.73,06053
6,54,284,1,0.35,279,98.24,4,1.41,06054
6,55,272,5,1.84,266,97.79,1,0.37,06055
6,56,237,1,0.42,234,98.73,2,0.84,06056
6,57,168,0,0.0,167,99.4,1,0.6,06057
6,58,329,6,1.82,319,96.96,4,1.22,06058
6,59,259,1,0.39,257,99.23,1,0.39,06059
6,60,214,0,0.0,213,99.53,1,0.47,06060
6,61,213,1,0.47,210,98.59,2,0.94,06061
6,62,117,3,2.56,112,95.73,2,1.71,06062
6,63,256,2,0.78,251,98.05,3,1.17,06063
6,65,107,0,0.0,107,100.0,0,0.0,06065
6,66,306,4,1.31,299,97.71,3,0.98,06066
8,1,339,4,1.18,334,98.53,1,0.29,08001
8,2,172,1,0.58,171,99.42,0,0.0,08002
8,3,67,0,0.0,67,100.0,0,0.0,08003
8,6,342,5,1.46,336,98.25,1,0.29,08006
8,10,380,0,0.0,379,99.74,1,0.26,08010
8,11,294,2,0.68,290,98.64,2,0.68,08011
8,12,289,5,1.73,282,97.58,2,0.69,08012
8,13,257,1,0.39,256,99.61,0,0.0,08013
8,14,279,1,0.36,278,99.64,0,0.0,08014
8,16,317,1,0.32,314,99.05,2,0.63,08016
8,18,221,1,0.45,218,98.64,2,0.9,08018
8,20,225,1,0.44,222,98.67,2,0.89,08020
8,21,238,2,0.84,234,98.32,2,0.84,08021
8,22,272,1,0.37,269,98.9,2,0.74,08022
8,29,312,2,0.64,307,98.4,3,0.96,08029
8,30,242,3,1.24,238,98.35,1,0.41,08030
8,31,219,2,0.91,216,98.63,1,0.46,08031
8,33,266,4,1.5,260,97.74,2,0.75,08033
8,35,374,1,0.27,368,98.4,5,1.34,08035
8,37,344,1,0.29,340,98.84,3,0.87,08037
8,38,294,3,1.02,288,97.96,3,1.02,08038
8,40,301,2,0.66,295,98.01,4,1.33,08040
8,41,280,1,0.36,272,97.14,7,2.5,08041
8,43,315,4,1.27,308,97.78,3,0.95,08043
8,45,228,3,1.32,220,96.49,5,2.19,08045
8,48,230,2,0.87,227,98.7,1,0.43,08048
8,52,302,3,0.99,299,99.01,0,0.0,08052
8,53,352,1,0.28,348,98.86,3,0.85,08053
8,54,300,7,2.33,288,96.0,5,1.67,08054
8,55,310,4,1.29,306,98.71,0,0.0,08055
8,56,384,6,1.56,378,98.44,0,0.0,08056
8,58,320,2,0.63,317,99.06,1,0.31,08058
8,59,205,6,2.93,199,97.07,0,0.0,08059
8,61,255,4,1.57,250,98.04,1,0.39,08061
8,64,278,0,0.0,276,99.28,2,0.72,08064
8,67,145,3,2.07,141,97.24,1,0.69,08067
8,68,194,2,1.03,191,98.45,1,0.52,08068
8,69,188,1,0.53,185,98.4,2,1.06,08069
9,54,257,4,1.56,250,97.28,3,1.17,09054
9,56,172,0,0.0,171,99.42,1,0.58,09056
9,58,230,1,0.43,228,99.13,1,0.43,09058
15,2,191,2,1.05,189,98.95,0,0.0,15002
15,3,229,4,1.75,223,97.38,2,0.87,15003
15,4,210,5,2.38,204,97.14,1,0.48,15004
15,5,206,5,2.43,198,96.12,3,1.46,15005
15,6,197,17,8.63,168,85.28,12,6.09,15006
15,7,201,1,0.5,200,99.5,0,0.0,15007
15,8,275,4,1.45,269,97.82,2,0.73,15008
15,9,216,8,3.7,204,94.44,4,1.85,15009
15,11,199,5,2.51,191,95.98,3,1.51,15011
15,12,133,2,1.5,129,96.99,2,1.5,15012
15,17,218,0,0.0,217,99.54,1,0.46,15017
15,18,184,2,1.09,175,95.11,7,3.8,15018
15,19,204,2,0.98,200,98.04,2,0.98,15019
15,20,190,3,1.58,186,97.89,1,0.53,15020
15,21,218,1,0.46,213,97.71,4,1.83,15021
15,22,227,5,2.2,216,95.15,6,2.64,15022
15,23,183,6,3.28,175,95.63,2,1.09,15023
15,24,187,6,3.21,176,94.12,5,2.67,15024
15,26,172,4,2.33,168,97.67,0,0.0,15026
15,27,153,5,3.27,146,95.42,2,1.31,15027
15,29,109,3,2.75,106,97.25,0,0.0,15029
15,30,233,5,2.15,226,97.0,2,0.86,15030
15,31,175,2,1.14,172,98.29,1,0.57,15031
15,33,181,2,1.1,177,97.79,2,1.1,15033
15,34,176,4,2.27,167,94.89,5,2.84,15034
15,35,209,3,1.44,204,97.61,2,0.96,15035
15,36,174,3,1.72,170,97.7,1,0.57,15036
15,37,192,2,1.04,188,97.92,2,1.04,15037
15,38,175,9,5.14,160,91.43,6,3.43,15038
15,39,223,0,0.0,219,98.21,4,1.79,15039
15,40,199,3,1.51,194,97.49,2,1.01,15040
15,41,283,21,7.42,257,90.81,5,1.77,15041
15,42,138,0,0.0,138,100.0,0,0.0,15042
15,43,199,3,1.51,196,98.49,0,0.0,15043
15,45,87,3,3.45,80,91.95,4,4.6,15045
15,46,200,1,0.5,197,98.5,2,1.0,15046
15,47,226,1,0.44,223,98.67,2,0.88,15047
15,48,166,4,2.41,158,95.18,4,2.41,15048
15,49,61,6,9.84,54,88.52,1,1.64,15049
15,50,193,1,0.52,191,98.96,1,0.52,15050
15,51,153,3,1.96,147,96.08,3,1.96,15051
15,52,127,2,1.57,125,98.43,0,0.0,15052
16,2,159,1,0.63,156,98.11,2,1.26,16002
16,3,232,4,1.72,227,97.84,1,0.43,16003
16,5,226,0,0.0,222,98.23,4,1.77,16005
16,8,174,8,4.6,163,93.68,3,1.72,16008
16,9,277,4,1.44,269,97.11,4,1.44,16009
16,10,159,2,1.26,152,95.6,5,3.14,16010
16,12,160,3,1.88,156,97.5,1,0.63,16012
16,14,228,0,0.0,227,99.56,1,0.44,16014
16,19,152,2,1.32,148,97.37,2,1.32,16019
16,25,157,2,1.27,154,98.09,1,0.64,16025
16,26,233,4,1.72,227,97.42,2,0.86,16026
16,27,235,2,0.85,230,97.87,3,1.28,16027
16,28,277,2,0.72,273,98.56,2,0.72,16028
16,31,251,3,1.2,248,98.8,0,0.0,16031
16,34,181,0,0.0,179,98.9,2,1.1,16034
16,36,208,2,0.96,204,98.08,2,0.96,16036
16,37,183,1,0.55,179,97.81,3,1.64,16037
16,38,192,5,2.6,184,95.83,3,1.56,16038
16,40,254,7,2.76,245,96.46,2,0.79,16040
16,41,100,2,2.0,97,97.0,1,1.0,16041
16,43,243,3,1.23,236,97.12,4,1.65,16043
16,44,209,19,9.09,182,87.08,8,3.83,16044
16,45,141,2,1.42,138,97.87,1,0.71,16045
16,46,89,0,0.0,88,98.88,1,1.12,16046
16,47,81,32,39.51,49,60.49,0,0.0,16047
17,1,166,1,0.6,164,98.8,1,0.6,17001
17,2,237,5,2.11,230,97.05,2,0.84,17002
17,3,208,2,0.96,205,98.56,1,0.48,17003
17,4,366,2,0.55,360,98.36,4,1.09,17004
17,5,247,3,1.21,241,97.57,3,1.21,17005
17,6,204,2,0.98,200,98.04,2,0.98,17006
17,7,293,2,0.68,290,98.98,1,0.34,17007
17,8,163,2,1.23,161,98.77,0,0.0,17008
17,9,183,1,0.55,182,99.45,0,0.0,17009
17,10,288,6,2.08,279,96.88,3,1.04,17010
17,11,263,0,0.0,263,100.0,0,0.0,17011
17,12,281,2,0.71,277,98.58,2,0.71,17012
