ward,precinct,total,BRIAN LEE O'DONNELL,BRIAN LEE O'DONNELL Percent,LOU LANG,LOU LANG Percent,precinct_id
40,8,80,22,27.5,58,72.5,40008
49,28,213,25,11.74,188,88.26,49028
49,38,199,21,10.55,178,89.45,49038
49,40,225,41,18.22,184,81.78,49040
49,41,238,52,21.85,186,78.15,49041
49,44,283,55,19.43,228,80.57,49044
50,1,340,59,17.35,281,82.65,50001
50,2,319,59,18.5,260,81.5,50002
50,3,281,35,12.46,246,87.54,50003
50,4,290,53,18.28,237,81.72,50004
50,5,307,42,13.68,265,86.32,50005
50,6,241,39,16.18,202,83.82,50006
50,7,319,74,23.2,245,76.8,50007
50,8,241,62,25.73,179,74.27,50008
50,9,232,43,18.53,189,81.47,50009
50,10,234,36,15.38,198,84.62,50010
50,11,245,28,11.43,217,88.57,50011
50,12,228,25,10.96,203,89.04,50012
50,13,316,58,18.35,258,81.65,50013
50,14,170,27,15.88,143,84.12,50014
50,15,319,64,20.06,255,79.94,50015
50,16,190,18,9.47,172,90.53,50016
50,17,230,40,17.39,190,82.61,50017
50,18,207,35,16.91,172,83.09,50018
50,19,222,44,19.82,178,80.18,50019
50,20,256,66,25.78,190,74.22,50020
50,21,318,64,20.13,254,79.87,50021
50,22,270,57,21.11,213,78.89,50022
50,23,187,55,29.41,132,70.59,50023
50,24,233,47,20.17,186,79.83,50024
50,25,280,68,24.29,212,75.71,50025
50,26,175,38,21.71,137,78.29,50026
50,27,133,12,9.02,121,90.98,50027
50,28,292,49,16.78,243,83.22,50028
50,29,273,51,18.68,222,81.32,50029
50,30,256,42,16.41,214,83.59,50030
50,31,127,4,3.15,123,96.85,50031
50,32,206,35,16.99,171,83.01,50032
50,33,159,33,20.75,126,79.25,50033
50,34,67,12,17.91,55,82.09,50034
50,35,326,65,19.94,261,80.06,50035
50,36,274,55,20.07,219,79.93,50036
50,37,321,59,18.38,262,81.62,50037
50,38,182,15,8.24,167,91.76,50038
50,39,249,31,12.45,218,87.55,50039
50,40,289,43,14.88,246,85.12,50040
50,41,332,55,16.57,277,83.43,50041
50,42,322,65,20.19,257,79.81,50042
50,43,226,48,21.24,178,78.76,50043
