ward,precinct,total,TERRENCE F. GOGGIN,TERRENCE F. GOGGIN Percent,MICHAEL J. MADIGAN,MICHAEL J. MADIGAN Percent,precinct_id
13,1,308,73,23.7,235,76.3,13001
13,2,261,59,22.61,202,77.39,13002
13,4,332,72,21.69,260,78.31,13004
13,5,267,41,15.36,226,84.64,13005
13,6,288,67,23.26,221,76.74,13006
13,7,317,42,13.25,275,86.75,13007
13,8,347,72,20.75,275,79.25,13008
13,9,306,49,16.01,257,83.99,13009
13,10,283,68,24.03,215,75.97,13010
13,11,278,36,12.95,242,87.05,13011
13,12,325,61,18.77,264,81.23,13012
13,13,357,53,14.85,304,85.15,13013
13,14,260,50,19.23,210,80.77,13014
13,15,317,62,19.56,255,80.44,13015
13,16,258,46,17.83,212,82.17,13016
13,17,334,68,20.36,266,79.64,13017
13,21,205,42,20.49,163,79.51,13021
13,22,328,49,14.94,279,85.06,13022
13,23,244,30,12.3,214,87.7,13023
13,24,336,48,14.29,288,85.71,13024
13,25,258,57,22.09,201,77.91,13025
13,27,360,76,21.11,284,78.89,13027
13,28,237,26,10.97,211,89.03,13028
13,29,299,61,20.4,238,79.6,13029
13,32,284,41,14.44,243,85.56,13032
13,33,280,50,17.86,230,82.14,13033
13,34,289,45,15.57,244,84.43,13034
13,35,350,47,13.43,303,86.57,13035
13,36,193,30,15.54,163,84.46,13036
13,37,230,39,16.96,191,83.04,13037
13,38,338,91,26.92,247,73.08,13038
13,39,291,46,15.81,245,84.19,13039
13,40,274,36,13.14,238,86.86,13040
13,41,236,34,14.41,202,85.59,13041
13,42,366,83,22.68,283,77.32,13042
13,43,248,32,12.9,216,87.1,13043
13,44,364,21,5.77,343,94.23,13044
13,45,430,88,20.47,342,79.53,13045
13,46,281,32,11.39,249,88.61,13046
13,48,291,58,19.93,233,80.07,13048
13,49,351,64,18.23,287,81.77,13049
13,50,363,46,12.67,317,87.33,13050
13,51,258,36,13.95,222,86.05,13051
13,52,359,77,21.45,282,78.55,13052
13,53,363,81,22.31,282,77.69,13053
13,54,309,41,13.27,268,86.73,13054
