ward,precinct,total,PETER N. SILVESTRI,PETER N. SILVESTRI Percent,ROBERT MARTWICK,ROBERT MARTWICK Percent,precinct_id
29,9,120,48,40.0,72,60.0,29009
29,24,120,40,33.33,80,66.67,29024
29,32,192,59,30.73,133,69.27,29032
30,2,150,59,39.33,91,60.67,30002
36,1,276,100,36.23,176,63.77,36001
36,2,227,81,35.68,146,64.32,36002
36,3,270,54,20.0,216,80.0,36003
36,4,177,39,22.03,138,77.97,36004
36,5,259,130,50.19,129,49.81,36005
36,6,286,107,37.41,179,62.59,36006
36,7,270,126,46.67,144,53.33,36007
36,8,287,107,37.28,180,62.72,36008
36,9,310,129,41.61,181,58.39,36009
36,10,192,73,38.02,119,61.98,36010
36,11,397,159,40.05,238,59.95,36011
36,12,231,124,53.68,107,46.32,36012
36,13,451,111,24.61,340,75.39,36013
36,14,327,70,21.41,257,78.59,36014
36,15,313,110,35.14,203,64.86,36015
36,16,409,143,34.96,266,65.04,36016
36,17,275,139,50.55,136,49.45,36017
36,18,380,202,53.16,178,46.84,36018
36,19,346,91,26.3,255,73.7,36019
36,20,424,132,31.13,292,68.87,36020
36,21,463,179,38.66,284,61.34,36021
36,22,419,164,39.14,255,60.86,36022
36,25,232,102,43.97,130,56.03,36025
36,26,337,126,37.39,211,62.61,36026
36,27,161,79,49.07,82,50.93,36027
36,28,244,90,36.89,154,63.11,36028
36,29,298,120,40.27,178,59.73,36029
36,30,389,190,48.84,199,51.16,36030
36,31,376,140,37.23,236,62.77,36031
36,32,318,118,37.11,200,62.89,36032
36,33,198,70,35.35,128,64.65,36033
36,34,249,122,49.0,127,51.0,36034
36,35,394,149,37.82,245,62.18,36035
36,36,57,18,31.58,39,68.42,36036
36,37,271,118,43.54,153,56.46,36037
36,38,217,72,33.18,145,66.82,36038
36,39,302,140,46.36,162,53.64,36039
36,40,366,162,44.26,204,55.74,36040
36,42,271,117,43.17,154,56.83,36042
36,45,265,112,42.26,153,57.74,36045
36,46,264,130,49.24,134,50.76,36046
36,47,218,92,42.2,126,57.8,36047
36,48,332,169,50.9,163,49.1,36048
36,49,377,184,48.81,193,51.19,36049
36,50,299,111,37.12,188,62.88,36050
36,51,323,90,27.86,233,72.14,36051
36,52,288,91,31.6,197,68.4,36052
36,53,192,69,35.94,123,64.06,36053
36,55,371,137,36.93,234,63.07,36055
38,3,261,109,41.76,152,58.24,38003
38,8,193,90,46.63,103,53.37,38008
38,12,311,133,42.77,178,57.23,38012
38,19,306,130,42.48,176,57.52,38019
38,38,330,140,42.42,190,57.58,38038
41,1,270,167,61.85,103,38.15,41001
41,2,418,251,60.05,167,39.95,41002
41,3,225,111,49.33,114,50.67,41003
41,4,319,184,57.68,135,42.32,41004
41,5,443,240,54.18,203,45.82,41005
41,6,301,170,56.48,131,43.52,41006
41,7,470,275,58.51,195,41.49,41007
41,8,299,171,57.19,128,42.81,41008
41,9,296,141,47.64,155,52.36,41009
41,10,317,189,59.62,128,40.38,41010
41,11,264,173,65.53,91,34.47,41011
41,12,410,199,48.54,211,51.46,41012
41,13,280,145,51.79,135,48.21,41013
41,14,373,216,57.91,157,42.09,41014
41,15,238,115,48.32,123,51.68,41015
41,16,342,183,53.51,159,46.49,41016
41,17,329,185,56.23,144,43.77,41017
41,18,246,127,51.63,119,48.37,41018
41,19,295,161,54.58,134,45.42,41019
41,20,372,173,46.51,199,53.49,41020
41,21,374,211,56.42,163,43.58,41021
41,22,269,155,57.62,114,42.38,41022
41,23,302,152,50.33,150,49.67,41023
41,24,246,145,58.94,101,41.06,41024
41,25,168,63,37.5,105,62.5,41025
41,26,225,128,56.89,97,43.11,41026
41,27,159,64,40.25,95,59.75,41027
41,28,187,78,41.71,109,58.29,41028
41,29,147,64,43.54,83,56.46,41029
41,30,296,153,51.69,143,48.31,41030
41,31,362,210,58.01,152,41.99,41031
41,32,288,149,51.74,139,48.26,41032
41,33,314,191,60.83,123,39.17,41033
41,34,313,191,61.02,122,38.98,41034
41,35,308,173,56.17,135,43.83,41035
41,36,349,193,55.3,156,44.7,41036
41,37,376,245,65.16,131,34.84,41037
41,38,269,118,43.87,151,56.13,41038
41,39,255,153,60.0,102,40.0,41039
41,40,265,167,63.02,98,36.98,41040
41,41,318,205,64.47,113,35.53,41041
41,42,307,199,64.82,108,35.18,41042
41,43,272,121,44.49,151,55.51,41043
41,44,285,155,54.39,130,45.61,41044
41,45,273,111,40.66,162,59.34,41045
41,46,278,145,52.16,133,47.84,41046
41,47,305,181,59.34,124,40.66,41047
41,48,235,112,47.66,123,52.34,41048
41,49,259,157,60.62,102,39.38,41049
41,50,323,161,49.85,162,50.15,41050
41,51,267,161,60.3,106,39.7,41051
41,52,329,215,65.35,114,34.65,41052
41,53,393,251,63.87,142,36.13,41053
41,54,261,170,65.13,91,34.87,41054
41,55,328,208,63.41,120,36.59,41055
41,56,370,233,62.97,137,37.03,41056
41,57,324,178,54.94,146,45.06,41057
41,58,246,150,60.98,96,39.02,41058
41,59,276,162,58.7,114,41.3,41059
41,60,273,157,57.51,116,42.49,41060
41,61,393,235,59.8,158,40.2,41061
41,62,304,137,45.07,167,54.93,41062
41,63,292,188,64.38,104,35.62,41063
41,64,320,200,62.5,120,37.5,41064
41,65,395,180,45.57,215,54.43,41065
41,66,332,220,66.27,112,33.73,41066
41,67,231,113,48.92,118,51.08,41067
41,68,211,109,51.66,102,48.34,41068
41,69,123,78,63.41,45,36.59,41069
41,70,231,142,61.47,89,38.53,41070
41,71,188,101,53.72,87,46.28,41071
45,2,343,142,41.4,201,58.6,45002
45,3,400,112,28.0,288,72.0,45003
45,4,217,114,52.53,103,47.47,45004
45,5,133,83,62.41,50,37.59,45005
45,6,293,116,39.59,177,60.41,45006
45,8,73,19,26.03,54,73.97,45008
45,9,353,144,40.79,209,59.21,45009
45,11,276,126,45.65,150,54.35,45011
45,13,348,140,40.23,208,59.77,45013
45,15,363,147,40.5,216,59.5,45015
45,17,298,134,44.97,164,55.03,45017
45,18,291,91,31.27,200,68.73,45018
45,19,337,149,44.21,188,55.79,45019
45,21,315,153,48.57,162,51.43,45021
45,22,280,137,48.93,143,51.07,45022
45,23,336,154,45.83,182,54.17,45023
45,24,366,178,48.63,188,51.37,45024
45,26,144,42,29.17,102,70.83,45026
45,27,300,80,26.67,220,73.33,45027
45,30,305,151,49.51,154,50.49,45030
45,32,229,113,49.34,116,50.66,45032
45,33,286,121,42.31,165,57.69,45033
45,34,255,108,42.35,147,57.65,45034
45,35,307,153,49.84,154,50.16,45035
45,36,281,150,53.38,131,46.62,45036
45,37,253,89,35.18,164,64.82,45037
45,38,123,38,30.89,85,69.11,45038
45,39,263,88,33.46,175,66.54,45039
45,40,326,97,29.75,229,70.25,45040
45,41,222,91,40.99,131,59.01,45041
45,42,269,82,30.48,187,69.52,45042
45,43,274,97,35.4,177,64.6,45043
45,44,343,156,45.48,187,54.52,45044
45,45,267,110,41.2,157,58.8,45045
45,49,288,121,42.01,167,57.99,45049
45,51,312,147,47.12,165,52.88,45051
45,52,291,122,41.92,169,58.08,45052
