ward,precinct,total,DEBORAH SIMS,DEBORAH SIMS Percent,precinct_id
9,1,320,320,100.0,09001
9,2,336,336,100.0,09002
9,3,219,219,100.0,09003
9,4,354,354,100.0,09004
9,5,316,316,100.0,09005
9,6,291,291,100.0,09006
9,7,296,296,100.0,09007
9,9,317,317,100.0,09009
9,10,278,278,100.0,09010
9,11,193,193,100.0,09011
9,12,302,302,100.0,09012
9,13,367,367,100.0,09013
9,14,375,375,100.0,09014
9,15,138,138,100.0,09015
9,16,317,317,100.0,09016
9,17,272,272,100.0,09017
9,18,308,308,100.0,09018
9,19,335,335,100.0,09019
9,22,342,342,100.0,09022
9,23,217,217,100.0,09023
9,24,160,160,100.0,09024
9,25,133,133,100.0,09025
9,26,196,196,100.0,09026
9,28,223,223,100.0,09028
9,29,259,259,100.0,09029
9,30,239,239,100.0,09030
9,31,243,243,100.0,09031
9,32,303,303,100.0,09032
9,33,178,178,100.0,09033
9,34,281,281,100.0,09034
9,35,283,283,100.0,09035
9,38,298,298,100.0,09038
9,39,290,290,100.0,09039
9,40,300,300,100.0,09040
9,41,355,355,100.0,09041
9,42,246,246,100.0,09042
9,43,214,214,100.0,09043
9,44,254,254,100.0,09044
9,45,305,305,100.0,09045
9,46,260,260,100.0,09046
9,47,177,177,100.0,09047
9,48,298,298,100.0,09048
9,50,118,118,100.0,09050
9,52,274,274,100.0,09052
9,53,229,229,100.0,09053
9,57,26,26,100.0,09057
19,43,293,293,100.0,19043
19,48,266,266,100.0,19048
19,50,278,278,100.0,19050
19,66,312,312,100.0,19066
34,1,368,368,100.0,34001
34,2,265,265,100.0,34002
34,3,231,231,100.0,34003
34,4,267,267,100.0,34004
34,5,218,218,100.0,34005
34,6,193,193,100.0,34006
34,7,342,342,100.0,34007
34,8,299,299,100.0,34008
34,9,249,249,100.0,34009
34,10,359,359,100.0,34010
34,11,222,222,100.0,34011
34,12,275,275,100.0,34012
34,14,222,222,100.0,34014
34,15,214,214,100.0,34015
34,16,221,221,100.0,34016
34,17,257,257,100.0,34017
34,18,215,215,100.0,34018
34,19,208,208,100.0,34019
34,20,337,337,100.0,34020
34,21,322,322,100.0,34021
34,22,312,312,100.0,34022
34,23,234,234,100.0,34023
34,24,258,258,100.0,34024
34,25,163,163,100.0,34025
34,26,233,233,100.0,34026
34,27,201,201,100.0,34027
34,28,186,186,100.0,34028
34,29,355,355,100.0,34029
34,30,347,347,100.0,34030
34,31,192,192,100.0,34031
34,32,322,322,100.0,34032
34,33,153,153,100.0,34033
34,34,253,253,100.0,34034
34,35,345,345,100.0,34035
34,36,270,270,100.0,34036
34,37,182,182,100.0,34037
34,38,200,200,100.0,34038
34,39,184,184,100.0,34039
34,40,317,317,100.0,34040
34,41,260,260,100.0,34041
34,42,304,304,100.0,34042
34,43,294,294,100.0,34043
34,44,386,386,100.0,34044
34,45,329,329,100.0,34045
34,46,192,192,100.0,34046
34,47,142,142,100.0,34047
34,48,284,284,100.0,34048
34,49,328,328,100.0,34049
34,50,244,244,100.0,34050
34,51,419,419,100.0,34051
34,52,234,234,100.0,34052
34,53,235,235,100.0,34053
34,54,219,219,100.0,34054
34,55,210,210,100.0,34055
34,56,235,235,100.0,34056
34,57,195,195,100.0,34057
34,58,224,224,100.0,34058
34,59,234,234,100.0,34059
34,60,189,189,100.0,34060
34,61,215,215,100.0,34061
34,63,244,244,100.0,34063
34,65,118,118,100.0,34065
