ward,precinct,total,RICKEY R. HENDON,RICKEY R. HENDON Percent,precinct_id
1,6,189,189,100.0,01006
1,8,56,56,100.0,01008
1,12,187,187,100.0,01012
1,14,18,18,100.0,01014
1,21,49,49,100.0,01021
1,31,95,95,100.0,01031
1,32,0,0,0.0,01032
1,35,102,102,100.0,01035
2,2,12,12,100.0,02002
2,3,161,161,100.0,02003
2,4,171,171,100.0,02004
2,5,128,128,100.0,02005
2,6,154,154,100.0,02006
2,9,150,150,100.0,02009
2,10,117,117,100.0,02010
2,12,203,203,100.0,02012
2,13,151,151,100.0,02013
2,15,96,96,100.0,02015
2,16,192,192,100.0,02016
2,17,198,198,100.0,02017
2,19,166,166,100.0,02019
2,23,138,138,100.0,02023
2,24,122,122,100.0,02024
2,25,171,171,100.0,02025
2,27,151,151,100.0,02027
2,28,118,118,100.0,02028
2,29,93,93,100.0,02029
2,30,147,147,100.0,02030
2,32,112,112,100.0,02032
2,33,178,178,100.0,02033
2,34,245,245,100.0,02034
2,36,105,105,100.0,02036
2,38,233,233,100.0,02038
2,39,198,198,100.0,02039
2,41,156,156,100.0,02041
2,42,83,83,100.0,02042
2,45,179,179,100.0,02045
2,47,192,192,100.0,02047
2,48,163,163,100.0,02048
2,49,0,0,0.0,02049
2,50,163,163,100.0,02050
2,51,193,193,100.0,02051
2,52,214,214,100.0,02052
2,53,112,112,100.0,02053
2,56,187,187,100.0,02056
2,57,123,123,100.0,02057
11,50,1,1,100.0,11050
12,7,0,0,0.0,12007
22,7,182,182,100.0,22007
22,19,170,170,100.0,22019
22,21,206,206,100.0,22021
24,1,182,182,100.0,24001
24,2,227,227,100.0,24002
24,3,197,197,100.0,24003
24,4,211,211,100.0,24004
24,5,196,196,100.0,24005
24,6,264,264,100.0,24006
24,8,196,196,100.0,24008
24,9,246,246,100.0,24009
24,10,196,196,100.0,24010
24,11,133,133,100.0,24011
24,12,180,180,100.0,24012
24,13,179,179,100.0,24013
24,14,284,284,100.0,24014
24,15,192,192,100.0,24015
24,17,227,227,100.0,24017
24,18,145,145,100.0,24018
24,19,174,174,100.0,24019
24,20,239,239,100.0,24020
24,21,160,160,100.0,24021
24,22,213,213,100.0,24022
24,23,223,223,100.0,24023
24,24,145,145,100.0,24024
24,25,130,130,100.0,24025
24,26,247,247,100.0,24026
24,27,138,138,100.0,24027
24,28,236,236,100.0,24028
24,29,235,235,100.0,24029
24,30,180,180,100.0,24030
24,31,200,200,100.0,24031
24,32,216,216,100.0,24032
24,33,149,149,100.0,24033
24,34,197,197,100.0,24034
24,35,129,129,100.0,24035
24,36,201,201,100.0,24036
24,37,221,221,100.0,24037
24,38,216,216,100.0,24038
24,39,231,231,100.0,24039
24,40,272,272,100.0,24040
24,42,185,185,100.0,24042
24,43,282,282,100.0,24043
24,44,79,79,100.0,24044
24,45,202,202,100.0,24045
24,47,172,172,100.0,24047
24,48,118,118,100.0,24048
24,49,290,290,100.0,24049
24,50,312,312,100.0,24050
24,51,283,283,100.0,24051
24,52,198,198,100.0,24052
24,53,177,177,100.0,24053
24,54,203,203,100.0,24054
24,55,102,102,100.0,24055
24,56,265,265,100.0,24056
24,58,240,240,100.0,24058
24,59,116,116,100.0,24059
25,3,96,96,100.0,25003
25,4,264,264,100.0,25004
25,6,162,162,100.0,25006
25,9,11,11,100.0,25009
25,10,134,134,100.0,25010
25,12,185,185,100.0,25012
25,18,102,102,100.0,25018
25,21,172,172,100.0,25021
25,25,210,210,100.0,25025
25,26,148,148,100.0,25026
25,27,175,175,100.0,25027
25,28,272,272,100.0,25028
25,29,191,191,100.0,25029
26,7,2,2,100.0,26007
26,17,114,114,100.0,26017
26,28,7,7,100.0,26028
26,32,23,23,100.0,26032
26,33,71,71,100.0,26033
26,46,203,203,100.0,26046
27,1,98,98,100.0,27001
27,2,168,168,100.0,27002
27,3,218,218,100.0,27003
27,7,173,173,100.0,27007
27,8,108,108,100.0,27008
27,10,48,48,100.0,27010
27,11,123,123,100.0,27011
27,15,137,137,100.0,27015
27,17,105,105,100.0,27017
27,18,90,90,100.0,27018
27,19,206,206,100.0,27019
27,22,177,177,100.0,27022
27,23,73,73,100.0,27023
27,24,189,189,100.0,27024
27,25,144,144,100.0,27025
27,26,184,184,100.0,27026
27,27,56,56,100.0,27027
27,29,149,149,100.0,27029
27,30,137,137,100.0,27030
27,31,181,181,100.0,27031
27,33,180,180,100.0,27033
27,34,137,137,100.0,27034
27,36,187,187,100.0,27036
27,40,145,145,100.0,27040
27,41,48,48,100.0,27041
27,44,156,156,100.0,27044
27,45,186,186,100.0,27045
27,46,189,189,100.0,27046
27,47,173,173,100.0,27047
27,48,191,191,100.0,27048
27,49,156,156,100.0,27049
27,50,285,285,100.0,27050
27,53,86,86,100.0,27053
27,54,225,225,100.0,27054
27,55,78,78,100.0,27055
27,56,2,2,100.0,27056
27,57,126,126,100.0,27057
27,58,155,155,100.0,27058
27,60,56,56,100.0,27060
27,61,46,46,100.0,27061
27,62,172,172,100.0,27062
27,63,200,200,100.0,27063
27,64,163,163,100.0,27064
28,2,127,127,100.0,28002
28,3,105,105,100.0,28003
28,5,53,53,100.0,28005
28,6,137,137,100.0,28006
28,7,213,213,100.0,28007
28,9,127,127,100.0,28009
28,10,53,53,100.0,28010
28,11,113,113,100.0,28011
28,13,74,74,100.0,28013
28,15,129,129,100.0,28015
28,16,166,166,100.0,28016
28,18,228,228,100.0,28018
28,20,180,180,100.0,28020
28,22,179,179,100.0,28022
28,23,221,221,100.0,28023
28,24,125,125,100.0,28024
28,25,130,130,100.0,28025
28,26,183,183,100.0,28026
28,28,153,153,100.0,28028
28,30,122,122,100.0,28030
28,31,124,124,100.0,28031
28,32,165,165,100.0,28032
28,33,136,136,100.0,28033
28,34,19,19,100.0,28034
28,35,142,142,100.0,28035
28,36,183,183,100.0,28036
28,37,219,219,100.0,28037
28,39,101,101,100.0,28039
28,41,88,88,100.0,28041
28,43,117,117,100.0,28043
28,44,112,112,100.0,28044
28,46,147,147,100.0,28046
28,50,109,109,100.0,28050
28,52,191,191,100.0,28052
28,53,81,81,100.0,28053
28,54,171,171,100.0,28054
28,59,133,133,100.0,28059
28,69,83,83,100.0,28069
28,73,81,81,100.0,28073
28,74,130,130,100.0,28074
28,76,110,110,100.0,28076
32,2,247,247,100.0,32002
32,4,269,269,100.0,32004
32,5,170,170,100.0,32005
32,6,200,200,100.0,32006
32,26,184,184,100.0,32026
32,29,227,227,100.0,32029
32,31,315,315,100.0,32031
32,33,197,197,100.0,32033
32,34,187,187,100.0,32034
32,35,279,279,100.0,32035
32,36,274,274,100.0,32036
32,37,1,1,100.0,32037
32,46,63,63,100.0,32046
32,50,23,23,100.0,32050
32,51,261,261,100.0,32051
32,52,145,145,100.0,32052
37,3,144,144,100.0,37003
37,4,116,116,100.0,37004
37,8,171,171,100.0,37008
37,12,162,162,100.0,37012
37,13,175,175,100.0,37013
37,17,240,240,100.0,37017
37,19,95,95,100.0,37019
37,51,165,165,100.0,37051
37,56,149,149,100.0,37056
42,9,94,94,100.0,42009
42,12,155,155,100.0,42012
42,14,264,264,100.0,42014
42,18,230,230,100.0,42018
42,21,139,139,100.0,42021
42,67,132,132,100.0,42067
42,68,269,269,100.0,42068
42,69,282,282,100.0,42069
43,1,153,153,100.0,43001
43,3,206,206,100.0,43003
43,5,247,247,100.0,43005
43,9,179,179,100.0,43009
43,10,110,110,100.0,43010
43,11,163,163,100.0,43011
43,13,121,121,100.0,43013
43,15,198,198,100.0,43015
43,28,186,186,100.0,43028
43,40,120,120,100.0,43040
43,47,226,226,100.0,43047
