ward,precinct,total,SAM LaBARBERA,SAM LaBARBERA Percent,DENNIS MICHAEL McGUIRE,DENNIS MICHAEL McGUIRE Percent,precinct_id
29,2,97,31,31.96,66,68.04,29002
29,6,101,20,19.8,81,80.2,29006
29,7,103,19,18.45,84,81.55,29007
29,9,101,27,26.73,74,73.27,29009
29,12,265,19,7.17,246,92.83,29012
29,15,244,5,2.05,239,97.95,29015
29,17,214,14,6.54,200,93.46,29017
29,24,103,20,19.42,83,80.58,29024
29,25,250,7,2.8,243,97.2,29025
29,32,178,50,28.09,128,71.91,29032
29,36,238,4,1.68,234,98.32,29036
29,39,183,31,16.94,152,83.06,29039
29,48,198,5,2.53,193,97.47,29048
29,49,275,4,1.45,271,98.55,29049
29,52,180,31,17.22,149,82.78,29052
29,53,191,25,13.09,166,86.91,29053
29,54,172,55,31.98,117,68.02,29054
30,2,136,39,28.68,97,71.32,30002
30,3,9,6,66.67,3,33.33,30003
30,7,144,31,21.53,113,78.47,30007
30,8,152,36,23.68,116,76.32,30008
30,9,179,37,20.67,142,79.33,30009
30,10,198,42,21.21,156,78.79,30010
30,11,154,31,20.13,123,79.87,30011
30,12,148,29,19.59,119,80.41,30012
30,13,162,42,25.93,120,74.07,30013
30,14,63,15,23.81,48,76.19,30014
30,16,134,40,29.85,94,70.15,30016
30,17,236,56,23.73,180,76.27,30017
30,25,133,49,36.84,84,63.16,30025
30,28,142,38,26.76,104,73.24,30028
30,30,192,40,20.83,152,79.17,30030
30,34,160,32,20.0,128,80.0,30034
30,36,178,41,23.03,137,76.97,30036
30,37,144,29,20.14,115,79.86,30037
30,38,232,41,17.67,191,82.33,30038
30,39,164,45,27.44,119,72.56,30039
31,3,129,33,25.58,96,74.42,31003
31,8,118,23,19.49,95,80.51,31008
31,9,121,23,19.01,98,80.99,31009
31,15,95,29,30.53,66,69.47,31015
31,16,80,22,27.5,58,72.5,31016
31,18,21,7,33.33,14,66.67,31018
31,26,89,21,23.6,68,76.4,31026
31,29,124,31,25.0,93,75.0,31029
31,38,70,23,32.86,47,67.14,31038
31,43,160,40,25.0,120,75.0,31043
31,45,135,37,27.41,98,72.59,31045
35,13,136,34,25.0,102,75.0,35013
35,33,65,16,24.62,49,75.38,35033
36,1,249,86,34.54,163,65.46,36001
36,2,197,58,29.44,139,70.56,36002
36,3,248,35,14.11,213,85.89,36003
36,4,160,22,13.75,138,86.25,36004
36,5,229,102,44.54,127,55.46,36005
36,6,240,75,31.25,165,68.75,36006
36,7,235,88,37.45,147,62.55,36007
36,8,248,97,39.11,151,60.89,36008
36,9,265,98,36.98,167,63.02,36009
36,10,171,53,30.99,118,69.01,36010
36,11,346,111,32.08,235,67.92,36011
36,12,207,84,40.58,123,59.42,36012
