ward,precinct,total,Robin Kelly,Robin Kelly Percent,Clifford J. Eagleton,Clifford J. Eagleton Percent,Toi W. Hutchinson,Toi W. Hutchinson Percent,Anthony A. Beale,Anthony A. Beale Percent,Mel ''MR'' Reynolds,Mel ''MR'' Reynolds Percent,Victor Jonathan,Victor Jonathan Percent,Gregory Haynes,Gregory Haynes Percent,Charles Rayburn,Charles Rayburn Percent,John Blyth,John Blyth Percent,Ernest B. Fenton,Ernest B. Fenton Percent,Anthony W. Williams,Anthony W. Williams Percent,Fatimah N. Muhammad,Fatimah N. Muhammad Percent,Larry D. Pickens,Larry D. Pickens Percent,Deborah ''Debbie'' Halvorson,Deborah ''Debbie'' Halvorson Percent,O. Patrick Brutus,O. Patrick Brutus Percent,Joyce W. Washington,Joyce W. Washington Percent,precinct_id
5,1,68,48,70.59,0,0.0,2,2.94,11,16.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.47,1,1.47,0,0.0,0,0.0,1,1.47,0,0.0,4,5.88,05001
5,6,120,91,75.83,0,0.0,1,0.83,15,12.5,2,1.67,0,0.0,0,0.0,0,0.0,0,0.0,3,2.5,0,0.0,0,0.0,0,0.0,2,1.67,0,0.0,6,5.0,05006
5,10,49,41,83.67,0,0.0,0,0.0,4,8.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.04,0,0.0,0,0.0,0,0.0,1,2.04,0,0.0,2,4.08,05010
5,11,100,77,77.0,0,0.0,0,0.0,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,9,9.0,0,0.0,4,4.0,05011
5,14,155,118,76.13,0,0.0,1,0.65,15,9.68,0,0.0,1,0.65,0,0.0,0,0.0,0,0.0,5,3.23,0,0.0,1,0.65,0,0.0,5,3.23,0,0.0,9,5.81,05014
5,18,53,44,83.02,0,0.0,0,0.0,2,3.77,0,0.0,0,0.0,0,0.0,0,0.0,1,1.89,1,1.89,0,0.0,0,0.0,0,0.0,1,1.89,0,0.0,4,7.55,05018
5,23,209,160,76.56,0,0.0,7,3.35,16,7.66,2,0.96,0,0.0,0,0.0,0,0.0,0,0.0,1,0.48,0,0.0,0,0.0,1,0.48,14,6.7,0,0.0,8,3.83,05023
5,25,119,95,79.83,0,0.0,1,0.84,12,10.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.68,0,0.0,0,0.0,2,1.68,2,1.68,0,0.0,5,4.2,05025
5,26,113,78,69.03,0,0.0,1,0.88,17,15.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,7.08,0,0.0,1,0.88,0,0.0,2,1.77,0,0.0,6,5.31,05026
5,28,164,116,70.73,0,0.0,1,0.61,17,10.37,1,0.61,0,0.0,0,0.0,1,0.61,0,0.0,6,3.66,0,0.0,1,0.61,0,0.0,8,4.88,0,0.0,13,7.93,05028
