ward,precinct,total,Jeremy Rose (Romney),Jeremy Rose (Romney) Percent,Branden J Ozga (Romney),Branden J Ozga (Romney) Percent,Joann Finger (McCain),Joann Finger (McCain) Percent,Will Callard (McCain),Will Callard (McCain) Percent,Nickolas John Herringshaw (Paul),Nickolas John Herringshaw (Paul) Percent,Susan Radzinowicz (Thompson),Susan Radzinowicz (Thompson) Percent,Robert Sargus (Thompson),Robert Sargus (Thompson) Percent,Kevin Hacker (Giuliani),Kevin Hacker (Giuliani) Percent,Robert R. Rodman IV (Giuliani),Robert R. Rodman IV (Giuliani) Percent,precinct_id
39,3,67,11,16.42,8,11.94,23,34.33,21,31.34,2,2.99,0,0.0,0,0.0,0,0.0,0,0.0,39003
39,4,43,8,18.6,10,23.26,12,27.91,10,23.26,0,0.0,1,2.33,1,2.33,0,0.0,0,0.0,39004
39,5,53,12,22.64,9,16.98,11,20.75,13,24.53,0,0.0,2,3.77,1,1.89,3,5.66,1,1.89,39005
39,6,65,9,13.85,6,9.23,16,24.62,14,21.54,6,9.23,1,1.54,1,1.54,4,6.15,2,3.08,39006
39,7,18,3,16.67,2,11.11,3,16.67,0,0.0,4,22.22,0,0.0,0,0.0,1,5.56,1,5.56,39007
39,8,27,5,18.52,5,18.52,8,29.63,7,25.93,0,0.0,0,0.0,0,0.0,1,3.7,1,3.7,39008
39,9,36,9,25.0,5,13.89,7,19.44,7,19.44,4,11.11,0,0.0,0,0.0,0,0.0,0,0.0,39009
39,10,19,3,15.79,3,15.79,3,15.79,3,15.79,3,15.79,0,0.0,0,0.0,0,0.0,0,0.0,39010
39,11,43,4,9.3,5,11.63,14,32.56,10,23.26,2,4.65,0,0.0,0,0.0,1,2.33,2,4.65,39011
39,12,33,2,6.06,3,9.09,11,33.33,11,33.33,1,3.03,3,9.09,0,0.0,0,0.0,2,6.06,39012
39,13,20,3,15.0,4,20.0,6,30.0,2,10.0,2,10.0,1,5.0,0,0.0,0,0.0,0,0.0,39013
39,14,34,3,8.82,3,8.82,11,32.35,9,26.47,3,8.82,0,0.0,0,0.0,0,0.0,1,2.94,39014
39,15,62,9,14.52,9,14.52,18,29.03,18,29.03,1,1.61,2,3.23,2,3.23,1,1.61,1,1.61,39015
39,16,51,8,15.69,4,7.84,12,23.53,12,23.53,5,9.8,1,1.96,0,0.0,1,1.96,3,5.88,39016
39,17,43,9,20.93,7,16.28,6,13.95,6,13.95,3,6.98,2,4.65,2,4.65,4,9.3,2,4.65,39017
39,18,61,9,14.75,7,11.48,18,29.51,16,26.23,3,4.92,2,3.28,0,0.0,2,3.28,2,3.28,39018
39,19,38,3,7.89,5,13.16,10,26.32,12,31.58,1,2.63,1,2.63,1,2.63,1,2.63,0,0.0,39019
39,20,83,13,15.66,13,15.66,21,25.3,19,22.89,6,7.23,3,3.61,1,1.2,1,1.2,1,1.2,39020
39,21,22,8,36.36,5,22.73,4,18.18,4,18.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39021
39,22,25,5,20.0,2,8.0,8,32.0,6,24.0,2,8.0,0,0.0,0,0.0,0,0.0,0,0.0,39022
39,23,21,2,9.52,1,4.76,8,38.1,10,47.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39023
39,24,27,2,7.41,1,3.7,11,40.74,8,29.63,0,0.0,2,7.41,1,3.7,0,0.0,0,0.0,39024
39,25,56,10,17.86,6,10.71,14,25.0,16,28.57,2,3.57,3,5.36,1,1.79,0,0.0,0,0.0,39025
39,26,79,11,13.92,11,13.92,28,35.44,23,29.11,1,1.27,0,0.0,2,2.53,1,1.27,1,1.27,39026
39,27,52,6,11.54,5,9.62,14,26.92,14,26.92,4,7.69,2,3.85,1,1.92,1,1.92,1,1.92,39027
39,28,37,3,8.11,3,8.11,15,40.54,13,35.14,0,0.0,1,2.7,1,2.7,0,0.0,0,0.0,39028
39,29,44,4,9.09,3,6.82,14,31.82,15,34.09,3,6.82,0,0.0,3,6.82,0,0.0,0,0.0,39029
39,30,15,4,26.67,2,13.33,4,26.67,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.33,39030
39,31,27,7,25.93,8,29.63,4,14.81,4,14.81,2,7.41,0,0.0,0,0.0,0,0.0,1,3.7,39031
39,32,21,3,14.29,4,19.05,6,28.57,5,23.81,1,4.76,0,0.0,0,0.0,1,4.76,1,4.76,39032
