ward,precinct,total,Charlie Watts (McCain),Charlie Watts (McCain) Percent,"John Fogarty, Jr. (McCain)","John Fogarty, Jr. (McCain) Percent",Rich Daniels (Romney),Rich Daniels (Romney) Percent,Jerry Graunke (Romney),Jerry Graunke (Romney) Percent,Anthony B. Sanders (Paul),Anthony B. Sanders (Paul) Percent,William M. Locke (Paul),William M. Locke (Paul) Percent,Chester Hornowski (Thompson),Chester Hornowski (Thompson) Percent,Russ Stewart (Thompson),Russ Stewart (Thompson) Percent,Angelo ''Skip'' Saviano (Giuliani),Angelo ''Skip'' Saviano (Giuliani) Percent,Peter Friedman (Giuliani),Peter Friedman (Giuliani) Percent,precinct_id
1,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01007
1,28,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01028
1,42,20,5,25.0,5,25.0,1,5.0,1,5.0,4,20.0,4,20.0,0,0.0,0,0.0,0,0.0,0,0.0,01042
29,2,17,3,17.65,2,11.76,4,23.53,1,5.88,1,5.88,2,11.76,1,5.88,0,0.0,1,5.88,2,11.76,29002
29,9,33,8,24.24,7,21.21,5,15.15,4,12.12,2,6.06,1,3.03,3,9.09,2,6.06,1,3.03,0,0.0,29009
29,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29024
29,30,23,3,13.04,4,17.39,5,21.74,4,17.39,3,13.04,3,13.04,0,0.0,1,4.35,0,0.0,0,0.0,29030
29,32,17,2,11.76,3,17.65,4,23.53,5,29.41,0,0.0,1,5.88,1,5.88,1,5.88,0,0.0,0,0.0,29032
30,1,35,9,25.71,9,25.71,4,11.43,4,11.43,3,8.57,3,8.57,1,2.86,0,0.0,2,5.71,0,0.0,30001
30,2,20,6,30.0,5,25.0,2,10.0,2,10.0,1,5.0,1,5.0,3,15.0,0,0.0,0,0.0,0,0.0,30002
30,3,26,6,23.08,5,19.23,4,15.38,4,15.38,1,3.85,2,7.69,0,0.0,0,0.0,3,11.54,1,3.85,30003
30,6,10,3,30.0,2,20.0,0,0.0,0,0.0,2,20.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,30006
30,7,23,6,26.09,8,34.78,4,17.39,2,8.7,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,1,4.35,30007
30,8,41,5,12.2,5,12.2,11,26.83,9,21.95,4,9.76,5,12.2,1,2.44,0,0.0,1,2.44,0,0.0,30008
30,9,19,2,10.53,3,15.79,2,10.53,3,15.79,4,21.05,3,15.79,2,10.53,0,0.0,0,0.0,0,0.0,30009
30,10,25,1,4.0,1,4.0,7,28.0,4,16.0,3,12.0,3,12.0,4,16.0,2,8.0,0,0.0,0,0.0,30010
30,11,18,3,16.67,3,16.67,5,27.78,4,22.22,0,0.0,0,0.0,2,11.11,0,0.0,1,5.56,0,0.0,30011
