ward,precinct,total,Kenneth H. Hollander,Kenneth H. Hollander Percent,Lonnie Ledford,Lonnie Ledford Percent,Kenneth S. Pacholski,Kenneth S. Pacholski Percent,precinct_id
50,1,27,21,77.78,5,18.52,1,3.7,50001
50,2,21,16,76.19,4,19.05,1,4.76,50002
50,3,16,9,56.25,2,12.5,5,31.25,50003
50,4,18,12,66.67,0,0.0,6,33.33,50004
50,5,29,25,86.21,3,10.34,1,3.45,50005
50,6,7,5,71.43,1,14.29,1,14.29,50006
50,7,18,11,61.11,4,22.22,3,16.67,50007
50,8,13,8,61.54,3,23.08,2,15.38,50008
50,9,11,5,45.45,2,18.18,4,36.36,50009
50,10,13,12,92.31,1,7.69,0,0.0,50010
50,11,31,24,77.42,5,16.13,2,6.45,50011
50,12,9,4,44.44,3,33.33,2,22.22,50012
50,13,8,6,75.0,0,0.0,2,25.0,50013
50,14,8,5,62.5,1,12.5,2,25.0,50014
50,15,21,11,52.38,6,28.57,4,19.05,50015
50,16,14,8,57.14,2,14.29,4,28.57,50016
50,17,20,12,60.0,4,20.0,4,20.0,50017
50,18,19,13,68.42,4,21.05,2,10.53,50018
50,19,14,10,71.43,3,21.43,1,7.14,50019
50,20,23,13,56.52,3,13.04,7,30.43,50020
50,21,27,18,66.67,4,14.81,5,18.52,50021
50,22,12,6,50.0,3,25.0,3,25.0,50022
50,23,13,9,69.23,3,23.08,1,7.69,50023
50,24,16,8,50.0,4,25.0,4,25.0,50024
50,25,19,9,47.37,2,10.53,8,42.11,50025
50,26,16,11,68.75,2,12.5,3,18.75,50026
50,27,6,5,83.33,1,16.67,0,0.0,50027
50,28,16,8,50.0,3,18.75,5,31.25,50028
50,29,16,9,56.25,5,31.25,2,12.5,50029
50,30,24,22,91.67,2,8.33,0,0.0,50030
50,31,7,5,71.43,2,28.57,0,0.0,50031
50,32,12,7,58.33,2,16.67,3,25.0,50032
50,33,29,21,72.41,4,13.79,4,13.79,50033
50,34,8,5,62.5,2,25.0,1,12.5,50034
50,35,22,12,54.55,5,22.73,5,22.73,50035
50,36,25,14,56.0,6,24.0,5,20.0,50036
50,37,29,18,62.07,6,20.69,5,17.24,50037
50,38,18,14,77.78,1,5.56,3,16.67,50038
50,39,19,16,84.21,2,10.53,1,5.26,50039
50,40,33,29,87.88,3,9.09,1,3.03,50040
50,41,23,19,82.61,1,4.35,3,13.04,50041
50,42,19,14,73.68,3,15.79,2,10.53,50042
50,43,15,7,46.67,4,26.67,4,26.67,50043
50,44,14,13,92.86,1,7.14,0,0.0,50044
50,45,13,11,84.62,1,7.69,1,7.69,50045
