ward,precinct,total,Kelly O'Brien (Romney),Kelly O'Brien (Romney) Percent,Ian Brenson (Romney),Ian Brenson (Romney) Percent,Nora Kathleen Hickey (McCain),Nora Kathleen Hickey (McCain) Percent,William Durkin (McCain),William Durkin (McCain) Percent,Anthony Castrogiovanni (Thompson),Anthony Castrogiovanni (Thompson) Percent,Richard E. Leja (Thompson),Richard E. Leja (Thompson) Percent,Clifford R. Pitts (Paul),Clifford R. Pitts (Paul) Percent,Ron Brumfield (Huckabee),Ron Brumfield (Huckabee) Percent,Dave Garratt (Huckabee),Dave Garratt (Huckabee) Percent,Saranne Milano (Giuliani),Saranne Milano (Giuliani) Percent,Stephen R. Palmer (Giuliani),Stephen R. Palmer (Giuliani) Percent,precinct_id
3,19,17,6,35.29,4,23.53,1,5.88,1,5.88,0,0.0,1,5.88,2,11.76,0,0.0,0,0.0,0,0.0,0,0.0,03019
11,1,41,3,7.32,1,2.44,12,29.27,10,24.39,0,0.0,0,0.0,3,7.32,2,4.88,2,4.88,2,4.88,2,4.88,11001
11,2,33,6,18.18,1,3.03,6,18.18,8,24.24,1,3.03,0,0.0,2,6.06,4,12.12,3,9.09,0,0.0,0,0.0,11002
11,4,24,4,16.67,3,12.5,4,16.67,6,25.0,0,0.0,1,4.17,2,8.33,0,0.0,1,4.17,1,4.17,0,0.0,11004
11,5,19,3,15.79,2,10.53,6,31.58,6,31.58,0,0.0,0,0.0,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,11005
11,6,34,2,5.88,2,5.88,8,23.53,9,26.47,0,0.0,0,0.0,4,11.76,0,0.0,1,2.94,1,2.94,1,2.94,11006
11,7,19,4,21.05,4,21.05,3,15.79,3,15.79,1,5.26,0,0.0,1,5.26,1,5.26,1,5.26,0,0.0,0,0.0,11007
11,8,22,1,4.55,2,9.09,3,13.64,4,18.18,0,0.0,0,0.0,3,13.64,2,9.09,2,9.09,2,9.09,0,0.0,11008
11,9,9,0,0.0,0,0.0,4,44.44,4,44.44,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11009
11,11,34,7,20.59,2,5.88,6,17.65,8,23.53,0,0.0,1,2.94,2,5.88,2,5.88,2,5.88,1,2.94,1,2.94,11011
11,12,29,2,6.9,1,3.45,6,20.69,5,17.24,0,0.0,0,0.0,0,0.0,4,13.79,7,24.14,3,10.34,1,3.45,11012
11,13,24,2,8.33,3,12.5,6,25.0,5,20.83,0,0.0,1,4.17,4,16.67,0,0.0,0,0.0,0,0.0,0,0.0,11013
11,15,17,1,5.88,1,5.88,6,35.29,5,29.41,0,0.0,0,0.0,0,0.0,2,11.76,2,11.76,0,0.0,0,0.0,11015
11,16,47,5,10.64,2,4.26,6,12.77,8,17.02,0,0.0,0,0.0,8,17.02,6,12.77,5,10.64,0,0.0,0,0.0,11016
11,17,43,3,6.98,3,6.98,11,25.58,10,23.26,3,6.98,1,2.33,1,2.33,5,11.63,4,9.3,1,2.33,0,0.0,11017
11,18,28,2,7.14,2,7.14,7,25.0,7,25.0,1,3.57,0,0.0,0,0.0,3,10.71,3,10.71,2,7.14,1,3.57,11018
