ward,precinct,total,John Harty (McCain),John Harty (McCain) Percent,Nick Peric (McCain),Nick Peric (McCain) Percent,Michael B. DiBartolo (Romney),Michael B. DiBartolo (Romney) Percent,Robert S. Giurato (Romney),Robert S. Giurato (Romney) Percent,Curtis D. Barrett (Paul),Curtis D. Barrett (Paul) Percent,Reuben W. Perelman (Paul),Reuben W. Perelman (Paul) Percent,Joseph Hedrick (Thompson),Joseph Hedrick (Thompson) Percent,Brennan B. Miller III (Thompson),Brennan B. Miller III (Thompson) Percent,Carla Brookman (Giuliani),Carla Brookman (Giuliani) Percent,Anton Valukas (Giuliani),Anton Valukas (Giuliani) Percent,Steven T. Janes (Huckabee),Steven T. Janes (Huckabee) Percent,Paul Sherwood (Huckabee),Paul Sherwood (Huckabee) Percent,precinct_id
41,56,152,50,32.89,48,31.58,18,11.84,15,9.87,4,2.63,4,2.63,1,0.66,0,0.0,1,0.66,0,0.0,6,3.95,5,3.29,41056
44,3,72,25,34.72,24,33.33,10,13.89,6,8.33,2,2.78,1,1.39,0,0.0,0,0.0,0,0.0,2,2.78,1,1.39,1,1.39,44003
44,4,68,23,33.82,24,35.29,9,13.24,8,11.76,2,2.94,2,2.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44004
44,7,103,26,25.24,25,24.27,15,14.56,15,14.56,3,2.91,3,2.91,0,0.0,0,0.0,3,2.91,2,1.94,5,4.85,6,5.83,44007
44,18,5,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,44018
44,35,60,14,23.33,13,21.67,9,15.0,9,15.0,4,6.67,5,8.33,2,3.33,1,1.67,1,1.67,1,1.67,1,1.67,0,0.0,44035
44,48,52,12,23.08,11,21.15,8,15.38,8,15.38,4,7.69,4,7.69,0,0.0,0,0.0,2,3.85,1,1.92,1,1.92,1,1.92,44048
44,49,94,31,32.98,30,31.91,11,11.7,10,10.64,2,2.13,2,2.13,1,1.06,1,1.06,0,0.0,0,0.0,4,4.26,2,2.13,44049
46,1,97,24,24.74,18,18.56,20,20.62,17,17.53,2,2.06,2,2.06,1,1.03,0,0.0,4,4.12,2,2.06,4,4.12,3,3.09,46001
46,2,35,11,31.43,10,28.57,2,5.71,2,5.71,3,8.57,3,8.57,0,0.0,1,2.86,0,0.0,0,0.0,1,2.86,2,5.71,46002
46,4,37,8,21.62,7,18.92,6,16.22,5,13.51,3,8.11,3,8.11,0,0.0,0,0.0,1,2.7,0,0.0,2,5.41,2,5.41,46004
46,6,25,6,24.0,7,28.0,2,8.0,1,4.0,1,4.0,1,4.0,1,4.0,0,0.0,0,0.0,1,4.0,2,8.0,3,12.0,46006
46,7,35,11,31.43,9,25.71,3,8.57,3,8.57,4,11.43,4,11.43,0,0.0,0,0.0,0,0.0,0,0.0,1,2.86,0,0.0,46007
46,8,34,10,29.41,6,17.65,4,11.76,5,14.71,2,5.88,1,2.94,1,2.94,0,0.0,3,8.82,0,0.0,1,2.94,1,2.94,46008
46,9,49,14,28.57,11,22.45,8,16.33,5,10.2,1,2.04,1,2.04,0,0.0,0,0.0,4,8.16,3,6.12,1,2.04,1,2.04,46009
46,10,49,16,32.65,13,26.53,6,12.24,5,10.2,2,4.08,2,4.08,0,0.0,0,0.0,0,0.0,0,0.0,2,4.08,3,6.12,46010
46,11,60,13,21.67,9,15.0,12,20.0,9,15.0,4,6.67,5,8.33,1,1.67,1,1.67,1,1.67,1,1.67,2,3.33,2,3.33,46011
46,12,48,13,27.08,13,27.08,4,8.33,2,4.17,3,6.25,3,6.25,2,4.17,1,2.08,1,2.08,2,4.17,2,4.17,2,4.17,46012
46,14,20,10,50.0,6,30.0,0,0.0,0,0.0,2,10.0,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46014
46,15,81,25,30.86,25,30.86,8,9.88,9,11.11,1,1.23,1,1.23,0,0.0,0,0.0,2,2.47,3,3.7,3,3.7,4,4.94,46015
46,16,38,10,26.32,8,21.05,5,13.16,4,10.53,0,0.0,0,0.0,0,0.0,0,0.0,2,5.26,2,5.26,4,10.53,3,7.89,46016
46,19,27,8,29.63,4,14.81,2,7.41,2,7.41,2,7.41,2,7.41,0,0.0,0,0.0,1,3.7,0,0.0,3,11.11,3,11.11,46019
46,20,24,6,25.0,7,29.17,2,8.33,2,8.33,1,4.17,1,4.17,0,0.0,0,0.0,2,8.33,3,12.5,0,0.0,0,0.0,46020
46,21,16,3,18.75,3,18.75,4,25.0,4,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,46021
46,22,65,19,29.23,17,26.15,6,9.23,4,6.15,1,1.54,1,1.54,0,0.0,1,1.54,4,6.15,2,3.08,5,7.69,5,7.69,46022
46,23,14,5,35.71,6,42.86,1,7.14,1,7.14,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46023
46,25,69,18,26.09,14,20.29,11,15.94,7,10.14,2,2.9,2,2.9,3,4.35,3,4.35,3,4.35,4,5.8,1,1.45,1,1.45,46025
46,26,35,10,28.57,9,25.71,2,5.71,1,2.86,0,0.0,0,0.0,1,2.86,1,2.86,0,0.0,1,2.86,4,11.43,6,17.14,46026
46,27,94,28,29.79,28,29.79,9,9.57,8,8.51,7,7.45,7,7.45,1,1.06,0,0.0,1,1.06,1,1.06,2,2.13,2,2.13,46027
46,28,106,33,31.13,31,29.25,14,13.21,11,10.38,4,3.77,5,4.72,1,0.94,0,0.0,2,1.89,1,0.94,2,1.89,2,1.89,46028
46,30,79,20,25.32,18,22.78,12,15.19,13,16.46,5,6.33,3,3.8,0,0.0,1,1.27,1,1.27,2,2.53,1,1.27,3,3.8,46030
46,32,42,15,35.71,12,28.57,7,16.67,3,7.14,0,0.0,0,0.0,2,4.76,1,2.38,0,0.0,1,2.38,0,0.0,1,2.38,46032
46,33,62,15,24.19,15,24.19,9,14.52,8,12.9,3,4.84,1,1.61,1,1.61,0,0.0,2,3.23,2,3.23,2,3.23,4,6.45,46033
46,34,37,9,24.32,8,21.62,2,5.41,1,2.7,2,5.41,3,8.11,0,0.0,0,0.0,2,5.41,1,2.7,5,13.51,4,10.81,46034
46,35,62,13,20.97,10,16.13,10,16.13,10,16.13,4,6.45,4,6.45,0,0.0,0,0.0,1,1.61,2,3.23,5,8.06,3,4.84,46035
46,38,20,5,25.0,4,20.0,3,15.0,2,10.0,2,10.0,0,0.0,1,5.0,0,0.0,2,10.0,1,5.0,0,0.0,0,0.0,46038
46,39,88,29,32.95,26,29.55,10,11.36,10,11.36,2,2.27,2,2.27,0,0.0,0,0.0,1,1.14,1,1.14,3,3.41,4,4.55,46039
46,40,28,8,28.57,7,25.0,0,0.0,1,3.57,1,3.57,2,7.14,2,7.14,1,3.57,1,3.57,2,7.14,2,7.14,1,3.57,46040
46,41,24,3,12.5,3,12.5,4,16.67,3,12.5,2,8.33,2,8.33,0,0.0,0,0.0,1,4.17,1,4.17,2,8.33,3,12.5,46041
46,42,30,10,33.33,7,23.33,3,10.0,0,0.0,2,6.67,2,6.67,1,3.33,1,3.33,1,3.33,1,3.33,1,3.33,1,3.33,46042
46,45,49,13,26.53,10,20.41,6,12.24,6,12.24,3,6.12,3,6.12,1,2.04,1,2.04,0,0.0,0,0.0,3,6.12,3,6.12,46045
46,46,29,9,31.03,7,24.14,5,17.24,3,10.34,0,0.0,0,0.0,1,3.45,1,3.45,2,6.9,1,3.45,0,0.0,0,0.0,46046
