ward,precinct,total,Carlos Saucedo (McCain),Carlos Saucedo (McCain) Percent,Kimberly Pate Godden (McCain),Kimberly Pate Godden (McCain) Percent,Jonathan Blessing (Romney),Jonathan Blessing (Romney) Percent,Sean Thomas McCarthy (Romney),Sean Thomas McCarthy (Romney) Percent,Brian G. Markey (Paul),Brian G. Markey (Paul) Percent,Christopher W. Barnes (Thompson),Christopher W. Barnes (Thompson) Percent,Jennifer L. Sheahan (Thompson),Jennifer L. Sheahan (Thompson) Percent,Andrew Gutierrez (Giuliani),Andrew Gutierrez (Giuliani) Percent,precinct_id
11,3,9,0,0.0,0,0.0,3,33.33,4,44.44,0,0.0,0,0.0,0,0.0,2,22.22,11003
11,10,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,11010
11,18,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,11018
11,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11026
11,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11030
12,1,26,6,23.08,5,19.23,3,11.54,4,15.38,2,7.69,0,0.0,2,7.69,2,7.69,12001
12,2,20,8,40.0,4,20.0,2,10.0,3,15.0,0,0.0,0,0.0,0,0.0,3,15.0,12002
12,3,25,7,28.0,4,16.0,6,24.0,4,16.0,1,4.0,0,0.0,0,0.0,0,0.0,12003
12,4,10,2,20.0,0,0.0,1,10.0,1,10.0,0,0.0,1,10.0,1,10.0,3,30.0,12004
12,5,17,5,29.41,4,23.53,3,17.65,4,23.53,0,0.0,0,0.0,0,0.0,1,5.88,12005
12,6,5,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,12006
12,7,12,6,50.0,0,0.0,2,16.67,4,33.33,0,0.0,0,0.0,0,0.0,0,0.0,12007
12,8,32,7,21.88,3,9.38,4,12.5,4,12.5,2,6.25,1,3.13,1,3.13,4,12.5,12008
12,9,14,3,21.43,2,14.29,2,14.29,4,28.57,0,0.0,1,7.14,0,0.0,2,14.29,12009
12,10,26,9,34.62,6,23.08,7,26.92,4,15.38,0,0.0,0,0.0,0,0.0,0,0.0,12010
12,11,15,2,13.33,3,20.0,3,20.0,2,13.33,1,6.67,0,0.0,1,6.67,3,20.0,12011
12,12,19,5,26.32,3,15.79,3,15.79,1,5.26,1,5.26,0,0.0,1,5.26,4,21.05,12012
12,13,33,8,24.24,7,21.21,7,21.21,3,9.09,1,3.03,1,3.03,2,6.06,1,3.03,12013
12,14,10,1,10.0,2,20.0,4,40.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,12014
12,15,16,3,18.75,5,31.25,0,0.0,1,6.25,0,0.0,1,6.25,1,6.25,4,25.0,12015
12,16,6,3,50.0,2,33.33,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,12016
12,17,15,5,33.33,4,26.67,1,6.67,2,13.33,0,0.0,0,0.0,1,6.67,2,13.33,12017
12,18,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12018
12,19,22,7,31.82,6,27.27,4,18.18,2,9.09,0,0.0,0,0.0,0,0.0,2,9.09,12019
12,20,16,4,25.0,5,31.25,2,12.5,2,12.5,0,0.0,0,0.0,0,0.0,2,12.5,12020
12,21,27,5,18.52,6,22.22,2,7.41,3,11.11,2,7.41,2,7.41,2,7.41,3,11.11,12021
12,22,7,2,28.57,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,2,28.57,12022
12,23,20,4,20.0,4,20.0,4,20.0,2,10.0,1,5.0,1,5.0,0,0.0,4,20.0,12023
12,24,11,2,18.18,3,27.27,1,9.09,1,9.09,0,0.0,0,0.0,0,0.0,2,18.18,12024
13,3,30,9,30.0,9,30.0,2,6.67,3,10.0,0,0.0,0,0.0,2,6.67,3,10.0,13003
14,1,6,0,0.0,2,33.33,1,16.67,2,33.33,0,0.0,0,0.0,1,16.67,0,0.0,14001
14,3,6,3,50.0,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,14003
14,4,13,2,15.38,1,7.69,4,30.77,4,30.77,1,7.69,0,0.0,0,0.0,0,0.0,14004
14,5,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,14005
14,6,9,3,33.33,2,22.22,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,14006
14,7,18,7,38.89,6,33.33,0,0.0,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,14007
14,8,18,4,22.22,2,11.11,2,11.11,3,16.67,3,16.67,0,0.0,0,0.0,2,11.11,14008
14,9,7,1,14.29,1,14.29,3,42.86,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,14009
14,10,23,6,26.09,8,34.78,3,13.04,3,13.04,0,0.0,0,0.0,0,0.0,2,8.7,14010
14,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14011
14,12,16,3,18.75,3,18.75,2,12.5,1,6.25,3,18.75,0,0.0,0,0.0,1,6.25,14012
14,13,18,3,16.67,3,16.67,1,5.56,5,27.78,1,5.56,0,0.0,0,0.0,1,5.56,14013
14,14,7,2,28.57,0,0.0,1,14.29,1,14.29,0,0.0,1,14.29,0,0.0,0,0.0,14014
14,15,5,0,0.0,1,20.0,0,0.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,14015
14,16,6,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,14016
14,17,13,2,15.38,1,7.69,5,38.46,4,30.77,0,0.0,0,0.0,0,0.0,1,7.69,14017
14,18,5,2,40.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,14018
14,19,19,4,21.05,4,21.05,1,5.26,1,5.26,3,15.79,0,0.0,0,0.0,1,5.26,14019
14,20,20,4,20.0,2,10.0,3,15.0,2,10.0,2,10.0,0,0.0,0,0.0,4,20.0,14020
14,21,6,1,16.67,0,0.0,0,0.0,0,0.0,2,33.33,0,0.0,0,0.0,1,16.67,14021
14,22,15,5,33.33,3,20.0,1,6.67,2,13.33,0,0.0,0,0.0,0,0.0,3,20.0,14022
14,23,18,4,22.22,3,16.67,2,11.11,2,11.11,2,11.11,0,0.0,0,0.0,1,5.56,14023
14,24,5,4,80.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14024
14,26,5,3,60.0,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,14026
14,27,20,5,25.0,5,25.0,1,5.0,1,5.0,3,15.0,0,0.0,0,0.0,3,15.0,14027
14,29,10,1,10.0,1,10.0,4,40.0,3,30.0,1,10.0,0,0.0,0,0.0,0,0.0,14029
14,30,13,1,7.69,2,15.38,3,23.08,4,30.77,2,15.38,0,0.0,0,0.0,1,7.69,14030
14,31,8,1,12.5,1,12.5,1,12.5,0,0.0,2,25.0,0,0.0,0,0.0,1,12.5,14031
14,32,9,3,33.33,3,33.33,1,11.11,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,14032
14,33,8,2,25.0,0,0.0,1,12.5,3,37.5,0,0.0,1,12.5,0,0.0,0,0.0,14033
14,34,6,3,50.0,2,33.33,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14034
