ward,precinct,total,Mark Hosty (McCain),Mark Hosty (McCain) Percent,Nadja Lalvani (McCain),Nadja Lalvani (McCain) Percent,Thomas C. Cronin (Romney),Thomas C. Cronin (Romney) Percent,Eloise Gerson (Romney),Eloise Gerson (Romney) Percent,William L. Demas (Paul),William L. Demas (Paul) Percent,Will Hayes (Paul),Will Hayes (Paul) Percent,Carol Smith Donovan (Thompson),Carol Smith Donovan (Thompson) Percent,Paul M. Sengpiehl (Thompson),Paul M. Sengpiehl (Thompson) Percent,Clark Pellett (Giuliani),Clark Pellett (Giuliani) Percent,Noella Chung (Huckabee),Noella Chung (Huckabee) Percent,precinct_id
1,1,18,7,38.89,6,33.33,1,5.56,0,0.0,1,5.56,1,5.56,0,0.0,1,5.56,0,0.0,1,5.56,01001
1,6,38,11,28.95,13,34.21,3,7.89,4,10.53,2,5.26,2,5.26,0,0.0,0,0.0,0,0.0,1,2.63,01006
1,11,23,3,13.04,4,17.39,3,13.04,3,13.04,2,8.7,1,4.35,1,4.35,1,4.35,1,4.35,2,8.7,01011
1,44,18,5,27.78,4,22.22,4,22.22,2,11.11,1,5.56,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,01044
2,1,120,34,28.33,30,25.0,11,9.17,12,10.0,6,5.0,6,5.0,1,0.83,1,0.83,6,5.0,4,3.33,02001
2,2,8,1,12.5,0,0.0,0,0.0,0,0.0,2,25.0,2,25.0,0,0.0,2,25.0,0,0.0,0,0.0,02002
2,3,38,8,21.05,8,21.05,7,18.42,6,15.79,2,5.26,1,2.63,0,0.0,0,0.0,1,2.63,1,2.63,02003
2,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02004
2,5,7,2,28.57,1,14.29,0,0.0,0,0.0,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,02005
2,6,120,34,28.33,25,20.83,12,10.0,11,9.17,5,4.17,7,5.83,1,0.83,1,0.83,4,3.33,5,4.17,02006
2,7,3,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,02007
2,8,97,27,27.84,19,19.59,16,16.49,17,17.53,4,4.12,3,3.09,0,0.0,0,0.0,2,2.06,5,5.15,02008
2,9,7,3,42.86,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02010
2,11,75,24,32.0,23,30.67,10,13.33,10,13.33,1,1.33,1,1.33,0,0.0,0,0.0,0,0.0,3,4.0,02011
2,12,112,27,24.11,27,24.11,15,13.39,12,10.71,5,4.46,7,6.25,2,1.79,1,0.89,3,2.68,4,3.57,02012
2,13,28,9,32.14,8,28.57,1,3.57,1,3.57,2,7.14,3,10.71,0,0.0,0,0.0,0,0.0,3,10.71,02013
2,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02014
2,15,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02015
2,16,101,23,22.77,20,19.8,17,16.83,13,12.87,6,5.94,7,6.93,1,0.99,0,0.0,2,1.98,5,4.95,02016
2,17,7,2,28.57,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,02017
2,18,68,18,26.47,16,23.53,11,16.18,10,14.71,4,5.88,2,2.94,1,1.47,0,0.0,2,2.94,0,0.0,02018
2,19,94,22,23.4,23,24.47,18,19.15,16,17.02,3,3.19,2,2.13,1,1.06,1,1.06,2,2.13,3,3.19,02019
2,20,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02020
2,21,22,6,27.27,5,22.73,2,9.09,3,13.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,13.64,02021
2,22,120,34,28.33,30,25.0,19,15.83,18,15.0,4,3.33,4,3.33,0,0.0,0,0.0,3,2.5,4,3.33,02022
2,23,7,1,14.29,0,0.0,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,02023
2,24,39,8,20.51,8,20.51,2,5.13,3,7.69,7,17.95,6,15.38,0,0.0,0,0.0,0,0.0,3,7.69,02024
2,25,56,11,19.64,13,23.21,4,7.14,4,7.14,7,12.5,8,14.29,1,1.79,0,0.0,1,1.79,3,5.36,02025
2,26,56,10,17.86,7,12.5,14,25.0,12,21.43,1,1.79,2,3.57,2,3.57,1,1.79,0,0.0,3,5.36,02026
2,27,6,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,02027
2,28,54,18,33.33,16,29.63,3,5.56,5,9.26,2,3.7,2,3.7,0,0.0,0,0.0,1,1.85,3,5.56,02028
2,29,25,7,28.0,6,24.0,2,8.0,2,8.0,1,4.0,1,4.0,0,0.0,1,4.0,3,12.0,0,0.0,02029
2,30,120,38,31.67,35,29.17,10,8.33,11,9.17,9,7.5,7,5.83,0,0.0,0,0.0,1,0.83,3,2.5,02030
2,32,16,4,25.0,3,18.75,2,12.5,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,02032
2,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02033
2,34,9,3,33.33,3,33.33,1,11.11,1,11.11,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,02034
2,35,13,3,23.08,3,23.08,1,7.69,1,7.69,1,7.69,2,15.38,0,0.0,0,0.0,0,0.0,1,7.69,02035
2,36,71,22,30.99,17,23.94,8,11.27,7,9.86,2,2.82,3,4.23,0,0.0,0,0.0,2,2.82,5,7.04,02036
2,37,63,22,34.92,21,33.33,7,11.11,5,7.94,2,3.17,2,3.17,0,0.0,1,1.59,0,0.0,1,1.59,02037
2,38,134,42,31.34,38,28.36,19,14.18,18,13.43,2,1.49,2,1.49,0,0.0,1,0.75,1,0.75,5,3.73,02038
2,39,22,3,13.64,2,9.09,3,13.64,2,9.09,4,18.18,4,18.18,0,0.0,1,4.55,0,0.0,2,9.09,02039
2,40,56,18,32.14,16,28.57,4,7.14,2,3.57,6,10.71,5,8.93,0,0.0,0,0.0,0,0.0,1,1.79,02040
2,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02041
2,42,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02042
