ward,precinct,total,Robert P. Famiglietti,Robert P. Famiglietti Percent,precinct_id
13,1,18,18,100.0,13001
13,2,7,7,100.0,13002
13,3,11,11,100.0,13003
13,4,31,31,100.0,13004
13,5,9,9,100.0,13005
13,6,10,10,100.0,13006
13,7,9,9,100.0,13007
13,8,15,15,100.0,13008
13,9,16,16,100.0,13009
13,10,15,15,100.0,13010
13,11,7,7,100.0,13011
13,12,11,11,100.0,13012
13,13,10,10,100.0,13013
13,14,9,9,100.0,13014
13,15,13,13,100.0,13015
13,16,5,5,100.0,13016
13,17,18,18,100.0,13017
13,18,10,10,100.0,13018
13,19,3,3,100.0,13019
13,20,9,9,100.0,13020
13,21,8,8,100.0,13021
13,22,13,13,100.0,13022
13,23,10,10,100.0,13023
13,24,15,15,100.0,13024
13,25,14,14,100.0,13025
13,26,8,8,100.0,13026
13,27,20,20,100.0,13027
13,28,5,5,100.0,13028
13,29,6,6,100.0,13029
13,30,9,9,100.0,13030
13,31,11,11,100.0,13031
13,32,7,7,100.0,13032
13,33,3,3,100.0,13033
13,34,7,7,100.0,13034
13,35,6,6,100.0,13035
13,36,2,2,100.0,13036
13,37,6,6,100.0,13037
13,38,10,10,100.0,13038
13,39,4,4,100.0,13039
13,40,17,17,100.0,13040
13,41,5,5,100.0,13041
13,42,8,8,100.0,13042
13,43,8,8,100.0,13043
13,44,5,5,100.0,13044
13,45,13,13,100.0,13045
13,46,7,7,100.0,13046
13,47,9,9,100.0,13047
