ward,precinct,total,Margarite J. Faulkner,Margarite J. Faulkner Percent,precinct_id
8,1,0,0,0.0,08001
8,2,0,0,0.0,08002
8,3,0,0,0.0,08003
8,4,2,2,100.0,08004
8,5,0,0,0.0,08005
8,6,1,1,100.0,08006
8,7,0,0,0.0,08007
8,8,0,0,0.0,08008
8,9,1,1,100.0,08009
8,10,1,1,100.0,08010
8,11,2,2,100.0,08011
8,12,2,2,100.0,08012
8,13,2,2,100.0,08013
8,14,1,1,100.0,08014
8,15,0,0,0.0,08015
8,16,2,2,100.0,08016
8,17,0,0,0.0,08017
8,18,1,1,100.0,08018
8,19,1,1,100.0,08019
8,20,0,0,0.0,08020
8,21,4,4,100.0,08021
8,22,1,1,100.0,08022
8,23,1,1,100.0,08023
8,24,1,1,100.0,08024
8,25,0,0,0.0,08025
8,26,0,0,0.0,08026
8,27,3,3,100.0,08027
8,28,0,0,0.0,08028
8,29,0,0,0.0,08029
8,30,2,2,100.0,08030
8,31,0,0,0.0,08031
8,32,4,4,100.0,08032
8,33,1,1,100.0,08033
8,34,4,4,100.0,08034
8,35,5,5,100.0,08035
8,36,1,1,100.0,08036
8,37,0,0,0.0,08037
8,38,1,1,100.0,08038
8,39,1,1,100.0,08039
8,40,0,0,0.0,08040
8,41,0,0,0.0,08041
8,42,1,1,100.0,08042
8,43,0,0,0.0,08043
8,44,1,1,100.0,08044
8,45,1,1,100.0,08045
8,46,1,1,100.0,08046
8,47,0,0,0.0,08047
8,48,1,1,100.0,08048
8,49,0,0,0.0,08049
8,50,0,0,0.0,08050
8,51,1,1,100.0,08051
8,52,1,1,100.0,08052
8,53,2,2,100.0,08053
8,54,1,1,100.0,08054
8,55,1,1,100.0,08055
8,56,0,0,0.0,08056
8,57,0,0,0.0,08057
8,58,1,1,100.0,08058
8,59,4,4,100.0,08059
8,60,1,1,100.0,08060
8,61,0,0,0.0,08061
8,62,0,0,0.0,08062
8,63,0,0,0.0,08063
8,64,2,2,100.0,08064
8,65,0,0,0.0,08065
8,66,0,0,0.0,08066
8,67,3,3,100.0,08067
8,68,0,0,0.0,08068
8,69,1,1,100.0,08069
8,70,1,1,100.0,08070
