ward,precinct,total,James J. Parrilli (Romney),James J. Parrilli (Romney) Percent,Carolyn Doody (Romney),Carolyn Doody (Romney) Percent,John E. McNeal (Thompson),John E. McNeal (Thompson) Percent,Earl F. Gough (Thompson),Earl F. Gough (Thompson) Percent,Jim Durkin (McCain),Jim Durkin (McCain) Percent,Michael Corrigan (McCain),Michael Corrigan (McCain) Percent,Anthony Leonardo (Paul),Anthony Leonardo (Paul) Percent,Nicolas A. Ayala (Paul),Nicolas A. Ayala (Paul) Percent,Randall S. Jaros (Huckabee),Randall S. Jaros (Huckabee) Percent,"Vincent N. Guzman, Sr. (Huckabee)","Vincent N. Guzman, Sr. (Huckabee) Percent",Eileen Lyons (Giuliani),Eileen Lyons (Giuliani) Percent,Peter J. Haleas (Giuliani),Peter J. Haleas (Giuliani) Percent,precinct_id
3,19,17,5,29.41,5,29.41,0,0.0,0,0.0,1,5.88,1,5.88,3,17.65,2,11.76,0,0.0,0,0.0,0,0.0,0,0.0,03019
11,1,44,3,6.82,1,2.27,3,6.82,0,0.0,15,34.09,9,20.45,5,11.36,3,6.82,2,4.55,2,4.55,1,2.27,0,0.0,11001
11,2,31,5,16.13,2,6.45,1,3.23,0,0.0,7,22.58,6,19.35,2,6.45,2,6.45,2,6.45,2,6.45,1,3.23,1,3.23,11002
11,4,28,4,14.29,3,10.71,0,0.0,2,7.14,5,17.86,6,21.43,3,10.71,3,10.71,0,0.0,2,7.14,0,0.0,0,0.0,11004
11,5,19,4,21.05,1,5.26,0,0.0,0,0.0,6,31.58,6,31.58,1,5.26,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,11005
11,6,34,2,5.88,2,5.88,0,0.0,0,0.0,12,35.29,9,26.47,5,14.71,4,11.76,0,0.0,0,0.0,0,0.0,0,0.0,11006
11,7,19,4,21.05,4,21.05,0,0.0,0,0.0,2,10.53,3,15.79,1,5.26,0,0.0,2,10.53,2,10.53,1,5.26,0,0.0,11007
11,8,22,2,9.09,1,4.55,0,0.0,0,0.0,2,9.09,4,18.18,4,18.18,4,18.18,2,9.09,3,13.64,0,0.0,0,0.0,11008
11,9,9,0,0.0,0,0.0,0,0.0,0,0.0,5,55.56,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,11009
11,11,36,6,16.67,6,16.67,0,0.0,0,0.0,7,19.44,5,13.89,2,5.56,2,5.56,2,5.56,2,5.56,3,8.33,1,2.78,11011
