ward,precinct,total,Clarice A. Polock,Clarice A. Polock Percent,Paul Bonilla,Paul Bonilla Percent,precinct_id
48,1,26,7,26.92,19,73.08,48001
48,2,19,8,42.11,11,57.89,48002
48,3,19,5,26.32,14,73.68,48003
48,4,38,21,55.26,17,44.74,48004
48,5,25,15,60.0,10,40.0,48005
48,6,15,6,40.0,9,60.0,48006
48,7,8,2,25.0,6,75.0,48007
48,8,19,8,42.11,11,57.89,48008
48,9,26,11,42.31,15,57.69,48009
48,10,15,7,46.67,8,53.33,48010
48,11,14,7,50.0,7,50.0,48011
48,12,11,3,27.27,8,72.73,48012
48,13,16,4,25.0,12,75.0,48013
48,14,37,25,67.57,12,32.43,48014
48,15,15,5,33.33,10,66.67,48015
48,16,14,8,57.14,6,42.86,48016
48,17,28,9,32.14,19,67.86,48017
48,18,11,5,45.45,6,54.55,48018
48,19,15,4,26.67,11,73.33,48019
48,20,12,5,41.67,7,58.33,48020
48,21,12,5,41.67,7,58.33,48021
48,22,29,7,24.14,22,75.86,48022
48,23,15,6,40.0,9,60.0,48023
48,24,6,4,66.67,2,33.33,48024
48,25,13,5,38.46,8,61.54,48025
48,26,26,10,38.46,16,61.54,48026
48,27,17,6,35.29,11,64.71,48027
48,28,23,18,78.26,5,21.74,48028
48,29,26,13,50.0,13,50.0,48029
48,30,11,7,63.64,4,36.36,48030
48,31,7,2,28.57,5,71.43,48031
48,32,11,6,54.55,5,45.45,48032
48,33,18,6,33.33,12,66.67,48033
48,34,15,3,20.0,12,80.0,48034
48,35,11,9,81.82,2,18.18,48035
48,36,19,3,15.79,16,84.21,48036
48,37,16,4,25.0,12,75.0,48037
48,38,16,5,31.25,11,68.75,48038
48,39,20,7,35.0,13,65.0,48039
48,40,5,2,40.0,3,60.0,48040
48,41,11,3,27.27,8,72.73,48041
48,42,10,2,20.0,8,80.0,48042
48,43,8,3,37.5,5,62.5,48043
48,44,15,4,26.67,11,73.33,48044
48,45,10,5,50.0,5,50.0,48045
48,46,18,10,55.56,8,44.44,48046
48,47,13,8,61.54,5,38.46,48047
48,48,24,6,25.0,18,75.0,48048
48,49,3,0,0.0,3,100.0,48049
48,50,22,6,27.27,16,72.73,48050
48,51,22,4,18.18,18,81.82,48051
48,52,11,5,45.45,6,54.55,48052
48,53,9,4,44.44,5,55.56,48053
48,54,10,1,10.0,9,90.0,48054
