ward,precinct,total,Frank L. Capuzi,Frank L. Capuzi Percent,Eric Polder,Eric Polder Percent,precinct_id
26,1,7,2,28.57,5,71.43,26001
26,2,1,1,100.0,0,0.0,26002
26,3,4,1,25.0,3,75.0,26003
26,4,2,0,0.0,2,100.0,26004
26,5,7,2,28.57,5,71.43,26005
26,6,2,2,100.0,0,0.0,26006
26,7,11,9,81.82,2,18.18,26007
26,8,7,2,28.57,5,71.43,26008
26,9,2,1,50.0,1,50.0,26009
26,10,3,1,33.33,2,66.67,26010
26,11,9,6,66.67,3,33.33,26011
26,12,2,1,50.0,1,50.0,26012
26,13,3,2,66.67,1,33.33,26013
26,14,5,2,40.0,3,60.0,26014
26,15,10,5,50.0,5,50.0,26015
26,16,1,0,0.0,1,100.0,26016
26,17,54,53,98.15,1,1.85,26017
26,18,3,0,0.0,3,100.0,26018
26,19,7,3,42.86,4,57.14,26019
26,20,10,6,60.0,4,40.0,26020
26,21,5,3,60.0,2,40.0,26021
26,22,2,2,100.0,0,0.0,26022
26,23,8,3,37.5,5,62.5,26023
26,24,6,5,83.33,1,16.67,26024
26,25,1,1,100.0,0,0.0,26025
26,26,4,2,50.0,2,50.0,26026
26,27,5,3,60.0,2,40.0,26027
26,28,4,1,25.0,3,75.0,26028
26,29,0,0,0.0,0,0.0,26029
26,30,9,5,55.56,4,44.44,26030
26,31,8,5,62.5,3,37.5,26031
26,32,16,8,50.0,8,50.0,26032
26,33,36,33,91.67,3,8.33,26033
26,34,9,4,44.44,5,55.56,26034
26,35,15,11,73.33,4,26.67,26035
26,36,6,2,33.33,4,66.67,26036
26,37,5,2,40.0,3,60.0,26037
26,38,8,5,62.5,3,37.5,26038
26,39,3,2,66.67,1,33.33,26039
26,40,5,1,20.0,4,80.0,26040
26,41,2,0,0.0,2,100.0,26041
26,42,5,2,40.0,3,60.0,26042
26,43,5,2,40.0,3,60.0,26043
26,44,3,2,66.67,1,33.33,26044
26,45,3,1,33.33,2,66.67,26045
26,46,38,31,81.58,7,18.42,26046
26,47,4,3,75.0,1,25.0,26047
26,48,4,0,0.0,4,100.0,26048
26,49,4,1,25.0,3,75.0,26049
26,50,4,2,50.0,2,50.0,26050
26,51,10,2,20.0,8,80.0,26051
26,52,1,1,100.0,0,0.0,26052
26,53,5,4,80.0,1,20.0,26053
26,54,4,3,75.0,1,25.0,26054
26,55,3,3,100.0,0,0.0,26055
26,56,5,0,0.0,5,100.0,26056
26,57,5,4,80.0,1,20.0,26057
26,58,0,0,0.0,0,0.0,26058
26,59,4,1,25.0,3,75.0,26059
26,60,11,5,45.45,6,54.55,26060
26,61,2,1,50.0,1,50.0,26061
26,62,5,3,60.0,2,40.0,26062
26,63,3,3,100.0,0,0.0,26063
