ward,precinct,total,Douglas E. Glick,Douglas E. Glick Percent,Kenneth K. Bellaire,Kenneth K. Bellaire Percent,precinct_id
43,1,34,22,64.71,12,35.29,43001
43,2,27,17,62.96,10,37.04,43002
43,3,36,26,72.22,10,27.78,43003
43,4,42,31,73.81,11,26.19,43004
43,5,20,16,80.0,4,20.0,43005
43,6,20,12,60.0,8,40.0,43006
43,7,37,22,59.46,15,40.54,43007
43,8,27,19,70.37,8,29.63,43008
43,9,39,28,71.79,11,28.21,43009
43,10,36,28,77.78,8,22.22,43010
43,11,26,19,73.08,7,26.92,43011
43,12,47,34,72.34,13,27.66,43012
43,13,19,12,63.16,7,36.84,43013
43,14,28,19,67.86,9,32.14,43014
43,15,26,17,65.38,9,34.62,43015
43,16,29,22,75.86,7,24.14,43016
43,17,50,33,66.0,17,34.0,43017
43,18,53,34,64.15,19,35.85,43018
43,19,29,16,55.17,13,44.83,43019
43,20,31,25,80.65,6,19.35,43020
43,21,28,15,53.57,13,46.43,43021
43,22,29,19,65.52,10,34.48,43022
43,23,25,20,80.0,5,20.0,43023
43,24,43,29,67.44,14,32.56,43024
43,25,20,18,90.0,2,10.0,43025
43,26,24,16,66.67,8,33.33,43026
43,27,28,20,71.43,8,28.57,43027
43,28,56,32,57.14,24,42.86,43028
43,29,33,11,33.33,22,66.67,43029
43,30,26,22,84.62,4,15.38,43030
43,31,30,23,76.67,7,23.33,43031
43,32,21,15,71.43,6,28.57,43032
43,33,27,16,59.26,11,40.74,43033
43,34,17,12,70.59,5,29.41,43034
43,35,43,27,62.79,16,37.21,43035
43,36,34,22,64.71,12,35.29,43036
43,37,28,20,71.43,8,28.57,43037
43,38,21,13,61.9,8,38.1,43038
43,39,39,27,69.23,12,30.77,43039
43,40,19,9,47.37,10,52.63,43040
43,41,16,11,68.75,5,31.25,43041
43,42,35,25,71.43,10,28.57,43042
43,43,31,18,58.06,13,41.94,43043
43,44,41,27,65.85,14,34.15,43044
43,45,16,10,62.5,6,37.5,43045
43,46,44,33,75.0,11,25.0,43046
43,47,39,28,71.79,11,28.21,43047
43,48,38,25,65.79,13,34.21,43048
43,49,33,23,69.7,10,30.3,43049
43,50,23,13,56.52,10,43.48,43050
43,51,22,12,54.55,10,45.45,43051
43,52,34,18,52.94,16,47.06,43052
43,53,43,30,69.77,13,30.23,43053
43,54,25,16,64.0,9,36.0,43054
43,55,17,14,82.35,3,17.65,43055
43,56,18,14,77.78,4,22.22,43056
43,57,38,15,39.47,23,60.53,43057
43,58,18,13,72.22,5,27.78,43058
43,59,34,20,58.82,14,41.18,43059
