ward,precinct,total,"Robert George Girolamo, Jr.","Robert George Girolamo, Jr. Percent",Kathleen Cordes,Kathleen Cordes Percent,precinct_id
1,1,14,6,42.86,8,57.14,01001
1,2,14,5,35.71,9,64.29,01002
1,3,8,4,50.0,4,50.0,01003
1,4,12,6,50.0,6,50.0,01004
1,5,21,6,28.57,15,71.43,01005
1,6,21,8,38.1,13,61.9,01006
1,7,25,7,28.0,18,72.0,01007
1,8,8,3,37.5,5,62.5,01008
1,9,18,7,38.89,11,61.11,01009
1,10,12,0,0.0,12,100.0,01010
1,11,8,6,75.0,2,25.0,01011
1,12,33,11,33.33,22,66.67,01012
1,13,19,5,26.32,14,73.68,01013
1,14,10,2,20.0,8,80.0,01014
1,15,5,3,60.0,2,40.0,01015
1,16,2,1,50.0,1,50.0,01016
1,17,14,2,14.29,12,85.71,01017
1,18,9,2,22.22,7,77.78,01018
1,19,8,1,12.5,7,87.5,01019
1,20,7,2,28.57,5,71.43,01020
1,21,21,4,19.05,17,80.95,01021
1,22,8,2,25.0,6,75.0,01022
1,23,14,6,42.86,8,57.14,01023
1,24,17,5,29.41,12,70.59,01024
1,25,6,2,33.33,4,66.67,01025
1,26,26,12,46.15,14,53.85,01026
1,27,15,6,40.0,9,60.0,01027
1,28,3,1,33.33,2,66.67,01028
1,29,16,6,37.5,10,62.5,01029
1,30,24,8,33.33,16,66.67,01030
1,31,31,7,22.58,24,77.42,01031
1,32,11,4,36.36,7,63.64,01032
1,33,18,3,16.67,15,83.33,01033
1,34,8,2,25.0,6,75.0,01034
1,35,14,6,42.86,8,57.14,01035
1,36,17,7,41.18,10,58.82,01036
1,37,12,9,75.0,3,25.0,01037
1,38,5,2,40.0,3,60.0,01038
1,39,16,7,43.75,9,56.25,01039
1,40,13,3,23.08,10,76.92,01040
1,41,23,9,39.13,14,60.87,01041
1,42,14,2,14.29,12,85.71,01042
1,43,9,5,55.56,4,44.44,01043
1,44,10,3,30.0,7,70.0,01044
1,45,12,4,33.33,8,66.67,01045
1,46,10,6,60.0,4,40.0,01046
1,47,16,3,18.75,13,81.25,01047
1,48,5,2,40.0,3,60.0,01048
1,49,10,4,40.0,6,60.0,01049
1,50,8,4,50.0,4,50.0,01050
