ward,precinct,total,Sylvester ''Junebug'' Hendricks,Sylvester ''Junebug'' Hendricks Percent,precinct_id
2,7,2,2,100.0,02007
2,8,39,39,100.0,02008
2,14,0,0,0.0,02014
2,18,22,22,100.0,02018
2,19,31,31,100.0,02019
2,20,3,3,100.0,02020
2,21,9,9,100.0,02021
2,24,0,0,0.0,02024
2,26,17,17,100.0,02026
2,30,41,41,100.0,02030
2,31,1,1,100.0,02031
2,36,28,28,100.0,02036
2,37,27,27,100.0,02037
2,38,50,50,100.0,02038
2,40,24,24,100.0,02040
2,44,0,0,0.0,02044
2,46,2,2,100.0,02046
3,2,0,0,0.0,03002
3,4,1,1,100.0,03004
3,5,4,4,100.0,03005
3,7,1,1,100.0,03007
3,9,0,0,0.0,03009
3,11,0,0,0.0,03011
3,16,0,0,0.0,03016
3,20,1,1,100.0,03020
3,30,0,0,0.0,03030
3,31,0,0,0.0,03031
3,34,3,3,100.0,03034
3,38,1,1,100.0,03038
3,39,1,1,100.0,03039
3,45,0,0,0.0,03045
3,49,0,0,0.0,03049
4,2,3,3,100.0,04002
4,3,3,3,100.0,04003
4,4,1,1,100.0,04004
4,5,2,2,100.0,04005
4,7,3,3,100.0,04007
4,8,1,1,100.0,04008
4,10,3,3,100.0,04010
4,11,3,3,100.0,04011
4,12,1,1,100.0,04012
4,13,4,4,100.0,04013
4,14,0,0,0.0,04014
4,15,3,3,100.0,04015
4,16,0,0,0.0,04016
4,18,5,5,100.0,04018
4,19,1,1,100.0,04019
4,20,0,0,0.0,04020
4,23,4,4,100.0,04023
4,24,3,3,100.0,04024
4,25,0,0,0.0,04025
4,26,1,1,100.0,04026
4,27,0,0,0.0,04027
4,30,5,5,100.0,04030
4,33,2,2,100.0,04033
4,35,2,2,100.0,04035
4,36,3,3,100.0,04036
4,37,0,0,0.0,04037
4,39,0,0,0.0,04039
4,40,0,0,0.0,04040
4,42,0,0,0.0,04042
4,46,1,1,100.0,04046
4,49,0,0,0.0,04049
4,50,1,1,100.0,04050
4,51,4,4,100.0,04051
4,52,3,3,100.0,04052
5,2,3,3,100.0,05002
5,9,1,1,100.0,05009
5,10,0,0,0.0,05010
5,13,1,1,100.0,05013
5,15,3,3,100.0,05015
5,16,1,1,100.0,05016
5,18,4,4,100.0,05018
5,19,1,1,100.0,05019
5,23,3,3,100.0,05023
5,45,2,2,100.0,05045
5,51,3,3,100.0,05051
5,52,1,1,100.0,05052
6,39,0,0,0.0,06039
20,2,0,0,0.0,20002
20,5,0,0,0.0,20005
20,9,0,0,0.0,20009
20,14,0,0,0.0,20014
20,16,1,1,100.0,20016
20,18,0,0,0.0,20018
20,22,3,3,100.0,20022
20,24,1,1,100.0,20024
20,29,2,2,100.0,20029
20,32,2,2,100.0,20032
20,36,0,0,0.0,20036
20,47,1,1,100.0,20047
42,1,46,46,100.0,42001
42,2,23,23,100.0,42002
42,5,30,30,100.0,42005
42,6,56,56,100.0,42006
42,7,33,33,100.0,42007
42,9,16,16,100.0,42009
42,11,54,54,100.0,42011
42,13,58,58,100.0,42013
42,23,49,49,100.0,42023
42,24,32,32,100.0,42024
42,25,31,31,100.0,42025
42,29,43,43,100.0,42029
42,31,30,30,100.0,42031
42,35,26,26,100.0,42035
42,37,32,32,100.0,42037
42,38,34,34,100.0,42038
42,40,37,37,100.0,42040
42,41,42,42,100.0,42041
42,42,27,27,100.0,42042
42,43,38,38,100.0,42043
42,44,59,59,100.0,42044
42,47,24,24,100.0,42047
42,48,38,38,100.0,42048
42,50,33,33,100.0,42050
42,51,62,62,100.0,42051
42,52,21,21,100.0,42052
42,53,38,38,100.0,42053
42,54,33,33,100.0,42054
42,61,28,28,100.0,42061
42,62,29,29,100.0,42062
42,63,27,27,100.0,42063
42,64,8,8,100.0,42064
42,65,32,32,100.0,42065
42,66,39,39,100.0,42066
43,35,38,38,100.0,43035
43,40,16,16,100.0,43040
