ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
29,9,0,0,0.0,29009
36,5,24,24,100.0,36005
36,7,20,20,100.0,36007
36,8,26,26,100.0,36008
36,9,27,27,100.0,36009
36,10,13,13,100.0,36010
36,11,21,21,100.0,36011
36,12,14,14,100.0,36012
36,13,22,22,100.0,36013
36,14,16,16,100.0,36014
36,15,24,24,100.0,36015
36,17,19,19,100.0,36017
36,18,23,23,100.0,36018
36,19,18,18,100.0,36019
36,20,36,36,100.0,36020
36,21,50,50,100.0,36021
36,25,16,16,100.0,36025
36,27,11,11,100.0,36027
36,28,26,26,100.0,36028
36,29,17,17,100.0,36029
36,30,48,48,100.0,36030
36,31,29,29,100.0,36031
36,32,20,20,100.0,36032
36,34,21,21,100.0,36034
36,35,21,21,100.0,36035
36,37,20,20,100.0,36037
36,38,7,7,100.0,36038
36,39,29,29,100.0,36039
36,40,16,16,100.0,36040
36,42,19,19,100.0,36042
36,46,25,25,100.0,36046
36,47,9,9,100.0,36047
36,48,25,25,100.0,36048
36,49,35,35,100.0,36049
36,50,18,18,100.0,36050
36,52,25,25,100.0,36052
36,53,12,12,100.0,36053
38,3,19,19,100.0,38003
38,38,38,38,100.0,38038
41,1,66,66,100.0,41001
41,2,56,56,100.0,41002
41,3,37,37,100.0,41003
41,4,63,63,100.0,41004
41,5,64,64,100.0,41005
41,7,72,72,100.0,41007
41,8,75,75,100.0,41008
41,9,58,58,100.0,41009
41,11,64,64,100.0,41011
41,12,36,36,100.0,41012
41,15,61,61,100.0,41015
41,16,46,46,100.0,41016
41,17,59,59,100.0,41017
41,18,54,54,100.0,41018
41,20,86,86,100.0,41020
41,21,71,71,100.0,41021
41,22,59,59,100.0,41022
41,24,51,51,100.0,41024
41,30,42,42,100.0,41030
41,31,54,54,100.0,41031
41,33,54,54,100.0,41033
41,34,64,64,100.0,41034
41,35,67,67,100.0,41035
41,36,65,65,100.0,41036
41,37,95,95,100.0,41037
41,38,61,61,100.0,41038
41,40,73,73,100.0,41040
41,41,59,59,100.0,41041
41,42,46,46,100.0,41042
41,43,59,59,100.0,41043
41,45,43,43,100.0,41045
41,46,38,38,100.0,41046
41,49,70,70,100.0,41049
41,50,44,44,100.0,41050
41,51,38,38,100.0,41051
41,52,85,85,100.0,41052
41,55,71,71,100.0,41055
41,56,80,80,100.0,41056
