ward,precinct,total,Jason R. Cordova,Jason R. Cordova Percent,precinct_id
45,1,19,7,36.84,45001
45,2,39,9,23.08,45002
45,3,20,1,5.0,45003
45,4,39,13,33.33,45004
45,5,31,7,22.58,45005
45,6,29,10,34.48,45006
45,7,27,10,37.04,45007
45,8,32,7,21.88,45008
45,9,33,4,12.12,45009
45,10,31,6,19.35,45010
45,11,40,10,25.0,45011
45,12,33,11,33.33,45012
45,13,21,1,4.76,45013
45,14,26,6,23.08,45014
45,15,34,8,23.53,45015
45,16,29,6,20.69,45016
45,17,23,3,13.04,45017
45,18,24,3,12.5,45018
45,19,37,9,24.32,45019
45,20,26,7,26.92,45020
45,21,39,9,23.08,45021
45,22,31,7,22.58,45022
45,23,28,4,14.29,45023
45,24,41,8,19.51,45024
45,25,25,7,28.0,45025
45,26,9,1,11.11,45026
45,27,30,8,26.67,45027
45,28,19,5,26.32,45028
45,29,46,16,34.78,45029
45,30,31,10,32.26,45030
45,31,18,5,27.78,45031
45,32,20,6,30.0,45032
45,33,36,6,16.67,45033
45,34,27,8,29.63,45034
45,35,39,12,30.77,45035
45,36,32,6,18.75,45036
45,37,22,7,31.82,45037
45,38,26,11,42.31,45038
45,39,30,7,23.33,45039
45,40,19,5,26.32,45040
45,41,10,4,40.0,45041
45,42,21,7,33.33,45042
45,43,26,5,19.23,45043
45,44,30,4,13.33,45044
45,45,27,4,14.81,45045
45,46,26,6,23.08,45046
45,47,35,8,22.86,45047
45,48,29,9,31.03,45048
45,49,34,12,35.29,45049
45,50,26,3,11.54,45050
45,51,42,11,26.19,45051
45,52,28,5,17.86,45052
45,53,31,13,41.94,45053
