ward,precinct,total,John J. Curry,John J. Curry Percent,Stephen F. Boulton,Stephen F. Boulton Percent,precinct_id
32,1,14,5,35.71,9,64.29,32001
32,2,24,15,62.5,9,37.5,32002
32,3,11,6,54.55,5,45.45,32003
32,4,24,17,70.83,7,29.17,32004
32,5,15,12,80.0,3,20.0,32005
32,6,19,12,63.16,7,36.84,32006
32,7,22,14,63.64,8,36.36,32007
32,8,56,28,50.0,28,50.0,32008
32,9,26,11,42.31,15,57.69,32009
32,10,31,19,61.29,12,38.71,32010
32,11,12,10,83.33,2,16.67,32011
32,12,10,8,80.0,2,20.0,32012
32,13,15,7,46.67,8,53.33,32013
32,14,17,12,70.59,5,29.41,32014
32,15,20,12,60.0,8,40.0,32015
32,16,20,8,40.0,12,60.0,32016
32,17,20,16,80.0,4,20.0,32017
32,18,22,12,54.55,10,45.45,32018
32,19,15,10,66.67,5,33.33,32019
32,20,28,16,57.14,12,42.86,32020
32,21,20,7,35.0,13,65.0,32021
32,22,31,14,45.16,17,54.84,32022
32,23,31,15,48.39,16,51.61,32023
32,24,38,11,28.95,27,71.05,32024
32,25,24,13,54.17,11,45.83,32025
32,26,8,4,50.0,4,50.0,32026
32,27,18,13,72.22,5,27.78,32027
32,28,14,11,78.57,3,21.43,32028
32,29,9,7,77.78,2,22.22,32029
32,30,61,38,62.3,23,37.7,32030
32,31,28,15,53.57,13,46.43,32031
32,32,50,29,58.0,21,42.0,32032
32,33,14,9,64.29,5,35.71,32033
32,34,29,15,51.72,14,48.28,32034
32,35,17,6,35.29,11,64.71,32035
32,36,28,16,57.14,12,42.86,32036
32,37,9,3,33.33,6,66.67,32037
32,38,21,13,61.9,8,38.1,32038
32,39,41,27,65.85,14,34.15,32039
32,40,32,12,37.5,20,62.5,32040
32,41,44,26,59.09,18,40.91,32041
32,42,36,24,66.67,12,33.33,32042
32,43,37,21,56.76,16,43.24,32043
32,44,11,5,45.45,6,54.55,32044
32,45,28,14,50.0,14,50.0,32045
32,46,5,5,100.0,0,0.0,32046
32,47,55,26,47.27,29,52.73,32047
32,48,40,20,50.0,20,50.0,32048
32,49,21,12,57.14,9,42.86,32049
32,50,49,27,55.1,22,44.9,32050
32,51,40,19,47.5,21,52.5,32051
32,52,8,3,37.5,5,62.5,32052
