ward,precinct,total,Robert J. Foss,Robert J. Foss Percent,Cheryl A. Frauen,Cheryl A. Frauen Percent,precinct_id
30,1,16,4,25.0,12,75.0,30001
30,2,7,4,57.14,3,42.86,30002
30,3,11,8,72.73,3,27.27,30003
30,4,12,6,50.0,6,50.0,30004
30,5,3,2,66.67,1,33.33,30005
30,6,6,4,66.67,2,33.33,30006
30,7,13,3,23.08,10,76.92,30007
30,8,17,6,35.29,11,64.71,30008
30,9,11,8,72.73,3,27.27,30009
30,10,15,8,53.33,7,46.67,30010
30,11,6,3,50.0,3,50.0,30011
30,12,2,1,50.0,1,50.0,30012
30,13,17,7,41.18,10,58.82,30013
30,14,6,4,66.67,2,33.33,30014
30,15,13,8,61.54,5,38.46,30015
30,16,15,10,66.67,5,33.33,30016
30,17,7,6,85.71,1,14.29,30017
30,18,10,8,80.0,2,20.0,30018
30,19,5,4,80.0,1,20.0,30019
30,20,5,5,100.0,0,0.0,30020
30,21,8,7,87.5,1,12.5,30021
30,22,4,3,75.0,1,25.0,30022
30,23,4,3,75.0,1,25.0,30023
30,24,7,4,57.14,3,42.86,30024
30,25,15,10,66.67,5,33.33,30025
30,26,4,2,50.0,2,50.0,30026
30,27,6,5,83.33,1,16.67,30027
30,28,7,4,57.14,3,42.86,30028
30,29,5,5,100.0,0,0.0,30029
30,30,23,13,56.52,10,43.48,30030
30,31,2,1,50.0,1,50.0,30031
30,32,4,3,75.0,1,25.0,30032
30,33,2,2,100.0,0,0.0,30033
30,34,6,4,66.67,2,33.33,30034
30,35,9,5,55.56,4,44.44,30035
30,36,13,9,69.23,4,30.77,30036
30,37,17,11,64.71,6,35.29,30037
30,38,18,16,88.89,2,11.11,30038
30,39,10,8,80.0,2,20.0,30039
30,40,5,3,60.0,2,40.0,30040
30,41,1,0,0.0,1,100.0,30041
