ward,precinct,total,Doris T. Ricks,Doris T. Ricks Percent,Bobbie Johnson,Bobbie Johnson Percent,precinct_id
3,1,1,0,0.0,1,100.0,03001
3,2,2,1,50.0,1,50.0,03002
3,3,16,9,56.25,7,43.75,03003
3,4,0,0,0.0,0,0.0,03004
3,5,2,1,50.0,1,50.0,03005
3,6,1,0,0.0,1,100.0,03006
3,7,2,0,0.0,2,100.0,03007
3,8,1,1,100.0,0,0.0,03008
3,9,2,0,0.0,2,100.0,03009
3,10,0,0,0.0,0,0.0,03010
3,11,1,1,100.0,0,0.0,03011
3,12,4,0,0.0,4,100.0,03012
3,13,12,6,50.0,6,50.0,03013
3,14,0,0,0.0,0,0.0,03014
3,15,0,0,0.0,0,0.0,03015
3,16,1,1,100.0,0,0.0,03016
3,17,1,1,100.0,0,0.0,03017
3,18,0,0,0.0,0,0.0,03018
3,19,8,4,50.0,4,50.0,03019
3,20,1,0,0.0,1,100.0,03020
3,21,1,1,100.0,0,0.0,03021
3,22,0,0,0.0,0,0.0,03022
3,23,1,0,0.0,1,100.0,03023
3,24,2,0,0.0,2,100.0,03024
3,25,0,0,0.0,0,0.0,03025
3,26,0,0,0.0,0,0.0,03026
3,27,2,0,0.0,2,100.0,03027
3,28,30,14,46.67,16,53.33,03028
3,29,0,0,0.0,0,0.0,03029
3,30,0,0,0.0,0,0.0,03030
3,31,0,0,0.0,0,0.0,03031
3,32,1,0,0.0,1,100.0,03032
3,33,1,0,0.0,1,100.0,03033
3,34,2,1,50.0,1,50.0,03034
3,35,2,2,100.0,0,0.0,03035
3,36,1,1,100.0,0,0.0,03036
3,37,0,0,0.0,0,0.0,03037
3,38,3,1,33.33,2,66.67,03038
3,39,0,0,0.0,0,0.0,03039
3,40,2,2,100.0,0,0.0,03040
3,41,5,0,0.0,5,100.0,03041
3,42,0,0,0.0,0,0.0,03042
3,43,6,6,100.0,0,0.0,03043
3,44,0,0,0.0,0,0.0,03044
3,45,6,3,50.0,3,50.0,03045
3,46,0,0,0.0,0,0.0,03046
3,47,0,0,0.0,0,0.0,03047
3,48,2,1,50.0,1,50.0,03048
3,49,0,0,0.0,0,0.0,03049
3,50,0,0,0.0,0,0.0,03050
