ward,precinct,total,Thomas M. Malesh,Thomas M. Malesh Percent,precinct_id
10,1,4,4,100.0,10001
10,2,14,14,100.0,10002
10,3,17,17,100.0,10003
10,4,5,5,100.0,10004
10,5,11,11,100.0,10005
10,6,0,0,0.0,10006
10,7,3,3,100.0,10007
10,8,14,14,100.0,10008
10,9,26,26,100.0,10009
10,10,25,25,100.0,10010
10,11,12,12,100.0,10011
10,12,7,7,100.0,10012
10,13,9,9,100.0,10013
10,14,19,19,100.0,10014
10,15,4,4,100.0,10015
10,16,17,17,100.0,10016
10,17,13,13,100.0,10017
10,18,0,0,0.0,10018
10,19,26,26,100.0,10019
10,20,17,17,100.0,10020
10,21,16,16,100.0,10021
10,22,1,1,100.0,10022
10,23,5,5,100.0,10023
10,24,17,17,100.0,10024
10,25,5,5,100.0,10025
10,26,15,15,100.0,10026
10,27,16,16,100.0,10027
10,28,0,0,0.0,10028
10,29,1,1,100.0,10029
10,30,9,9,100.0,10030
10,31,14,14,100.0,10031
10,32,15,15,100.0,10032
10,33,11,11,100.0,10033
10,34,4,4,100.0,10034
10,35,6,6,100.0,10035
10,36,1,1,100.0,10036
10,37,2,2,100.0,10037
10,38,16,16,100.0,10038
10,39,13,13,100.0,10039
10,40,4,4,100.0,10040
10,41,21,21,100.0,10041
10,42,16,16,100.0,10042
10,43,3,3,100.0,10043
10,44,6,6,100.0,10044
10,45,5,5,100.0,10045
10,46,16,16,100.0,10046
10,47,13,13,100.0,10047
10,48,2,2,100.0,10048
