ward,precinct,total,George Mocodeanu,George Mocodeanu Percent,Walter Zarnecki,Walter Zarnecki Percent,precinct_id
35,1,28,8,28.57,20,71.43,35001
35,2,8,2,25.0,6,75.0,35002
35,3,11,4,36.36,7,63.64,35003
35,4,20,9,45.0,11,55.0,35004
35,5,9,3,33.33,6,66.67,35005
35,6,10,3,30.0,7,70.0,35006
35,7,25,6,24.0,19,76.0,35007
35,8,13,4,30.77,9,69.23,35008
35,9,13,7,53.85,6,46.15,35009
35,10,11,6,54.55,5,45.45,35010
35,11,13,3,23.08,10,76.92,35011
35,12,16,7,43.75,9,56.25,35012
35,13,3,1,33.33,2,66.67,35013
35,14,12,8,66.67,4,33.33,35014
35,15,23,3,13.04,20,86.96,35015
35,16,8,3,37.5,5,62.5,35016
35,17,15,5,33.33,10,66.67,35017
35,18,12,4,33.33,8,66.67,35018
35,19,3,2,66.67,1,33.33,35019
35,20,16,4,25.0,12,75.0,35020
35,21,9,5,55.56,4,44.44,35021
35,22,4,0,0.0,4,100.0,35022
35,23,5,3,60.0,2,40.0,35023
35,24,7,2,28.57,5,71.43,35024
35,25,13,6,46.15,7,53.85,35025
35,26,19,7,36.84,12,63.16,35026
35,27,17,5,29.41,12,70.59,35027
35,28,8,3,37.5,5,62.5,35028
35,29,17,8,47.06,9,52.94,35029
35,30,11,5,45.45,6,54.55,35030
35,31,11,6,54.55,5,45.45,35031
35,32,5,1,20.0,4,80.0,35032
35,33,16,3,18.75,13,81.25,35033
35,34,8,1,12.5,7,87.5,35034
35,35,15,5,33.33,10,66.67,35035
35,36,18,6,33.33,12,66.67,35036
