ward,precinct,total,George Preski,George Preski Percent,Carl Segvich,Carl Segvich Percent,precinct_id
11,1,21,7,33.33,14,66.67,11001
11,2,16,9,56.25,7,43.75,11002
11,3,7,2,28.57,5,71.43,11003
11,4,10,3,30.0,7,70.0,11004
11,5,10,4,40.0,6,60.0,11005
11,6,17,7,41.18,10,58.82,11006
11,7,11,3,27.27,8,72.73,11007
11,8,11,2,18.18,9,81.82,11008
11,9,7,3,42.86,4,57.14,11009
11,10,3,1,33.33,2,66.67,11010
11,11,16,4,25.0,12,75.0,11011
11,12,13,4,30.77,9,69.23,11012
11,13,13,6,46.15,7,53.85,11013
11,14,14,4,28.57,10,71.43,11014
11,15,9,6,66.67,3,33.33,11015
11,16,24,9,37.5,15,62.5,11016
11,17,27,8,29.63,19,70.37,11017
11,18,13,8,61.54,5,38.46,11018
11,19,13,4,30.77,9,69.23,11019
11,20,11,8,72.73,3,27.27,11020
11,21,11,6,54.55,5,45.45,11021
11,22,7,3,42.86,4,57.14,11022
11,23,13,4,30.77,9,69.23,11023
11,24,13,5,38.46,8,61.54,11024
11,25,13,4,30.77,9,69.23,11025
11,26,6,6,100.0,0,0.0,11026
11,27,17,3,17.65,14,82.35,11027
11,28,12,6,50.0,6,50.0,11028
11,29,11,6,54.55,5,45.45,11029
11,30,19,9,47.37,10,52.63,11030
11,31,14,0,0.0,14,100.0,11031
11,32,7,4,57.14,3,42.86,11032
11,33,14,6,42.86,8,57.14,11033
11,34,12,1,8.33,11,91.67,11034
11,35,7,3,42.86,4,57.14,11035
11,36,1,0,0.0,1,100.0,11036
11,37,11,3,27.27,8,72.73,11037
11,38,15,5,33.33,10,66.67,11038
11,39,18,7,38.89,11,61.11,11039
11,40,8,3,37.5,5,62.5,11040
11,41,5,2,40.0,3,60.0,11041
11,42,11,6,54.55,5,45.45,11042
11,43,9,3,33.33,6,66.67,11043
11,44,13,5,38.46,8,61.54,11044
11,45,5,1,20.0,4,80.0,11045
11,46,2,1,50.0,1,50.0,11046
11,47,17,7,41.18,10,58.82,11047
11,48,5,0,0.0,5,100.0,11048
11,49,6,3,50.0,3,50.0,11049
11,50,9,5,55.56,4,44.44,11050
