ward,precinct,total,Michael H. Sweeney,Michael H. Sweeney Percent,precinct_id
41,13,16,16,100.0,41013
41,25,18,18,100.0,41025
41,26,20,20,100.0,41026
41,28,61,61,100.0,41028
41,29,18,18,100.0,41029
41,32,37,37,100.0,41032
41,48,23,23,100.0,41048
