ward,precinct,total,Lionel Garcia,Lionel Garcia Percent,Charles A. Wilson,Charles A. Wilson Percent,precinct_id
16,1,0,0,0.0,0,0.0,16001
16,2,0,0,0.0,0,0.0,16002
16,3,0,0,0.0,0,0.0,16003
16,4,2,2,100.0,0,0.0,16004
16,5,0,0,0.0,0,0.0,16005
16,6,1,0,0.0,1,100.0,16006
16,7,5,5,100.0,0,0.0,16007
16,8,0,0,0.0,0,0.0,16008
16,9,0,0,0.0,0,0.0,16009
16,10,0,0,0.0,0,0.0,16010
16,11,3,3,100.0,0,0.0,16011
16,12,2,1,50.0,1,50.0,16012
16,13,8,8,100.0,0,0.0,16013
16,14,0,0,0.0,0,0.0,16014
16,15,0,0,0.0,0,0.0,16015
16,16,1,0,0.0,1,100.0,16016
16,17,9,3,33.33,6,66.67,16017
16,18,1,0,0.0,1,100.0,16018
16,19,0,0,0.0,0,0.0,16019
16,20,0,0,0.0,0,0.0,16020
16,21,7,4,57.14,3,42.86,16021
16,22,3,0,0.0,3,100.0,16022
16,23,6,4,66.67,2,33.33,16023
16,24,0,0,0.0,0,0.0,16024
16,25,1,0,0.0,1,100.0,16025
16,26,0,0,0.0,0,0.0,16026
16,27,3,1,33.33,2,66.67,16027
16,28,0,0,0.0,0,0.0,16028
16,29,0,0,0.0,0,0.0,16029
16,30,0,0,0.0,0,0.0,16030
16,31,1,0,0.0,1,100.0,16031
16,32,6,3,50.0,3,50.0,16032
16,33,0,0,0.0,0,0.0,16033
16,34,1,0,0.0,1,100.0,16034
16,35,13,7,53.85,6,46.15,16035
16,36,0,0,0.0,0,0.0,16036
16,37,0,0,0.0,0,0.0,16037
16,38,1,0,0.0,1,100.0,16038
16,39,14,11,78.57,3,21.43,16039
16,40,2,0,0.0,2,100.0,16040
16,41,0,0,0.0,0,0.0,16041
16,42,9,7,77.78,2,22.22,16042
16,43,0,0,0.0,0,0.0,16043
16,44,5,5,100.0,0,0.0,16044
