ward,precinct,total,Rosa Pritchett,Rosa Pritchett Percent,Virgil E. Jones,Virgil E. Jones Percent,precinct_id
15,1,6,5,83.33,1,16.67,15001
15,2,2,1,50.0,1,50.0,15002
15,3,2,1,50.0,1,50.0,15003
15,4,4,4,100.0,0,0.0,15004
15,5,2,0,0.0,2,100.0,15005
15,6,7,2,28.57,5,71.43,15006
15,7,0,0,0.0,0,0.0,15007
15,8,1,1,100.0,0,0.0,15008
15,9,6,3,50.0,3,50.0,15009
15,10,8,5,62.5,3,37.5,15010
15,11,3,3,100.0,0,0.0,15011
15,12,1,0,0.0,1,100.0,15012
15,13,1,1,100.0,0,0.0,15013
15,14,7,6,85.71,1,14.29,15014
15,15,3,2,66.67,1,33.33,15015
15,16,3,3,100.0,0,0.0,15016
15,17,1,1,100.0,0,0.0,15017
15,18,1,0,0.0,1,100.0,15018
15,19,0,0,0.0,0,0.0,15019
15,20,0,0,0.0,0,0.0,15020
15,21,0,0,0.0,0,0.0,15021
15,22,2,2,100.0,0,0.0,15022
15,23,4,3,75.0,1,25.0,15023
15,24,4,4,100.0,0,0.0,15024
15,25,2,2,100.0,0,0.0,15025
15,26,1,0,0.0,1,100.0,15026
15,27,1,1,100.0,0,0.0,15027
15,28,10,7,70.0,3,30.0,15028
15,29,1,1,100.0,0,0.0,15029
15,30,0,0,0.0,0,0.0,15030
15,31,0,0,0.0,0,0.0,15031
15,32,1,1,100.0,0,0.0,15032
15,33,4,4,100.0,0,0.0,15033
15,34,1,0,0.0,1,100.0,15034
15,35,0,0,0.0,0,0.0,15035
15,36,0,0,0.0,0,0.0,15036
15,37,0,0,0.0,0,0.0,15037
15,38,2,2,100.0,0,0.0,15038
15,39,0,0,0.0,0,0.0,15039
15,40,0,0,0.0,0,0.0,15040
15,41,8,7,87.5,1,12.5,15041
15,42,1,0,0.0,1,100.0,15042
15,43,2,1,50.0,1,50.0,15043
15,44,11,6,54.55,5,45.45,15044
15,45,1,1,100.0,0,0.0,15045
15,46,0,0,0.0,0,0.0,15046
15,47,0,0,0.0,0,0.0,15047
15,48,2,1,50.0,1,50.0,15048
15,49,4,2,50.0,2,50.0,15049
15,50,2,1,50.0,1,50.0,15050
15,51,0,0,0.0,0,0.0,15051
15,52,0,0,0.0,0,0.0,15052
