ward,precinct,total,James J. Parrilli,James J. Parrilli Percent,Danny Carbol,Danny Carbol Percent,Patrick D. Guest,Patrick D. Guest Percent,precinct_id
19,1,25,12,48.0,7,28.0,6,24.0,19001
19,2,9,5,55.56,1,11.11,3,33.33,19002
19,3,53,14,26.42,19,35.85,20,37.74,19003
19,4,31,14,45.16,10,32.26,7,22.58,19004
19,5,17,11,64.71,1,5.88,5,29.41,19005
19,6,37,17,45.95,14,37.84,6,16.22,19006
19,7,18,9,50.0,6,33.33,3,16.67,19007
19,8,39,23,58.97,7,17.95,9,23.08,19008
19,9,20,7,35.0,6,30.0,7,35.0,19009
19,10,26,13,50.0,10,38.46,3,11.54,19010
19,11,33,21,63.64,5,15.15,7,21.21,19011
19,12,28,11,39.29,7,25.0,10,35.71,19012
19,13,5,2,40.0,2,40.0,1,20.0,19013
19,14,26,12,46.15,6,23.08,8,30.77,19014
19,15,31,15,48.39,10,32.26,6,19.35,19015
19,16,35,14,40.0,14,40.0,7,20.0,19016
19,17,27,14,51.85,6,22.22,7,25.93,19017
19,18,24,13,54.17,6,25.0,5,20.83,19018
19,19,22,10,45.45,5,22.73,7,31.82,19019
19,20,18,7,38.89,7,38.89,4,22.22,19020
19,21,24,9,37.5,7,29.17,8,33.33,19021
19,22,25,14,56.0,9,36.0,2,8.0,19022
19,23,34,21,61.76,4,11.76,9,26.47,19023
19,24,42,19,45.24,9,21.43,14,33.33,19024
19,25,52,31,59.62,12,23.08,9,17.31,19025
19,26,49,26,53.06,13,26.53,10,20.41,19026
19,27,9,5,55.56,1,11.11,3,33.33,19027
19,28,6,2,33.33,2,33.33,2,33.33,19028
19,29,29,16,55.17,9,31.03,4,13.79,19029
19,30,42,15,35.71,21,50.0,6,14.29,19030
19,31,42,13,30.95,19,45.24,10,23.81,19031
19,32,31,22,70.97,4,12.9,5,16.13,19032
19,33,47,18,38.3,21,44.68,8,17.02,19033
19,34,31,15,48.39,10,32.26,6,19.35,19034
19,35,24,12,50.0,5,20.83,7,29.17,19035
19,36,13,6,46.15,1,7.69,6,46.15,19036
19,37,24,9,37.5,11,45.83,4,16.67,19037
19,38,16,4,25.0,10,62.5,2,12.5,19038
19,39,4,1,25.0,2,50.0,1,25.0,19039
19,40,27,13,48.15,10,37.04,4,14.81,19040
19,41,32,13,40.63,11,34.38,8,25.0,19041
19,42,27,12,44.44,7,25.93,8,29.63,19042
19,43,7,3,42.86,2,28.57,2,28.57,19043
19,44,34,15,44.12,10,29.41,9,26.47,19044
19,45,37,17,45.95,13,35.14,7,18.92,19045
19,46,37,22,59.46,11,29.73,4,10.81,19046
19,47,10,4,40.0,4,40.0,2,20.0,19047
19,48,3,1,33.33,1,33.33,1,33.33,19048
19,49,17,6,35.29,7,41.18,4,23.53,19049
19,50,0,0,0.0,0,0.0,0,0.0,19050
19,51,27,19,70.37,6,22.22,2,7.41,19051
19,52,42,20,47.62,11,26.19,11,26.19,19052
19,53,31,10,32.26,14,45.16,7,22.58,19053
19,54,40,19,47.5,10,25.0,11,27.5,19054
19,55,27,14,51.85,9,33.33,4,14.81,19055
19,56,31,14,45.16,7,22.58,10,32.26,19056
19,57,20,7,35.0,6,30.0,7,35.0,19057
19,58,45,18,40.0,11,24.44,16,35.56,19058
19,59,43,12,27.91,25,58.14,6,13.95,19059
19,60,2,1,50.0,1,50.0,0,0.0,19060
19,61,28,14,50.0,6,21.43,8,28.57,19061
19,62,12,4,33.33,6,50.0,2,16.67,19062
19,63,10,2,20.0,6,60.0,2,20.0,19063
19,64,17,7,41.18,10,58.82,0,0.0,19064
19,65,7,2,28.57,4,57.14,1,14.29,19065
19,66,2,2,100.0,0,0.0,0,0.0,19066
