ward,precinct,total,Jim Fuchs,Jim Fuchs Percent,precinct_id
44,1,20,20,100.0,44001
44,2,18,18,100.0,44002
44,3,29,29,100.0,44003
44,4,26,26,100.0,44004
44,5,29,29,100.0,44005
44,6,33,33,100.0,44006
44,7,35,35,100.0,44007
44,8,13,13,100.0,44008
44,9,32,32,100.0,44009
44,10,24,24,100.0,44010
44,11,25,25,100.0,44011
44,12,16,16,100.0,44012
44,13,26,26,100.0,44013
44,14,23,23,100.0,44014
44,15,30,30,100.0,44015
44,16,19,19,100.0,44016
44,17,28,28,100.0,44017
44,18,17,17,100.0,44018
44,19,12,12,100.0,44019
44,20,21,21,100.0,44020
44,21,25,25,100.0,44021
44,22,32,32,100.0,44022
44,23,22,22,100.0,44023
44,24,17,17,100.0,44024
44,25,37,37,100.0,44025
44,26,25,25,100.0,44026
44,27,35,35,100.0,44027
44,28,26,26,100.0,44028
44,29,37,37,100.0,44029
44,30,14,14,100.0,44030
44,31,32,32,100.0,44031
44,32,20,20,100.0,44032
44,33,17,17,100.0,44033
44,34,19,19,100.0,44034
44,35,22,22,100.0,44035
44,36,31,31,100.0,44036
44,37,27,27,100.0,44037
44,38,36,36,100.0,44038
44,39,48,48,100.0,44039
44,40,26,26,100.0,44040
44,41,22,22,100.0,44041
44,42,27,27,100.0,44042
44,43,32,32,100.0,44043
44,44,28,28,100.0,44044
44,45,18,18,100.0,44045
44,46,24,24,100.0,44046
44,47,33,33,100.0,44047
44,48,17,17,100.0,44048
44,49,36,36,100.0,44049
44,50,44,44,100.0,44050
44,51,29,29,100.0,44051
