ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
41,1,64,64,100.0,41001
41,2,49,49,100.0,41002
41,3,34,34,100.0,41003
41,4,58,58,100.0,41004
41,5,55,55,100.0,41005
41,6,40,40,100.0,41006
41,7,67,67,100.0,41007
41,8,70,70,100.0,41008
41,9,51,51,100.0,41009
41,10,27,27,100.0,41010
41,11,59,59,100.0,41011
41,12,41,41,100.0,41012
41,13,20,20,100.0,41013
41,14,39,39,100.0,41014
41,15,53,53,100.0,41015
41,16,43,43,100.0,41016
41,17,53,53,100.0,41017
41,18,54,54,100.0,41018
41,19,50,50,100.0,41019
41,20,80,80,100.0,41020
41,21,64,64,100.0,41021
41,22,64,64,100.0,41022
41,23,53,53,100.0,41023
41,24,46,46,100.0,41024
41,25,22,22,100.0,41025
41,26,22,22,100.0,41026
41,27,13,13,100.0,41027
41,28,64,64,100.0,41028
41,29,18,18,100.0,41029
41,30,40,40,100.0,41030
41,31,52,52,100.0,41031
41,32,40,40,100.0,41032
41,33,51,51,100.0,41033
41,34,59,59,100.0,41034
41,35,70,70,100.0,41035
41,36,54,54,100.0,41036
41,37,86,86,100.0,41037
41,38,57,57,100.0,41038
41,39,25,25,100.0,41039
41,40,70,70,100.0,41040
41,41,53,53,100.0,41041
41,42,41,41,100.0,41042
41,43,62,62,100.0,41043
41,44,57,57,100.0,41044
41,45,43,43,100.0,41045
41,46,37,37,100.0,41046
41,47,57,57,100.0,41047
41,48,20,20,100.0,41048
41,49,65,65,100.0,41049
41,50,45,45,100.0,41050
41,51,35,35,100.0,41051
41,52,73,73,100.0,41052
41,53,41,41,100.0,41053
41,54,27,27,100.0,41054
41,55,62,62,100.0,41055
41,56,77,77,100.0,41056
41,57,28,28,100.0,41057
