ward,precinct,total,Jeffrey Malinowski,Jeffrey Malinowski Percent,precinct_id
13,1,18,18,100.0,13001
13,2,7,7,100.0,13002
13,4,31,31,100.0,13004
13,5,9,9,100.0,13005
13,6,14,14,100.0,13006
13,7,10,10,100.0,13007
13,8,17,17,100.0,13008
13,9,16,16,100.0,13009
13,10,13,13,100.0,13010
13,11,8,8,100.0,13011
13,12,12,12,100.0,13012
13,13,9,9,100.0,13013
13,14,13,13,100.0,13014
13,15,14,14,100.0,13015
13,16,7,7,100.0,13016
13,17,20,20,100.0,13017
13,19,3,3,100.0,13019
13,21,7,7,100.0,13021
13,22,12,12,100.0,13022
13,23,12,12,100.0,13023
13,24,14,14,100.0,13024
13,25,15,15,100.0,13025
13,26,8,8,100.0,13026
13,27,21,21,100.0,13027
13,28,6,6,100.0,13028
13,29,7,7,100.0,13029
13,30,0,0,0.0,13030
13,31,3,3,100.0,13031
13,32,7,7,100.0,13032
13,33,4,4,100.0,13033
13,34,6,6,100.0,13034
13,35,6,6,100.0,13035
13,36,3,3,100.0,13036
13,37,6,6,100.0,13037
13,38,12,12,100.0,13038
13,39,3,3,100.0,13039
13,40,17,17,100.0,13040
13,41,4,4,100.0,13041
13,42,11,11,100.0,13042
13,43,9,9,100.0,13043
13,44,2,2,100.0,13044
13,45,14,14,100.0,13045
13,46,9,9,100.0,13046
23,1,24,24,100.0,23001
23,2,12,12,100.0,23002
23,3,29,29,100.0,23003
23,4,21,21,100.0,23004
23,7,0,0,0.0,23007
23,8,15,15,100.0,23008
23,11,27,27,100.0,23011
23,12,25,25,100.0,23012
23,13,16,16,100.0,23013
23,14,0,0,0.0,23014
23,15,25,25,100.0,23015
23,16,21,21,100.0,23016
23,17,32,32,100.0,23017
23,18,14,14,100.0,23018
23,19,27,27,100.0,23019
23,20,14,14,100.0,23020
23,21,0,0,0.0,23021
23,22,18,18,100.0,23022
23,23,22,22,100.0,23023
23,26,42,42,100.0,23026
23,27,23,23,100.0,23027
23,28,16,16,100.0,23028
23,30,22,22,100.0,23030
23,34,14,14,100.0,23034
23,35,1,1,100.0,23035
23,36,26,26,100.0,23036
23,37,1,1,100.0,23037
23,38,17,17,100.0,23038
23,39,23,23,100.0,23039
23,40,32,32,100.0,23040
23,42,15,15,100.0,23042
23,43,28,28,100.0,23043
23,44,14,14,100.0,23044
23,45,24,24,100.0,23045
23,46,12,12,100.0,23046
23,47,27,27,100.0,23047
23,48,16,16,100.0,23048
23,49,26,26,100.0,23049
23,52,19,19,100.0,23052
23,54,23,23,100.0,23054
23,55,16,16,100.0,23055
23,56,23,23,100.0,23056
