ward,precinct,total,Kevin Fullam,Kevin Fullam Percent,Robert D. Shearer,Robert D. Shearer Percent,precinct_id
49,1,5,0,0.0,5,100.0,49001
49,2,25,10,40.0,15,60.0,49002
49,3,5,2,40.0,3,60.0,49003
49,4,7,3,42.86,4,57.14,49004
49,5,7,3,42.86,4,57.14,49005
49,6,10,8,80.0,2,20.0,49006
49,7,10,7,70.0,3,30.0,49007
49,8,8,4,50.0,4,50.0,49008
49,9,9,7,77.78,2,22.22,49009
49,10,16,5,31.25,11,68.75,49010
49,11,8,4,50.0,4,50.0,49011
49,12,10,3,30.0,7,70.0,49012
49,13,23,6,26.09,17,73.91,49013
49,14,22,2,9.09,20,90.91,49014
49,15,7,5,71.43,2,28.57,49015
49,16,18,5,27.78,13,72.22,49016
49,17,0,0,0.0,0,0.0,49017
49,18,11,4,36.36,7,63.64,49018
49,19,5,0,0.0,5,100.0,49019
49,20,18,7,38.89,11,61.11,49020
49,21,9,4,44.44,5,55.56,49021
49,22,10,6,60.0,4,40.0,49022
49,23,9,3,33.33,6,66.67,49023
49,24,13,5,38.46,8,61.54,49024
49,25,17,9,52.94,8,47.06,49025
49,26,20,15,75.0,5,25.0,49026
49,27,10,6,60.0,4,40.0,49027
49,28,11,5,45.45,6,54.55,49028
49,29,14,2,14.29,12,85.71,49029
49,30,11,5,45.45,6,54.55,49030
49,31,15,6,40.0,9,60.0,49031
49,32,10,4,40.0,6,60.0,49032
49,33,9,3,33.33,6,66.67,49033
49,34,8,6,75.0,2,25.0,49034
49,35,14,10,71.43,4,28.57,49035
49,36,19,8,42.11,11,57.89,49036
49,37,11,5,45.45,6,54.55,49037
49,38,8,4,50.0,4,50.0,49038
49,39,9,3,33.33,6,66.67,49039
49,40,12,6,50.0,6,50.0,49040
49,41,13,4,30.77,9,69.23,49041
49,42,7,5,71.43,2,28.57,49042
