ward,precinct,total,Dennis DuBois,Dennis DuBois Percent,Billy Ying Fook Moy,Billy Ying Fook Moy Percent,Hector Escarzaga Jr.,Hector Escarzaga Jr. Percent,precinct_id
25,1,14,7,50.0,4,28.57,3,21.43,25001
25,2,14,6,42.86,3,21.43,5,35.71,25002
25,3,7,4,57.14,1,14.29,2,28.57,25003
25,4,9,3,33.33,3,33.33,3,33.33,25004
25,5,12,5,41.67,2,16.67,5,41.67,25005
25,6,8,3,37.5,3,37.5,2,25.0,25006
25,7,13,4,30.77,3,23.08,6,46.15,25007
25,8,5,1,20.0,0,0.0,4,80.0,25008
25,9,10,2,20.0,2,20.0,6,60.0,25009
25,10,3,1,33.33,2,66.67,0,0.0,25010
25,11,10,2,20.0,2,20.0,6,60.0,25011
25,12,8,3,37.5,3,37.5,2,25.0,25012
25,13,9,1,11.11,2,22.22,6,66.67,25013
25,14,12,1,8.33,11,91.67,0,0.0,25014
25,15,9,4,44.44,1,11.11,4,44.44,25015
25,16,5,4,80.0,0,0.0,1,20.0,25016
25,17,11,4,36.36,0,0.0,7,63.64,25017
25,18,6,0,0.0,6,100.0,0,0.0,25018
25,19,5,1,20.0,0,0.0,4,80.0,25019
25,20,9,3,33.33,3,33.33,3,33.33,25020
25,21,18,13,72.22,3,16.67,2,11.11,25021
25,22,5,1,20.0,1,20.0,3,60.0,25022
25,23,9,5,55.56,2,22.22,2,22.22,25023
25,24,7,3,42.86,1,14.29,3,42.86,25024
25,25,24,20,83.33,4,16.67,0,0.0,25025
25,26,15,12,80.0,3,20.0,0,0.0,25026
25,27,13,5,38.46,3,23.08,5,38.46,25027
25,28,26,20,76.92,6,23.08,0,0.0,25028
25,29,37,22,59.46,6,16.22,9,24.32,25029
25,30,1,0,0.0,0,0.0,1,100.0,25030
25,31,8,2,25.0,1,12.5,5,62.5,25031
