ward,precinct,total,Lawrence V. Cione,Lawrence V. Cione Percent,Kevin Edward White,Kevin Edward White Percent,precinct_id
38,1,21,6,28.57,15,71.43,38001
38,2,6,3,50.0,3,50.0,38002
38,3,23,11,47.83,12,52.17,38003
38,4,13,3,23.08,10,76.92,38004
38,5,33,5,15.15,28,84.85,38005
38,6,20,8,40.0,12,60.0,38006
38,7,29,9,31.03,20,68.97,38007
38,8,21,16,76.19,5,23.81,38008
38,9,24,12,50.0,12,50.0,38009
38,10,25,10,40.0,15,60.0,38010
38,11,16,9,56.25,7,43.75,38011
38,12,25,14,56.0,11,44.0,38012
38,13,26,11,42.31,15,57.69,38013
38,14,17,8,47.06,9,52.94,38014
38,15,17,6,35.29,11,64.71,38015
38,16,16,11,68.75,5,31.25,38016
38,17,6,4,66.67,2,33.33,38017
38,18,22,9,40.91,13,59.09,38018
38,19,25,11,44.0,14,56.0,38019
38,20,26,8,30.77,18,69.23,38020
38,21,18,8,44.44,10,55.56,38021
38,22,14,1,7.14,13,92.86,38022
38,23,16,6,37.5,10,62.5,38023
38,24,16,6,37.5,10,62.5,38024
38,25,14,6,42.86,8,57.14,38025
38,26,18,9,50.0,9,50.0,38026
38,27,11,3,27.27,8,72.73,38027
38,28,5,5,100.0,0,0.0,38028
38,29,11,5,45.45,6,54.55,38029
38,30,11,7,63.64,4,36.36,38030
38,31,12,2,16.67,10,83.33,38031
38,32,31,13,41.94,18,58.06,38032
38,33,12,7,58.33,5,41.67,38033
38,34,8,3,37.5,5,62.5,38034
38,35,14,8,57.14,6,42.86,38035
38,36,9,0,0.0,9,100.0,38036
38,37,20,6,30.0,14,70.0,38037
38,38,33,21,63.64,12,36.36,38038
38,39,13,8,61.54,5,38.46,38039
38,40,18,6,33.33,12,66.67,38040
38,41,22,11,50.0,11,50.0,38041
38,42,28,12,42.86,16,57.14,38042
38,43,27,7,25.93,20,74.07,38043
38,44,19,9,47.37,10,52.63,38044
38,45,27,12,44.44,15,55.56,38045
38,46,15,7,46.67,8,53.33,38046
38,47,16,4,25.0,12,75.0,38047
38,48,23,11,47.83,12,52.17,38048
38,49,23,10,43.48,13,56.52,38049
38,50,21,9,42.86,12,57.14,38050
38,51,12,4,33.33,8,66.67,38051
38,52,18,6,33.33,12,66.67,38052
38,53,1,0,0.0,1,100.0,38053
