ward,precinct,total,William ''Mr. D'' Delay,William ''Mr. D'' Delay Percent,Carlos Ferral,Carlos Ferral Percent,precinct_id
18,1,3,1,33.33,2,66.67,18001
18,2,5,4,80.0,1,20.0,18002
18,3,18,14,77.78,4,22.22,18003
18,4,4,1,25.0,3,75.0,18004
18,5,0,0,0.0,0,0.0,18005
18,6,26,13,50.0,13,50.0,18006
18,7,7,4,57.14,3,42.86,18007
18,8,1,1,100.0,0,0.0,18008
18,9,6,4,66.67,2,33.33,18009
18,10,1,1,100.0,0,0.0,18010
18,11,8,4,50.0,4,50.0,18011
18,12,8,5,62.5,3,37.5,18012
18,13,7,2,28.57,5,71.43,18013
18,14,4,2,50.0,2,50.0,18014
18,15,7,5,71.43,2,28.57,18015
18,16,6,5,83.33,1,16.67,18016
18,17,1,1,100.0,0,0.0,18017
18,18,3,3,100.0,0,0.0,18018
18,19,0,0,0.0,0,0.0,18019
18,20,2,1,50.0,1,50.0,18020
18,21,7,6,85.71,1,14.29,18021
18,22,3,2,66.67,1,33.33,18022
18,23,6,3,50.0,3,50.0,18023
18,24,1,1,100.0,0,0.0,18024
18,25,1,1,100.0,0,0.0,18025
18,26,0,0,0.0,0,0.0,18026
18,27,4,3,75.0,1,25.0,18027
18,28,29,12,41.38,17,58.62,18028
18,29,10,4,40.0,6,60.0,18029
18,30,0,0,0.0,0,0.0,18030
18,31,3,1,33.33,2,66.67,18031
18,32,0,0,0.0,0,0.0,18032
18,33,3,3,100.0,0,0.0,18033
18,34,7,3,42.86,4,57.14,18034
18,35,2,1,50.0,1,50.0,18035
18,36,5,4,80.0,1,20.0,18036
18,37,1,0,0.0,1,100.0,18037
18,38,0,0,0.0,0,0.0,18038
18,39,5,3,60.0,2,40.0,18039
18,40,3,2,66.67,1,33.33,18040
18,41,16,6,37.5,10,62.5,18041
18,42,10,4,40.0,6,60.0,18042
18,43,10,6,60.0,4,40.0,18043
18,44,6,4,66.67,2,33.33,18044
18,45,1,0,0.0,1,100.0,18045
18,46,2,1,50.0,1,50.0,18046
18,47,2,1,50.0,1,50.0,18047
18,48,12,9,75.0,3,25.0,18048
18,49,0,0,0.0,0,0.0,18049
18,50,1,1,100.0,0,0.0,18050
18,51,1,1,100.0,0,0.0,18051
18,52,0,0,0.0,0,0.0,18052
18,53,1,1,100.0,0,0.0,18053
18,54,3,1,33.33,2,66.67,18054
18,55,22,14,63.64,8,36.36,18055
18,56,7,7,100.0,0,0.0,18056
18,57,5,2,40.0,3,60.0,18057
18,58,0,0,0.0,0,0.0,18058
18,59,0,0,0.0,0,0.0,18059
18,60,1,1,100.0,0,0.0,18060
18,61,0,0,0.0,0,0.0,18061
18,62,7,2,28.57,5,71.43,18062
