ward,precinct,total,Stephanie Hitt (McCain),Stephanie Hitt (McCain) Percent,Jim Fuchs (McCain),Jim Fuchs (McCain) Percent,Walter W. Dudycz (Romney),Walter W. Dudycz (Romney) Percent,Mary C. Childers (Romney),Mary C. Childers (Romney) Percent,Jason E. Acebal (Paul),Jason E. Acebal (Paul) Percent,Dayna L. Euhus (Paul),Dayna L. Euhus (Paul) Percent,Dave Sullivan (Thompson),Dave Sullivan (Thompson) Percent,Herbert Sohn (Thompson),Herbert Sohn (Thompson) Percent,Howard P. Frimark (Giuliani),Howard P. Frimark (Giuliani) Percent,John M. ''Jack'' Dorgan (Giuliani),John M. ''Jack'' Dorgan (Giuliani) Percent,Joseph Thomas Witek (Huckabee),Joseph Thomas Witek (Huckabee) Percent,Dean P. Schiff (Huckabee),Dean P. Schiff (Huckabee) Percent,precinct_id
40,3,41,10,24.39,10,24.39,2,4.88,3,7.32,6,14.63,5,12.2,0,0.0,0,0.0,1,2.44,0,0.0,2,4.88,2,4.88,40003
40,4,32,4,12.5,4,12.5,8,25.0,8,25.0,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,40004
40,7,18,3,16.67,3,16.67,2,11.11,2,11.11,1,5.56,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,2,11.11,2,11.11,40007
40,8,13,4,30.77,4,30.77,1,7.69,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.69,1,7.69,1,7.69,40008
40,9,19,4,21.05,9,47.37,2,10.53,1,5.26,2,10.53,0,0.0,0,0.0,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,40009
40,11,33,9,27.27,10,30.3,1,3.03,3,9.09,2,6.06,2,6.06,0,0.0,0,0.0,0,0.0,0,0.0,3,9.09,3,9.09,40011
40,12,28,5,17.86,5,17.86,1,3.57,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,3,10.71,2,7.14,6,21.43,5,17.86,40012
40,13,28,5,17.86,4,14.29,4,14.29,5,17.86,1,3.57,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,5,17.86,3,10.71,40013
40,16,24,5,20.83,4,16.67,3,12.5,3,12.5,4,16.67,3,12.5,0,0.0,0,0.0,1,4.17,1,4.17,0,0.0,0,0.0,40016
40,18,15,3,20.0,4,26.67,1,6.67,1,6.67,1,6.67,1,6.67,1,6.67,0,0.0,2,13.33,0,0.0,0,0.0,1,6.67,40018
