ward,precinct,total,Ronnie McKenzie,Ronnie McKenzie Percent,Erma Jean Kohn,Erma Jean Kohn Percent,Jane Myra Bland,Jane Myra Bland Percent,precinct_id
24,1,1,0,0.0,0,0.0,1,100.0,24001
24,2,3,3,100.0,0,0.0,0,0.0,24002
24,3,1,1,100.0,0,0.0,0,0.0,24003
24,4,4,4,100.0,0,0.0,0,0.0,24004
24,5,4,4,100.0,0,0.0,0,0.0,24005
24,6,4,4,100.0,0,0.0,0,0.0,24006
24,7,0,0,0.0,0,0.0,0,0.0,24007
24,8,1,1,100.0,0,0.0,0,0.0,24008
24,9,4,1,25.0,2,50.0,1,25.0,24009
24,10,1,0,0.0,1,100.0,0,0.0,24010
24,11,2,1,50.0,1,50.0,0,0.0,24011
24,12,2,1,50.0,1,50.0,0,0.0,24012
24,13,2,2,100.0,0,0.0,0,0.0,24013
24,14,10,9,90.0,1,10.0,0,0.0,24014
24,15,0,0,0.0,0,0.0,0,0.0,24015
24,16,2,1,50.0,1,50.0,0,0.0,24016
24,17,1,1,100.0,0,0.0,0,0.0,24017
24,18,0,0,0.0,0,0.0,0,0.0,24018
24,19,2,2,100.0,0,0.0,0,0.0,24019
24,20,1,0,0.0,1,100.0,0,0.0,24020
24,21,20,20,100.0,0,0.0,0,0.0,24021
24,22,1,0,0.0,1,100.0,0,0.0,24022
24,23,4,4,100.0,0,0.0,0,0.0,24023
24,24,9,9,100.0,0,0.0,0,0.0,24024
24,25,1,1,100.0,0,0.0,0,0.0,24025
24,26,2,1,50.0,1,50.0,0,0.0,24026
24,27,4,1,25.0,3,75.0,0,0.0,24027
24,28,1,0,0.0,1,100.0,0,0.0,24028
24,29,1,1,100.0,0,0.0,0,0.0,24029
24,30,3,3,100.0,0,0.0,0,0.0,24030
24,31,1,1,100.0,0,0.0,0,0.0,24031
24,32,2,1,50.0,0,0.0,1,50.0,24032
24,33,0,0,0.0,0,0.0,0,0.0,24033
24,34,6,5,83.33,0,0.0,1,16.67,24034
24,35,3,3,100.0,0,0.0,0,0.0,24035
24,36,1,0,0.0,1,100.0,0,0.0,24036
24,37,8,7,87.5,1,12.5,0,0.0,24037
24,38,0,0,0.0,0,0.0,0,0.0,24038
24,39,0,0,0.0,0,0.0,0,0.0,24039
24,40,1,1,100.0,0,0.0,0,0.0,24040
24,41,1,1,100.0,0,0.0,0,0.0,24041
24,42,0,0,0.0,0,0.0,0,0.0,24042
24,43,1,0,0.0,1,100.0,0,0.0,24043
24,44,0,0,0.0,0,0.0,0,0.0,24044
24,45,0,0,0.0,0,0.0,0,0.0,24045
24,46,1,1,100.0,0,0.0,0,0.0,24046
24,47,2,2,100.0,0,0.0,0,0.0,24047
24,48,2,2,100.0,0,0.0,0,0.0,24048
24,49,1,1,100.0,0,0.0,0,0.0,24049
24,50,19,16,84.21,1,5.26,2,10.53,24050
24,51,6,5,83.33,1,16.67,0,0.0,24051
24,52,0,0,0.0,0,0.0,0,0.0,24052
24,53,3,1,33.33,0,0.0,2,66.67,24053
24,54,0,0,0.0,0,0.0,0,0.0,24054
24,55,0,0,0.0,0,0.0,0,0.0,24055
24,56,0,0,0.0,0,0.0,0,0.0,24056
