ward,precinct,total,Charlie Serrano (Romney),Charlie Serrano (Romney) Percent,Bryce R. Kenny (Romney),Bryce R. Kenny (Romney) Percent,Ann Melichar (McCain),Ann Melichar (McCain) Percent,Gustavo Gonzalez (McCain),Gustavo Gonzalez (McCain) Percent,Joseph M. Cesarone (Paul),Joseph M. Cesarone (Paul) Percent,Ann K. Huggins (Paul),Ann K. Huggins (Paul) Percent,John J. Curry (Thompson),John J. Curry (Thompson) Percent,Tom M. Tomschin (Thompson),Tom M. Tomschin (Thompson) Percent,Raul Perez (Giuliani),Raul Perez (Giuliani) Percent,Glen H. Samson (Giuliani),Glen H. Samson (Giuliani) Percent,precinct_id
1,1,10,1,10.0,0,0.0,4,40.0,3,30.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,01001
1,2,34,3,8.82,2,5.88,14,41.18,8,23.53,3,8.82,3,8.82,1,2.94,0,0.0,0,0.0,0,0.0,01002
1,3,24,2,8.33,2,8.33,7,29.17,7,29.17,2,8.33,3,12.5,0,0.0,0,0.0,1,4.17,0,0.0,01003
1,4,26,3,11.54,4,15.38,5,19.23,4,15.38,3,11.54,3,11.54,1,3.85,1,3.85,1,3.85,1,3.85,01004
1,5,55,8,14.55,5,9.09,17,30.91,14,25.45,4,7.27,6,10.91,0,0.0,0,0.0,1,1.82,0,0.0,01005
1,7,54,10,18.52,11,20.37,11,20.37,10,18.52,4,7.41,5,9.26,0,0.0,0,0.0,2,3.7,1,1.85,01007
1,8,32,4,12.5,4,12.5,12,37.5,7,21.88,2,6.25,2,6.25,0,0.0,0,0.0,0,0.0,1,3.13,01008
1,9,34,5,14.71,4,11.76,8,23.53,7,20.59,5,14.71,2,5.88,1,2.94,1,2.94,1,2.94,0,0.0,01009
1,10,37,7,18.92,7,18.92,12,32.43,9,24.32,1,2.7,1,2.7,0,0.0,0,0.0,0,0.0,0,0.0,01010
1,11,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,01011
1,12,79,14,17.72,13,16.46,21,26.58,13,16.46,3,3.8,4,5.06,2,2.53,2,2.53,3,3.8,4,5.06,01012
1,13,42,2,4.76,3,7.14,9,21.43,11,26.19,7,16.67,7,16.67,0,0.0,0,0.0,2,4.76,1,2.38,01013
1,14,18,2,11.11,2,11.11,6,33.33,8,44.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01014
1,15,17,4,23.53,3,17.65,5,29.41,4,23.53,0,0.0,0,0.0,0,0.0,1,5.88,0,0.0,0,0.0,01015
1,16,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01016
1,17,29,2,6.9,5,17.24,9,31.03,8,27.59,1,3.45,1,3.45,0,0.0,0,0.0,2,6.9,1,3.45,01017
1,18,19,2,10.53,2,10.53,7,36.84,5,26.32,1,5.26,0,0.0,0,0.0,0,0.0,1,5.26,1,5.26,01018
1,19,22,2,9.09,2,9.09,7,31.82,8,36.36,1,4.55,1,4.55,0,0.0,1,4.55,0,0.0,0,0.0,01019
1,20,22,0,0.0,0,0.0,7,31.82,6,27.27,3,13.64,4,18.18,1,4.55,0,0.0,0,0.0,1,4.55,01020
1,21,44,7,15.91,8,18.18,12,27.27,8,18.18,4,9.09,3,6.82,1,2.27,1,2.27,0,0.0,0,0.0,01021
1,22,14,1,7.14,1,7.14,1,7.14,2,14.29,3,21.43,4,28.57,1,7.14,1,7.14,0,0.0,0,0.0,01022
1,23,27,8,29.63,6,22.22,7,25.93,5,18.52,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,01023
1,24,42,1,2.38,2,4.76,13,30.95,13,30.95,4,9.52,5,11.9,1,2.38,0,0.0,1,2.38,2,4.76,01024
1,25,20,3,15.0,3,15.0,5,25.0,3,15.0,3,15.0,3,15.0,0,0.0,0,0.0,0,0.0,0,0.0,01025
1,26,54,8,14.81,10,18.52,15,27.78,13,24.07,3,5.56,4,7.41,1,1.85,0,0.0,0,0.0,0,0.0,01026
1,27,37,6,16.22,5,13.51,8,21.62,9,24.32,0,0.0,1,2.7,0,0.0,0,0.0,4,10.81,4,10.81,01027
1,28,7,1,14.29,1,14.29,0,0.0,2,28.57,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,01028
1,29,50,6,12.0,6,12.0,12,24.0,9,18.0,7,14.0,8,16.0,0,0.0,0,0.0,1,2.0,1,2.0,01029
1,30,49,8,16.33,6,12.24,14,28.57,12,24.49,3,6.12,4,8.16,0,0.0,0,0.0,1,2.04,1,2.04,01030
1,31,76,5,6.58,4,5.26,29,38.16,23,30.26,5,6.58,5,6.58,1,1.32,0,0.0,2,2.63,2,2.63,01031
1,32,25,7,28.0,6,24.0,5,20.0,5,20.0,1,4.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,01032
1,33,38,4,10.53,4,10.53,13,34.21,8,21.05,3,7.89,5,13.16,1,2.63,0,0.0,0,0.0,0,0.0,01033
1,34,18,1,5.56,0,0.0,6,33.33,6,33.33,1,5.56,2,11.11,1,5.56,0,0.0,0,0.0,1,5.56,01034
1,35,43,5,11.63,5,11.63,13,30.23,13,30.23,2,4.65,2,4.65,1,2.33,1,2.33,0,0.0,1,2.33,01035
