ward,precinct,total,Joann Donfrio,Joann Donfrio Percent,precinct_id
14,1,4,4,100.0,14001
14,2,11,11,100.0,14002
14,3,0,0,0.0,14003
14,4,5,5,100.0,14004
14,5,3,3,100.0,14005
14,6,5,5,100.0,14006
14,7,7,7,100.0,14007
14,8,8,8,100.0,14008
14,9,2,2,100.0,14009
14,10,8,8,100.0,14010
14,11,0,0,0.0,14011
14,12,5,5,100.0,14012
14,13,6,6,100.0,14013
14,14,3,3,100.0,14014
14,15,1,1,100.0,14015
14,16,4,4,100.0,14016
14,17,5,5,100.0,14017
14,18,3,3,100.0,14018
14,19,9,9,100.0,14019
14,20,10,10,100.0,14020
14,21,1,1,100.0,14021
14,22,6,6,100.0,14022
14,23,9,9,100.0,14023
14,24,3,3,100.0,14024
14,25,5,5,100.0,14025
14,26,3,3,100.0,14026
14,27,8,8,100.0,14027
14,28,3,3,100.0,14028
14,29,4,4,100.0,14029
14,30,5,5,100.0,14030
14,31,4,4,100.0,14031
14,32,5,5,100.0,14032
14,33,6,6,100.0,14033
14,34,3,3,100.0,14034
14,35,5,5,100.0,14035
