ward,precinct,total,Charles Hutchinson,Charles Hutchinson Percent,Brian Swift,Brian Swift Percent,precinct_id
2,1,44,17,38.64,27,61.36,02001
2,2,5,2,40.0,3,60.0,02002
2,3,14,7,50.0,7,50.0,02003
2,4,0,0,0.0,0,0.0,02004
2,5,3,0,0.0,3,100.0,02005
2,6,42,17,40.48,25,59.52,02006
2,7,2,1,50.0,1,50.0,02007
2,8,45,20,44.44,25,55.56,02008
2,9,3,3,100.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,02010
2,11,31,9,29.03,22,70.97,02011
2,12,42,20,47.62,22,52.38,02012
2,13,9,2,22.22,7,77.78,02013
2,14,5,2,40.0,3,60.0,02014
2,15,0,0,0.0,0,0.0,02015
2,16,34,11,32.35,23,67.65,02016
2,17,1,1,100.0,0,0.0,02017
2,18,26,8,30.77,18,69.23,02018
2,19,27,15,55.56,12,44.44,02019
2,20,4,1,25.0,3,75.0,02020
2,21,10,4,40.0,6,60.0,02021
2,22,44,17,38.64,27,61.36,02022
2,23,3,3,100.0,0,0.0,02023
2,24,15,7,46.67,8,53.33,02024
2,25,22,11,50.0,11,50.0,02025
2,26,17,7,41.18,10,58.82,02026
2,27,3,2,66.67,1,33.33,02027
2,28,20,9,45.0,11,55.0,02028
2,29,8,5,62.5,3,37.5,02029
2,30,41,16,39.02,25,60.98,02030
2,31,4,2,50.0,2,50.0,02031
2,32,6,2,33.33,4,66.67,02032
2,33,0,0,0.0,0,0.0,02033
2,34,3,2,66.67,1,33.33,02034
2,35,5,2,40.0,3,60.0,02035
2,36,28,16,57.14,12,42.86,02036
2,37,26,13,50.0,13,50.0,02037
2,38,48,21,43.75,27,56.25,02038
2,39,9,4,44.44,5,55.56,02039
2,40,21,13,61.9,8,38.1,02040
2,41,0,0,0.0,0,0.0,02041
2,42,0,0,0.0,0,0.0,02042
2,43,25,12,48.0,13,52.0,02043
2,44,0,0,0.0,0,0.0,02044
2,45,4,3,75.0,1,25.0,02045
2,46,3,2,66.67,1,33.33,02046
2,47,1,0,0.0,1,100.0,02047
2,48,2,2,100.0,0,0.0,02048
2,49,8,6,75.0,2,25.0,02049
2,50,10,7,70.0,3,30.0,02050
2,51,1,0,0.0,1,100.0,02051
2,52,5,5,100.0,0,0.0,02052
2,53,17,5,29.41,12,70.59,02053
2,54,28,7,25.0,21,75.0,02054
2,55,8,3,37.5,5,62.5,02055
2,56,1,1,100.0,0,0.0,02056
