ward,precinct,total,Wayne Thorp,Wayne Thorp Percent,Gary Karlin,Gary Karlin Percent,Edwin Burke,Edwin Burke Percent,precinct_id
47,1,18,5,27.78,4,22.22,9,50.0,47001
47,2,14,3,21.43,1,7.14,10,71.43,47002
47,3,16,5,31.25,4,25.0,7,43.75,47003
47,4,20,3,15.0,3,15.0,14,70.0,47004
47,5,29,10,34.48,6,20.69,13,44.83,47005
47,6,28,9,32.14,2,7.14,17,60.71,47006
47,7,23,9,39.13,3,13.04,11,47.83,47007
47,8,23,7,30.43,4,17.39,12,52.17,47008
47,9,15,3,20.0,1,6.67,11,73.33,47009
47,10,6,1,16.67,2,33.33,3,50.0,47010
47,11,24,7,29.17,3,12.5,14,58.33,47011
47,12,17,6,35.29,2,11.76,9,52.94,47012
47,13,21,9,42.86,2,9.52,10,47.62,47013
47,14,8,2,25.0,3,37.5,3,37.5,47014
47,15,17,7,41.18,1,5.88,9,52.94,47015
47,16,20,8,40.0,1,5.0,11,55.0,47016
47,17,23,6,26.09,4,17.39,13,56.52,47017
47,18,14,1,7.14,4,28.57,9,64.29,47018
47,19,18,6,33.33,2,11.11,10,55.56,47019
47,20,13,5,38.46,4,30.77,4,30.77,47020
47,21,23,6,26.09,4,17.39,13,56.52,47021
47,22,12,3,25.0,1,8.33,8,66.67,47022
47,23,5,1,20.0,1,20.0,3,60.0,47023
47,24,34,9,26.47,4,11.76,21,61.76,47024
47,25,16,4,25.0,2,12.5,10,62.5,47025
47,26,30,13,43.33,5,16.67,12,40.0,47026
47,27,20,4,20.0,7,35.0,9,45.0,47027
47,28,16,7,43.75,0,0.0,9,56.25,47028
47,29,24,6,25.0,2,8.33,16,66.67,47029
47,30,30,6,20.0,6,20.0,18,60.0,47030
47,31,11,1,9.09,1,9.09,9,81.82,47031
47,32,20,8,40.0,1,5.0,11,55.0,47032
47,33,13,5,38.46,0,0.0,8,61.54,47033
47,34,25,7,28.0,2,8.0,16,64.0,47034
47,35,27,3,11.11,8,29.63,16,59.26,47035
47,36,34,14,41.18,7,20.59,13,38.24,47036
47,37,38,10,26.32,4,10.53,24,63.16,47037
47,38,24,10,41.67,4,16.67,10,41.67,47038
47,39,20,6,30.0,6,30.0,8,40.0,47039
47,40,23,14,60.87,1,4.35,8,34.78,47040
47,41,25,10,40.0,3,12.0,12,48.0,47041
47,42,25,6,24.0,6,24.0,13,52.0,47042
47,43,21,3,14.29,2,9.52,16,76.19,47043
47,44,30,11,36.67,5,16.67,14,46.67,47044
47,45,14,7,50.0,2,14.29,5,35.71,47045
47,46,12,6,50.0,2,16.67,4,33.33,47046
47,47,27,7,25.93,2,7.41,18,66.67,47047
47,48,2,1,50.0,0,0.0,1,50.0,47048
47,49,13,4,30.77,0,0.0,9,69.23,47049
47,50,20,8,40.0,2,10.0,10,50.0,47050
47,51,14,3,21.43,5,35.71,6,42.86,47051
47,52,8,1,12.5,1,12.5,6,75.0,47052
