ward,precinct,total,Arthur J. Jones,Arthur J. Jones Percent,Michael Hawkins,Michael Hawkins Percent,precinct_id
3,19,8,6,75.0,2,25.0,03019
11,1,20,8,40.0,12,60.0,11001
11,2,15,4,26.67,11,73.33,11002
11,4,13,3,23.08,10,76.92,11004
11,5,11,4,36.36,7,63.64,11005
11,6,16,3,18.75,13,81.25,11006
11,7,10,6,60.0,4,40.0,11007
11,8,12,7,58.33,5,41.67,11008
11,9,4,0,0.0,4,100.0,11009
11,11,16,6,37.5,10,62.5,11011
11,12,12,1,8.33,11,91.67,11012
11,13,13,7,53.85,6,46.15,11013
11,15,8,2,25.0,6,75.0,11015
11,16,21,7,33.33,14,66.67,11016
11,17,21,9,42.86,12,57.14,11017
11,18,12,4,33.33,8,66.67,11018
11,19,13,6,46.15,7,53.85,11019
11,20,8,3,37.5,5,62.5,11020
11,21,10,3,30.0,7,70.0,11021
11,22,7,3,42.86,4,57.14,11022
11,23,12,4,33.33,8,66.67,11023
11,24,15,8,53.33,7,46.67,11024
11,25,14,8,57.14,6,42.86,11025
11,26,8,4,50.0,4,50.0,11026
11,29,8,1,12.5,7,87.5,11029
11,30,16,10,62.5,6,37.5,11030
11,31,11,3,27.27,8,72.73,11031
11,32,6,1,16.67,5,83.33,11032
11,33,10,4,40.0,6,60.0,11033
11,34,7,2,28.57,5,71.43,11034
11,35,7,3,42.86,4,57.14,11035
11,37,13,8,61.54,5,38.46,11037
11,38,16,7,43.75,9,56.25,11038
11,39,15,4,26.67,11,73.33,11039
11,40,9,4,44.44,5,55.56,11040
11,41,5,1,20.0,4,80.0,11041
11,42,9,4,44.44,5,55.56,11042
11,43,9,4,44.44,5,55.56,11043
11,44,9,4,44.44,5,55.56,11044
11,45,4,1,25.0,3,75.0,11045
11,47,11,3,27.27,8,72.73,11047
11,48,4,2,50.0,2,50.0,11048
11,49,6,1,16.67,5,83.33,11049
11,50,9,4,44.44,5,55.56,11050
13,1,18,7,38.89,11,61.11,13001
13,2,7,3,42.86,4,57.14,13002
13,4,37,10,27.03,27,72.97,13004
13,5,10,4,40.0,6,60.0,13005
13,6,15,2,13.33,13,86.67,13006
13,7,12,6,50.0,6,50.0,13007
13,8,18,3,16.67,15,83.33,13008
13,9,16,3,18.75,13,81.25,13009
13,10,12,4,33.33,8,66.67,13010
13,11,9,4,44.44,5,55.56,13011
13,12,11,5,45.45,6,54.55,13012
13,13,10,5,50.0,5,50.0,13013
13,14,13,6,46.15,7,53.85,13014
13,15,14,5,35.71,9,64.29,13015
13,16,7,2,28.57,5,71.43,13016
13,17,23,2,8.7,21,91.3,13017
13,18,8,1,12.5,7,87.5,13018
13,19,4,3,75.0,1,25.0,13019
13,20,9,5,55.56,4,44.44,13020
13,21,8,2,25.0,6,75.0,13021
13,22,13,4,30.77,9,69.23,13022
13,23,13,6,46.15,7,53.85,13023
13,24,18,7,38.89,11,61.11,13024
13,25,16,6,37.5,10,62.5,13025
13,26,9,2,22.22,7,77.78,13026
13,27,22,4,18.18,18,81.82,13027
13,28,7,3,42.86,4,57.14,13028
13,29,5,1,20.0,4,80.0,13029
13,30,12,6,50.0,6,50.0,13030
13,31,12,2,16.67,10,83.33,13031
13,32,6,2,33.33,4,66.67,13032
13,33,4,3,75.0,1,25.0,13033
13,34,8,3,37.5,5,62.5,13034
13,35,8,2,25.0,6,75.0,13035
13,36,2,2,100.0,0,0.0,13036
